"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Secure and Reliable Platform Configuration Change Reporting Mechanism for Trusted Computing Enhanced Secure Channels","K. Dietrich","Microcomputing Laboratory, Institute for Applied Information Processing and Communications (IAIK), Graz, Austria","2008 The 9th International Conference for Young Computer Scientists","12 Dec 2008","2008","","","2137","2142","The security of well established secure channel technologies like transport layer security (TLS) or IP security (IPSec) can be significantly improved by emerging concepts like trusted computing. The use of trusted platform modules (TPMs) offers new methods for improving the security of these well established technologies. How secure channel technologies can be adapted to use trusted computing concepts is subject to current research. A major part of this research addresses the integration of the TCG's specified remote attestation. Remote attestation enables a platform to provide a trustworthy proof of its current configuration (i.e. software that has been loaded on the platform). Hence, based on this proof, a remote platform can decide whether to open a channel to another platform or not. In current approaches, the proof of the platform configuration is processed before a secure channel is established, which is not opened if the reported configuration is not accepted by the hosts. However, one important problem has not been solved yet. Currently, no satisfying solution how the change of a platform's configuration can be securely and reliably reported to the remote platform whilst a channel is open, exists. A reliable method to provide a proof for a configuration change can be implemented with only minor modifications of the TPM specification and the TLS protocol. Experimental results show that it is possible to implement this proof mechanism with only a few additional TPM commands.","","978-0-7695-3398-8","10.1109/ICYCS.2008.530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4709304","Trusted computing;platform configuration reporting;secure channels;TLS","Information security;Computer security;Protocols;Proposals;Cryptography;Information processing;Laboratories;Information retrieval;Certification","computer network reliability;cryptographic protocols;IP networks;telecommunication channels;telecommunication security;transport protocols","reliable platform configuration change reporting mechanism;trusted computing;secure channel technology;transport layer security;IP security;trusted platform module;TLS protocol;TPM specification;cryptographic protocol","","1","1","14","IEEE","12 Dec 2008","","","IEEE","IEEE Conferences"
"Multi-band multi-mode SDR radar platform for traffic and security applications","Y. -K. Kwag; I. -S. Woo","School of Electronics and Information Engineering, Korea Aerospace University, Goyang-City, Korea; Radar Research Institute, Korea Aerospace University, Goyang-City, Korea","2016 URSI Asia-Pacific Radio Science Conference (URSI AP-RASC)","20 Oct 2016","2016","","","1182","1183","This paper presents the new development results of the multi-band, multi-mode software-defined radar (SDR) platform. The SDR platform consists of multi-band RF modules of S, X, K-bands, and a multi-mode digital modules with a waveform generator for CW, Pulse, FMCW, and LFM Chirp as well as reconfigurable SDR-GUI software module for user interface. This platform can be used for various applications such as traffic monitoring and surveillance, and security.","","978-1-4673-8801-6","10.1109/URSIAP-RASC.2016.7601347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7601347","Software Defined Radar (SDR);radar system design;multi-band;multi-mode radar","Meteorological radar;Radar antennas;Software;Meteorology;Radar measurements","graphical user interfaces;radar applications;software radio;telecommunication computing;telecommunication security;telecommunication traffic;waveform generators","multiband multimode SDR radar platform;traffic applications;security applications;multiband multimode software-defined radar platform;multimode digital module;waveform generator;LFM chirp;S-band;reconfigurable SDR-GUI software module;user interface;K-band;X-band;FMCW chirp;CW chirp;pulse chirp","","","","3","IEEE","20 Oct 2016","","","IEEE","IEEE Conferences"
"Adaptive security and privacy in smart grids: A software engineering vision","M. Salehie; L. Pasquale; I. Omoronyia; B. Nuseibeh","Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Department of Computing, Open University, Milton Keynes, UK","2012 First International Workshop on Software Engineering Challenges for the Smart Grid (SE-SmartGrids)","28 Jun 2012","2012","","","46","49","Despite the benefits offered by smart grids, energy producers, distributors and consumers are increasingly concerned about possible security and privacy threats. These threats typically manifest themselves at runtime as new usage scenarios arise and vulnerabilities are discovered. Adaptive security and privacy promise to address these threats by increasing awareness and automating prevention, detection and recovery from security and privacy requirements' failures at runtime by re-configuring system controls and perhaps even changing requirements. This paper discusses the need for adaptive security and privacy in smart grids by presenting some motivating scenarios. We then outline some research issues that arise in engineering adaptive security. We particularly scrutinize published reports by NIST on smart grid security and privacy as the basis for our discussions.","","978-1-4673-1864-8","10.1109/SE4SG.2012.6225718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225718","Smart grid;Adaptive software;Security and privacy;Security requirements","Security;Privacy;Smart grids;Monitoring;NIST;Computer architecture;Runtime","data privacy;failure analysis;power engineering computing;power system security;smart power grids;software engineering","smart grids privacy;smart grids adaptive security;software engineering vision;energy producers;privacy threats;security threats;automating prevention;privacy requirements failures;security requirements failures;reconfiguring system controls;engineering adaptive security;NIST","","10","1","16","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"Power consumption aware software architecture for M-health applications with adaptive security of network protocols","V. Ciric; J. Zlatanovic; E. Milovanovic; N. Stojanovic","Faculty of Electronic Engineering, University of Nis, Nis, Serbia; Nissatech Innovation Centre d.o.o., Nis, Serbia; Faculty of Electronic Engineering, University of Nis, Nis, Serbia; Nissatech Innovation Centre d.o.o., Nis, Serbia","2015 12th International Conference on Telecommunication in Modern Satellite, Cable and Broadcasting Services (TELSIKS)","17 Dec 2015","2015","","","297","300","The goal of this paper is development of software architecture for mobile devices, which is able to trade-off between security levels and power consumption. The analysis of the influence of different security protocols on power consumption is given. The proposed architecture is described in detail. Three different security levels with corresponding cipher suites are proposed: low, medium and high. The architecture is implemented on Android platform. The difference in power consumptions of the cipher suites in high and low security/power profiles is around 8.2% for WiFi, and 9.6% for 3G network. In order to further reduce the power consumption during network communication, the delay between sending two successive packets is analyzed. The proposed architecture is capable of stalling packets and sending them in burst-mode, letting the network interface to stay in low-power mode for a longer period of time. The power consumption in this mode is reduced for additional 25%.","","978-1-4673-7516-0","10.1109/TELSKS.2015.7357791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7357791","Mobile applications;security protocols;battery life;power consumption","Ciphers","3G mobile communication;access protocols;Android (operating system);cryptography;power consumption;software architecture;telecommunication power management;wireless LAN","stalling packets;successive packets;3G network;WiFi;Android platform;cipher suites;security protocols;security levels;mobile devices;network protocols;adaptive security;M-health applications;software architecture;power consumption aware","","","","12","IEEE","17 Dec 2015","","","IEEE","IEEE Conferences"
"Design and Research of Intelligent Analysis System of Operating State of Electric Energy Metering Device Based on Computer Technology","Y. Jia; Q. Meng; B. Jiang; Z. Qu; Y. Lin; X. Su; D. Zhang; W. Mao; D. Su","Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Jilin Power Supply Company of State, Grid Jilin Electric Power Co., Ltd., Jilin, China; Qingdao Dingxin Communication Co., Ltd., Qingdao, China","2023 IEEE International Conference on Control, Electronics and Computer Technology (ICCECT)","6 Jun 2023","2023","","","1491","1496","The model management of electric energy metering devices has been in the state of innovative management for a long time. This model can no longer meet the needs of industrial development in today’s market environment. In order to further strengthen the control of the working state of various electric energy metering devices, it has become an important content of the development of the times to use computer technology to study the intelligent analysis system of the working state of electric energy metering devices. This paper analyzes the various reasons for the failure of electric energy meters, discusses the technical characteristics of various abnormal situations, and puts forward reasonable monitoring principles. This paper completes the overall design of the computer-based intelligent analysis system for the operation status of electric energy metering devices, and designs an external monitoring and processing unit and a fully functional database system. This paper designs the overall structure of the monitoring system of the electric energy meter operation status. The research and development of the main station software of the electric meter state monitoring operating system focuses on the design of the software state monitoring processing unit. Experimental research shows that this paper combines the concept of differentiated operation and maintenance of electric energy metering devices, which reduces the on-site inspection of 33 current transformers in the city, and also helps to ensure the safe operation of the city’s electric power marketing security business.","","979-8-3503-9902-8","10.1109/ICCECT57938.2023.10141463","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10141463","electric energy metering;status monitoring;running status;management system","Meters;Urban areas;Inspection;Software;Power systems;Computer security;Monitoring","current transformers;innovation management;power engineering computing;power markets;power meters","city;computer technology;computer-based intelligent analysis system;electric energy meter operation status;electric energy metering device;electric energy meters;electric meter state monitoring operating system;software state monitoring processing unit;working state","","","","15","IEEE","6 Jun 2023","","","IEEE","IEEE Conferences"
"Multi-band multi-mode SDR radar platform","Y. -K. Kwag; J. -S. Jung; I. -S. Woo; M. -S. Park","School of Electronics and Information Engineering; School of Electronics and Information Engineering; School of Electronics and Information Engineering; Radar Research Institute, Korea Aerospace University, Goyang-City, korea","2015 IEEE 5th Asia-Pacific Conference on Synthetic Aperture Radar (APSAR)","29 Oct 2015","2015","","","46","49","This paper presents the design results of the multi-band, multi-mode software-defined radar (SDR) system. The SDR platform consists of a multi-band RF modules of S, X, K-bands, and a multi-mode digital modules with a waveform generator for CW, Pulse, FMCW, and LFM Chirp as well as reconfigurable SDR-GUI software module for user interface. This platform can be used for various applications such as security monitoring, collision avoidance, traffic monitoring, and a radar imaging.","","978-1-4673-7297-8","10.1109/APSAR.2015.7306151","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7306151","Software Defined Radar (SDR);radar system design;multi-band;multi-mode radar","Software;Radio frequency;Signal processing algorithms;Libraries;Radar imaging","CW radar;FM radar;graphical user interfaces;radar computing;software radio;waveform generators","software-defined radar;SDR system;multiband multimode SDR radar platform;multiband RF modules;S-band digital modules;X-band digital modules;K-band digital modules;multimode digital modules;waveform generator;FMCW radar;LFM Chirp;reconfigurable SDR-GUI software module;user interface;security monitoring;collision avoidance;traffic monitoring;radar imaging","","9","","5","IEEE","29 Oct 2015","","","IEEE","IEEE Conferences"
"A Novel Economical Embedded Multi-mode Intelligent Control System for Powered Wheelchair","J. Liu; H. Zhang; B. Fan; G. Wang; J. Wu","School of Mechanical and Electrical Engineering, University of Nanchang, Nanchang, China; School of Mechanical and Electrical Engineering, University of Nanchang, Nanchang, China; School of Mechanical and Electrical Engineering, University of Nanchang, Nanchang, China; Department of Electrical and Computer Engineering, University of Windsor, Windsor, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, Canada","2010 International Conference on Computing, Control and Industrial Engineering","28 Jun 2010","2010","1","","156","159","In order to assist different kinds of disabled persons and senior citizens, to lower the cost and improve the effectiveness and convenience of human-machine interaction, a novel economical embedded multi-mode intelligent control system for powered wheelchair is developed. The system is based on a high-performance 16-bit compact single chip system. It has “Manual”, “Speech”, “Vision”, and “Autonomous” four modes that are fulfilled by four modules. The mode and the corresponding module can be customized according to the needs of different users and situations and that makes a further lower cost. In addition, fusion of multi-mode and other security measures are discussed. The hardware, software, control mechanism, and some experimental results are elaborated in the paper.","","978-0-7695-4026-9","10.1109/CCIE.2010.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5492056","embedded control system;multi-mode human-machine interaction;intelligent wheelchair","Power generation economics;Intelligent control;Wheelchairs;Control systems;Costs;Man machine systems;Speech;Communication system control;Portable computers;Intelligent sensors","embedded systems;handicapped aids;intelligent control;man-machine systems;wheelchairs","economical embedded multimode intelligent control system;powered wheelchair;disabled persons;senior citizens;human-machine interaction","","12","","8","IEEE","28 Jun 2010","","","IEEE","IEEE Conferences"
"Ariadne: Topology Aware Adaptive Security for Cyber-Physical Systems","C. Tsigkanos; L. Pasquale; C. Ghezzi; B. Nuseibeh","Politecnico di Milano, Milano, Italy; Lero - the Irish Software Research Centre, Limerick, Ireland; Politecnico di Milano, Milano, Italy; Department of Computing, The Open University, Milton Keynes, UK","2015 IEEE/ACM 37th IEEE International Conference on Software Engineering","17 Aug 2015","2015","2","","729","732","This paper presents Ariadne, a tool for engineering topology aware adaptive security for cyber-physical systems. It allows security software engineers to model security requirements together with the topology of the operational environment. This model is then used at runtime to perform speculative threat analysis to reason about the consequences that topological changes arising from the movement of agents and assets can have on the satisfaction of security requirements. Our tool also identifies an adaptation strategy that applies security controls when necessary to prevent potential security requirements violations.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.234","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203054","Adaptive Systems;Security;Verification","Security;Topology;Servers;Adaptation models;Runtime;Mobile handsets;Ports (Computers)","security of data;software tools","Ariadne tool;cyber-physical systems;engineering topology aware adaptive security;security software engineers;speculative threat analysis;adaptation strategy","","16","","5","IEEE","17 Aug 2015","","","IEEE","IEEE Conferences"
"Keynote: Topology Aware Adaptive Security","L. Pasquale","University College Dublin, Dublin, IE","2017 IEEE/ACM 4th International Workshop on Software Engineering Research and Industrial Practice (SER&IP)","3 Jul 2017","2017","","","2","2","Summary form only given. Cyber-Physical Systems can be harmed through both cyber-enabled or physically-enabled attacks, particularly ones that exploit the often ignored interplay between the cyber and physical spaces characterizing a system operating environment. Awareness of the topology of the operating environment of systems as well as its dynamics can support adaptive security more effectively. In this talk I propose the use of Bigraphical Reactive Systems to represent the topology of cyber and physical spaces. I describe how to use this representation to reason about the consequences of the evolution of topological configurations on the satisfaction of security requirements. I also illustrate a planning technique to identify an adaptation strategy to be used at runtime, to circumvent, prevent, or mitigate security requirements violations previously identified. Finally I will describe how this approach has been integrated into an existing commercial access control software.","","978-1-5386-2797-6","10.1109/SER-IP.2017..21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7964357","","Security;Topology;Software;Conferences;Software engineering;Cyber-physical systems;Adaptive systems","authorisation;cyber-physical systems","cyber-physical systems;physically-enabled attacks;cyber-enabled attacks;system operating environment;bigraphical reactive systems;planning technique;adaptation strategy;commercial access control software","","","","","IEEE","3 Jul 2017","","","IEEE","IEEE Conferences"
"NCPA: A Scheduling Algorithm for Multi-cipher and Multi-mode Reconfigurable Cryptosystem","C. -P. Young; C. -C. Chia; L. -B. Chen; I. -J. Huang","Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan; Department of Computer Science and Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan","2008 International Conference on Intelligent Information Hiding and Multimedia Signal Processing","22 Aug 2008","2008","","","1356","1359","Multi-cipher and multi-mode reconfigurable cryptosystems are widely used for hardware acceleration in modern security protocols, such as SSL and IPsec, but there has been hardly any work which can process multiple cipher algorithms with varied block lengths, key lengths and operation modes at a session of communication owing to the lack of suitable scheduling algorithms for the crypto-coprocessors and reverse schemes for the ciphertext. This paper proposes a NOP-cycle-padding algorithm (NCPA) which enables crypto-coprocessors reconfigured with diverse encrypting bursts to be pipeline scheduled. With NCPA, the output ciphertext is reversible and can be orderly sent out without any added cost in hardware or software. Moreover, the throughput can be upgraded to the maximum with an optimized number of crypto-coprocessors derived from NCPA.","","978-0-7695-3278-3","10.1109/IIH-MSP.2008.226","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4604294","Cryptosystem;crypto-coprocessor;multiple cipher;operation mode;scheduling algorithm","Cryptography;Signal processing algorithms;Equations;Throughput;Field programmable gate arrays;Pipelines;Hardware","cryptography;scheduling","NCPA;scheduling algorithm;multi-cipher cryptosystem;multi-mode reconfigurable cryptosystem;security protocols;SSL;IPsec;crypto-coprocessors;NOP-cycle-padding algorithm","","1","","11","IEEE","22 Aug 2008","","","IEEE","IEEE Conferences"
