"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A network security situation perception model based on immune state transition","Liu Nian; Y. Liu","School of Electrical Engineering and Information, Sichuan University, Chengdu, Sichuan, China; China Aerodynamics Research & Development Center, Mianyang, Sichuan, China, 621000","International Conference on Automatic Control and Artificial Intelligence (ACAI 2012)","4 Apr 2013","2012","","","142","145","This paper proposes a new Model of Network Security Situation Perception based on artificial immunity which can realize immune state transition. This model is used to solve the self and non-self dynamic describing problem in computer immune system. It can realize the detection to known and unknown network intrusion. It has some characteristics like distributed behavior, self-learning, robustness etc; it also presented memory Immunological detection trees based on the antibody concentration. It adjusts each node's order dynamically. Each time while testing, detector is extracted from high to low according to the antibody concentration to matching antigen. When antibody concentration is changed with the network attack, adjust the tree node sequence timely, make high concentrations detector match antigen prior to the low concentration detector for reducing invalid matching times and improving detection efficiency.","","978-1-84919-537-9","10.1049/cp.2012.0940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6492547","Network Security;Artificial Immune;Situation Perception;State Transition","","","","","1","","","","4 Apr 2013","","","IET","IET Conferences"
"An Improved State Transition-Based Security Policy Conflict Detection Algorithm","D. Xiangdong; C. Xingyuan; W. Yongliang; W. Yigong; L. Jiang","Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China","2010 International Conference on Computational and Information Sciences","4 Feb 2011","2010","","","609","612","Security policy is the core to ensure the system operating safely, security policy conflict will cause the system to suffer a security threaten, which even make system crash, therefore security policy conflict detection is particularly important. This paper researches the type of intra-node security policy conflict detection, analyses the complexity of algorithm of security policy conflict detection, improves the algorithm of security policy conflict detection which based on state transition, proves that the algorithm improved efficiency of security policy conflict detection. Finally, we compare the performance of conflict detection algorithms between the previous and the improved one's, verify that the algorithm is correct, efficient, and has practical value.","","978-1-4244-8814-8","10.1109/ICCIS.2010.154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5709075","state transition;conflict detection;algorithm complexity","Security;Algorithm design and analysis;Detection algorithms;Complexity theory;Fires;Information science;Redundancy","security of data","security policy conflict detection algorithm;intra-node security policy;state transition","","","","15","IEEE","4 Feb 2011","","","IEEE","IEEE Conferences"
"An integrated state transition-Boolean logic model for security analysis in cloud computing","A. Zimba; C. Hongsong; W. Zhaoshun","Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China","2016 First IEEE International Conference on Computer Communication and the Internet (ICCCI)","12 Dec 2016","2016","","","449","453","The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own challenges the most echoed being security. Security concerns herein, birthed by the exposure of the cloud to different threats, continue to cast doubts on potential users and it's only befitting that such concerns are addressed. Users who entrust their data to the cloud want their data to be secured in the strongest terms possible. Once data leaves the user, the onus is on the cloud provider to provide the required security since data now lies within their perimeter of jurisdiction. But security requirements do change with time and this therefore calls for a continuous process of evaluating the security status of the cloud system. This paper proposes a model of analyzing the security status of the cloud system with regards confidentiality, integrity and availability. We employ state transitions of a conceptual finite state machine, Boolean algebra and logic to evaluate the various states of the system when a specified breach occurs. The scope of this paper is limited to user data on the cloud and not as it traverses the network between the user and the provider.","","978-1-4673-8515-2","10.1109/CCI.2016.7778962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778962","cloud computing;threats;state transitions;Boolean logic","Cloud computing;Security;Computational modeling;Analytical models;NIST;Software as a service","Boolean algebra;cloud computing;finite state machines;security of data","integrated state transition-Boolean logic model;security analysis;cloud computing;security requirements;security status evaluation;cloud system;confidentiality;integrity;availability;conceptual finite state machine;Boolean algebra","","","","20","IEEE","12 Dec 2016","","","IEEE","IEEE Conferences"
"A Software Watermarking Algorithm Based on Stack-State Transition Graph","X. Jinchao; Z. Guosun","Department of Computer Science and Technology, University of Tongji, Shanghai, China; Department of Computer Science and Technology, University of Tongji, Shanghai, China","2010 Fourth International Conference on Network and System Security","15 Nov 2010","2010","","","83","88","In the Internet age, Software security and piracy becomes a more and more important issue. In order to prevent software from piracy and unauthorized modification, various techniques have been developed. Among them is software watermarking which protects software through embedding some secret information into software as an identifier of the ownership of copyright for this software. This paper gives an new algorithm based on stack-state transition graph, watermarks is embed by adding additional code in the executable file, and extracted by recognizing the relationship of stack-state which processed in runtime. Analysis proves that our algorithm is more reliable.","","978-1-4244-8484-3","10.1109/NSS.2010.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5636081","Digital Copyright;Dynamic Software Watermarking;Stack-state transition graph;Watermarking Algorithm","Watermarking;Software;Software algorithms;Heuristic algorithms;Algorithm design and analysis;Runtime","copyright;watermarking","software watermarking algorithm;stack-state transition graph;Internet age;software security;software piracy;copyright","","","","19","IEEE","15 Nov 2010","","","IEEE","IEEE Conferences"
"Optimal Jamming Strategy Against Two-State Switched System","Y. Zhu; H. Zhang; H. Li; J. Zhang; D. Zhang","School of Computer Engineering, Jiangsu Ocean University, Lianyungang, China; School of Computer Engineering, Jiangsu Ocean University, Lianyungang, China; School of Computer Engineering, Jiangsu Ocean University, Lianyungang, China; School of Computer Engineering, Jiangsu Ocean University, Lianyungang, China; School of Science, Jiangsu Ocean University, Lianyungang, China","IEEE Communications Letters","9 Mar 2022","2022","26","3","706","710","In this letter, we investigate the security issue of a discrete linear time-varying system following a fixed switching rule. We first give a sufficient condition for the stability of this two-state switched system. In our scenario, the communication channel between the sensor and the remote estimator is interfered by a jammer with limited energy. Then we prove that the continuous jamming strategy is optimal compared with other strategies, which maximizes the estimation error in the viewpoint of the attacker. Finally, numerical examples are presented to certificate the effectiveness of the proposed optimal jamming strategy.","1558-2558","","10.1109/LCOMM.2022.3142080","National Natural Science Foundation of China(grant numbers:61873106); Nature Science Foundation of Jiangsu Province for Distinguished Young Scholars(grant numbers:BK20200049); Jiangsu Ocean University Postgraduate Research and Practice Innovation Program Project(grant numbers:KYCX2021-014); Natural Science Foundation of Jiangsu Province(grant numbers:BK20210922); Natural Science Research of Jiangsu Province for General Project(grant numbers:21KJB510037); Jiangsu Ocean University Talent Introduction Research Foundation of Jiangsu Province(grant numbers:KQ20043); Postdoctoral Research Funding Program of Jiangsu Province; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9676585","Linear time-varying;switched system;optimal jamming strategy","Jamming;Estimation error;Switched systems;Switches;State estimation;Covariance matrices;Stability criteria","jamming;linear systems;sensors;time-varying systems;wireless channels","optimal jamming strategy;two-state switched system;security issue;discrete linear time-varying system;fixed switching rule;communication channel;remote estimator;continuous jamming strategy;estimation error;sensor estimator","","2","","14","IEEE","11 Jan 2022","","","IEEE","IEEE Journals"
"A process state-transition analysis and its application to intrusion detection","N. Nuansri; S. Singh; T. S. Dillon","Department Computer Science and Computer Engineering and Applied Computing Research Institute, La Trobe University, Melbourne, VIC, Australia; Department Computer Science and Computer Engineering and Applied Computing Research Institute, La Trobe University, Melbourne, VIC, Australia; Department Computer Science and Computer Engineering and Applied Computing Research Institute, La Trobe University, Melbourne, VIC, Australia","Proceedings 15th Annual Computer Security Applications Conference (ACSAC'99)","6 Aug 2002","1999","","","378","387","This paper describes a new technique for detecting security breaches in a computer system. For each Unix process, the user credentials, which are user identifiers, determine the process privilege, including whether a process has gained a high privilege, such as that of the superuser. The state transition technique is applied to a suitably defined process state, identified by certain classes of user credential values. A transition takes place when these values change from one class to another. These states are clearly defined, and prohibited state transitions as well as some supporting rules are identified. When many break-ins succeed, either the rules are violated or these prohibited transitions occur, and this implies a violation of system security policy. A specially modified system call, ktrace0, is used by the superuser to monitor the process-state and state transition analysis is applied to the traced information, by the Intrusion Detection System. Tests show that most known security violations belonging to the targeted classes (such as buffer overflow exploits) can be detected (and possibly pre-empted) while the constituent activities are still being processed in the kernel.","1063-9527","0-7695-0346-2","10.1109/CSAC.1999.816050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816050","","Intrusion detection","security of data;Unix","process state transition analysis;security breach detection;computer system;Unix process;user credential;user identifiers;process privilege;superuser;prohibited state transitions;break-ins;system call;ktrace;process state monitoring;traced information;Intrusion Detection System","","3","","21","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Wind power multi-scenario state transition based unit commitment and reserve optimization","M. Xiang; M. Zhou; Z. Zhang; Y. Liu","School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China","International Conference on Sustainable Power Generation and Supply (SUPERGEN 2012)","4 Apr 2013","2012","","","1","7","As wind power penetrations are increasing in the power systems, more innovative and sophisticated approaches to system operation will need to be adopted due to the intermittency and unpredictability of wind power generation. This paper proposed a multi-scenario unit commitment model based on state transition technique by probabilistic expression of wind power forecast error and discretization of wind power error scenes, considering the states transfer matrix specially. Making the scheduling decisions according to the scenario probability, correction reserve is set to the adjustment limit of units between the normal and error scenarios. Through the coordination of security and economic, reserve requirements according to wind power fluctuation is automatically optimized. Tests using an illustrative small system are presented, showing the usefulness and efficiency of the integrated generation scheduling, guiding significance for the scheduling and planning of thermal-wind power system.","","978-1-84919-673-4","10.1049/cp.2012.1808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6493127","wind power;correction reserve;unit commitment;state transition","","matrix algebra;power generation economics;power generation scheduling;power system security;probability;thermal power stations;wind power;wind power plants","wind power multiscenario state transition;reserve optimization;wind power penetration;power system security;wind power generation;multiscenario unit commitment model;wind power forecast error;wind power error scene;state transfer matrix;probability;power generation economic;wind power fluctuation;integrated generation scheduling;power generation planning;thermal-wind power system;wind power integration","","2","","","","4 Apr 2013","","","IET","IET Conferences"
"Performance Analysis of Multilingual Encryption for Enhancing Data Security using Cellular Automata based State Transition Mapping: A Linear Approach","A. Banerjee; A. Kundu","Computer Innovative Research Society, West Bengal, India; Netaji Subhash Engineering College, Kolkata, India","2020 IEEE 1st International Conference for Convergence in Engineering (ICCE)","21 Dec 2020","2020","","","458","463","Authors propose cellular automata (CA) based multilingual encryption algorithm to maintain network based and standalone data security using minimum time. Multilingual data, collected from different geographical locations is required to measure the performance of proposed algorithm. Superiority and linearity of CA based proposed multilingual encryption algorithm should be measured using different experiments. Different components are required in proposed algorithm to prepare an authenticated multilingual dataset for encryption. Comparative analysis between existing Advanced Encryption System (AES) and proposed CA based encryption scheme is established based on several experimental results.","","978-1-7281-7340-5","10.1109/ICCE50343.2020.9290694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9290694","Cryptography;Multilingual Encryption;Cellular Automata;Single Attractor Cellular Automata (SACA);CA based Encryption;Advanced Encryption System (AES);State Transition Mapping;Encryption Performance Analysis","Encryption;Indexes;Convergence;Conferences;Automata;Complexity theory;Performance analysis","cellular automata;cryptography","CA based encryption scheme;advanced encryption system;authenticated multilingual dataset;different geographical locations;multilingual data;standalone data security;multilingual encryption algorithm;linear approach;state transition mapping;cellular automata;data security enhancement;performance analysis","","2","","8","IEEE","21 Dec 2020","","","IEEE","IEEE Conferences"
"An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC","J. Gao; Y. Li; Y. Li; T. Gong; F. Xu; Q. Zhao; H. Jiang; J. Jia","Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China","2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP)","24 May 2022","2022","","","976","979","Industrial control system (ICS) integrating different software and hardware is not only to collect, obtain and calculate data information, but also to control the machine or production process so that it can run automatically. Ormon PLCs are widely used in critical manufactures and have adopted factory interface network service (Fins) protocol to exchange message. The recent articles indicate that Ormon PLCs used Fins Ethernet protocol were exposed to mode-switching malicious network attack. However, the traditional detection methods based on function codes and Snort detection rules could not get an ideal result. In this paper, we propose a method that can overcome these problems in dealing with mode-switching attack by an external hash authentication device embedding asymmetric encryption. This security device built into a hash authentication mechanism, which is responsible for identifying and distinguishing the interaction information message between the upper computer and PLC interaction information. In order to validate our method, some experiments have been done to show that defend method can disrupt successfully the communication link between the attacking computer and PLC device to defend this malicious cyber attacks efficiently.","","978-1-6654-7857-1","10.1109/ICSP54964.2022.9778843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843","Industry control system (ICS);Ormon PLC;Mode-switching Attack;Hash Authentication","Integrated circuits;Protocols;Authentication;Process control;Ethernet;Switches;Signal processing","computer network security;control engineering computing;cryptography;industrial control;local area networks;machinery production industries;production engineering computing;programmable controllers","Ormon PLC;industrial control system;different software;data information;factory interface network service protocol;Fins Ethernet protocol;Snort detection rules;external hash authentication device;hash authentication mechanism;interaction information message;PLC interaction information;attacking computer;malicious cyber attacks;mode switching malicious network attack;mode switching attack","","","","14","IEEE","24 May 2022","","","IEEE","IEEE Conferences"
"On State Transition Probability and Performance of Direct Acyclic Graph Based Ledgers","Z. Xie; S. Dang; Z. Zhang","School of Computer, Electronics and Information, Guangxi University, Nanning, China; Department of Electrical and Electronic Engineering, University of Bristol, Bristol, U.K.; School of Computer, Electronics and Information, Guangxi University, China","IEEE Transactions on Mobile Computing","","2023","PP","99","1","15","Direct acyclic graph (DAG) based ledgers with multi-chain structures aim to solve the technical bottlenecks associated with classical blockchain technologies in the Internet of Things (IoT). The basic working principle of DAG-based ledgers is to validate new transactions by previous transactions in order to be added to the system. During the tip selection process in the unsteady regime, the state transition probability refers to the probability of a transaction changing from the initial state to an arbitrary state. The state transition probability plays an indispensable role in the performance and security analysis of the IoT relying on DAG-based ledgers. In this paper, we derive the exact expression and an approximate expression of the state transition probability, which both are in closed form. In addition, we propose and analyze three performance metrics, i.e., the expected cumulative weight, the expected number of steps, and the confirmation failure probability, which are derived from the state transition probability and greatly enrich the performance analysis and evaluation of the IoT. Markov chain Monte Carlo (MCMC) simulations are carried out to verify the derived analytical results and provide insight into the IoT using DAG-based ledgers.","1558-0660","","10.1109/TMC.2023.3265259","Guangdong Guangxi Joint Science Key Foundation(grant numbers:2021GXNSFDA076001); Guangxi Major Projects of Science and Technology(grant numbers:2020AA21077007,2020AA24002AA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10093973","Blockchain;direct acyclic graph;forking topology;markov chain monte carlo algorithm;state transition probability","Internet of Things;Consensus protocol;Security;Throughput;Scalability;Distributed ledger;Periodic structures","","","","","","","IEEE","6 Apr 2023","","","IEEE","IEEE Early Access Articles"
