"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An integrated state transition-Boolean logic model for security analysis in cloud computing","A. Zimba; C. Hongsong; W. Zhaoshun","Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China","2016 First IEEE International Conference on Computer Communication and the Internet (ICCCI)","12 Dec 2016","2016","","","449","453","The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own challenges the most echoed being security. Security concerns herein, birthed by the exposure of the cloud to different threats, continue to cast doubts on potential users and it's only befitting that such concerns are addressed. Users who entrust their data to the cloud want their data to be secured in the strongest terms possible. Once data leaves the user, the onus is on the cloud provider to provide the required security since data now lies within their perimeter of jurisdiction. But security requirements do change with time and this therefore calls for a continuous process of evaluating the security status of the cloud system. This paper proposes a model of analyzing the security status of the cloud system with regards confidentiality, integrity and availability. We employ state transitions of a conceptual finite state machine, Boolean algebra and logic to evaluate the various states of the system when a specified breach occurs. The scope of this paper is limited to user data on the cloud and not as it traverses the network between the user and the provider.","","978-1-4673-8515-2","10.1109/CCI.2016.7778962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778962","cloud computing;threats;state transitions;Boolean logic","Cloud computing;Security;Computational modeling;Analytical models;NIST;Software as a service","Boolean algebra;cloud computing;finite state machines;security of data","integrated state transition-Boolean logic model;security analysis;cloud computing;security requirements;security status evaluation;cloud system;confidentiality;integrity;availability;conceptual finite state machine;Boolean algebra","","","","20","IEEE","12 Dec 2016","","","IEEE","IEEE Conferences"
"A Software Watermarking Algorithm Based on Stack-State Transition Graph","X. Jinchao; Z. Guosun","Department of Computer Science and Technology, University of Tongji, Shanghai, China; Department of Computer Science and Technology, University of Tongji, Shanghai, China","2010 Fourth International Conference on Network and System Security","15 Nov 2010","2010","","","83","88","In the Internet age, Software security and piracy becomes a more and more important issue. In order to prevent software from piracy and unauthorized modification, various techniques have been developed. Among them is software watermarking which protects software through embedding some secret information into software as an identifier of the ownership of copyright for this software. This paper gives an new algorithm based on stack-state transition graph, watermarks is embed by adding additional code in the executable file, and extracted by recognizing the relationship of stack-state which processed in runtime. Analysis proves that our algorithm is more reliable.","","978-1-4244-8484-3","10.1109/NSS.2010.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5636081","Digital Copyright;Dynamic Software Watermarking;Stack-state transition graph;Watermarking Algorithm","Watermarking;Software;Software algorithms;Heuristic algorithms;Algorithm design and analysis;Runtime","copyright;watermarking","software watermarking algorithm;stack-state transition graph;Internet age;software security;software piracy;copyright","","","","19","IEEE","15 Nov 2010","","","IEEE","IEEE Conferences"
"An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC","J. Gao; Y. Li; Y. Li; T. Gong; F. Xu; Q. Zhao; H. Jiang; J. Jia","Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China","2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP)","24 May 2022","2022","","","976","979","Industrial control system (ICS) integrating different software and hardware is not only to collect, obtain and calculate data information, but also to control the machine or production process so that it can run automatically. Ormon PLCs are widely used in critical manufactures and have adopted factory interface network service (Fins) protocol to exchange message. The recent articles indicate that Ormon PLCs used Fins Ethernet protocol were exposed to mode-switching malicious network attack. However, the traditional detection methods based on function codes and Snort detection rules could not get an ideal result. In this paper, we propose a method that can overcome these problems in dealing with mode-switching attack by an external hash authentication device embedding asymmetric encryption. This security device built into a hash authentication mechanism, which is responsible for identifying and distinguishing the interaction information message between the upper computer and PLC interaction information. In order to validate our method, some experiments have been done to show that defend method can disrupt successfully the communication link between the attacking computer and PLC device to defend this malicious cyber attacks efficiently.","","978-1-6654-7857-1","10.1109/ICSP54964.2022.9778843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843","Industry control system (ICS);Ormon PLC;Mode-switching Attack;Hash Authentication","Integrated circuits;Protocols;Authentication;Process control;Ethernet;Switches;Signal processing","computer network security;control engineering computing;cryptography;industrial control;local area networks;machinery production industries;production engineering computing;programmable controllers","Ormon PLC;industrial control system;different software;data information;factory interface network service protocol;Fins Ethernet protocol;Snort detection rules;external hash authentication device;hash authentication mechanism;interaction information message;PLC interaction information;attacking computer;malicious cyber attacks;mode switching malicious network attack;mode switching attack","","","","14","IEEE","24 May 2022","","","IEEE","IEEE Conferences"
"Safe and automated state transfer for secure and reliable live update","C. Giuffrida; A. S. Tanenbaum","Department of Computer Science, Vrije Universiteit, Amsterdam, Netherlands; Department of Computer Science, Vrije Universiteit, Amsterdam, Netherlands","2012 4th International Workshop on Hot Topics in Software Upgrades (HotSWUp)","28 Jun 2012","2012","","","16","20","Traditional live update systems offer little or no automated support for state transfer between two different program versions with changes in the program state. In this paper, we report our efforts to build a safe and automated state transfer framework for C programs that requires a minimal number of program state annotations and handles common structural state changes with no programmer assistance. To handle more complex state transformations, the framework includes a number of extension mechanisms designed to minimize the overall programming effort. Our experience with real-world programs suggests that our framework can handle all the standard C idioms and support safe and automated state transfer for complex state changes. We believe our approach is effective in several update scenarios and significantly raises the bar on the security and reliability of live update.","","978-1-4673-1764-1","10.1109/HotSWUp.2012.6226610","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226610","","Security;Libraries;Instruments;Runtime;Resource management;Reliability;Software","C language;configuration management;security of data;software reliability","safe state transfer;automated state transfer;live update system;program version;C program;program state annotation;structural state change;complex state transformation;programming effort;standard C idiom;complex state change;live update security;live update reliability","","6","","11","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"State transition analysis: a rule-based intrusion detection approach","K. Ilgun; R. A. Kemmerer; P. A. Porras","Advanced Computer Communications, Santa Barbara, CA, USA; Reliable Software Group-Department of Computer Science, University of California, Santa Barbara, CA, USA; Aerospace Corporation, Los Angeles, CA, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1995","21","3","181","199","The paper presents a new approach to representing and detecting computer penetrations in real time. The approach, called state transition analysis, models penetrations as a series of state changes that lead from an initial secure state to a target compromised state. State transition diagrams, the graphical representation of penetrations, identify precisely the requirements for and the compromise of a penetration and present only the critical events that must occur for the successful completion of the penetration. State transition diagrams are written to correspond to the states of an actual computer system, and these diagrams form the basis of a rule based expert system for detecting penetrations, called the state transition analysis tool (STAT). The design and implementation of a Unix specific prototype of this expert system, called USTAT, is also presented. This prototype provides a further illustration of the overall design and functionality of this intrusion detection approach. Lastly, STAT is compared to the functionality of comparable intrusion detection tools.<>","1939-3520","","10.1109/32.372146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372146","","Intrusion detection;Expert systems;Data analysis;Prototypes;Data security;Computer security;Software;Computer science;Information analysis;Research and development","safety systems;security of data;authorisation;access control;expert systems;real-time systems","state transition analysis;rule-based intrusion detection approach;computer penetrations;state changes;state transition diagrams;graphical representation;critical events;rule based expert system;STAT;Unix specific prototype;USTAT;intrusion detection tools","","385","76","34","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Time-Triggered Architecture (TTA) in Industry Hard R-T Embedded Control Software Design","W. Bin; Z. Yunsheng; X. Xin; W. Shuai","Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China; Faculty of Information Engineering and Automation, Kunming university of Science and Technology, Kunming, China","2007 Chinese Control Conference","15 Oct 2007","2007","","","736","739","Conventional event-triggered architecture (ETA) can not meet the industry hard R-T control requirements in security field. This paper studies a hard R-T control embedded control software design mode based on TTA; discusses the task scheduling principle and mode switching method which are based on TTA; and give a series of concrete formalized description and the sequence chart of execution.","1934-1768","978-7-81124-055-9","10.1109/CHICC.2006.4347271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4347271","time-triggered architecture;hard R-T control;mode switching","Computer architecture;Computer industry;Industrial control;Software design;Time of arrival estimation;Automatic control;Design engineering;Electronic mail;Information security;Job shop scheduling","embedded systems;industrial control;scheduling;security of data;software architecture;task analysis","time-triggered architecture;industry hard R-T embedded control software design;event-triggered architecture;security field;task scheduling principle;mode switching method;formalized description","","","","5","IEEE","15 Oct 2007","","","IEEE","IEEE Conferences"
"Event Driven State Transition Schedulers for SDN-IoT architecture based on 6LoWSD protocol and its energy evaluation on the QPN model","W. Khongbuh; G. Saha","Dept. Information Technology, North-Eastern Hill University, Shillong, India; Dept. Information Technology, North-Eastern Hill University, Shillong, India","2023 4th International Conference on Computing and Communication Systems (I3CS)","22 May 2023","2023","","","1","6","The practical Internet of Things at the current stage still persists in handling an energy minimized network. For a proper network communication an energy consumption of 80% is indulged only on the communication setup. 6LoWSD (6LoWPAN Software Defined) is an SDN based IoT network protocol developed to minimized the IoT constraints. The SDN’s feature of decoupling the controller plane from the data plane enhances the network efficiency. These target conducts towards data rate, traffic, throughput and duty cycling management. Besides these it also provides a sense of flexibility towards program-ability for the current IoT networks. Efficient power system is a highly Important domain which needed for handling the stability for the whole SDN-IoT system. An effort towards enveloping state transition schedulers for energy optimization has been experimented in this paper.","","979-8-3503-2377-1","10.1109/I3CS58314.2023.10127553","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127553","IoT;SDN;6LoWSD;QPN","Energy consumption;Protocols;Network topology;Power system stability;Throughput;Stability analysis;Software","computer network security;energy consumption;Internet of Things;protocols;software defined networking","6LoWPAN Software Defined;6LoWSD protocol;communication setup;controller plane;current IoT networks;current stage;data plane;duty cycling management;efficient power system;energy consumption;energy evaluation;energy minimized network;energy optimization;IoT constraints;IoT network protocol;network efficiency;proper network communication;QPN model;SDN's feature;SDN-IoT architecture;SDN-IoT system;state transition schedulers;target conducts","","","","13","IEEE","22 May 2023","","","IEEE","IEEE Conferences"
"A Software-Defined Security Strategy for Supporting Autonomic Security Enforcement in Distributed Cloud","M. Compastié; R. Badonnel; O. Festor; R. He; M. Kassi-Lahlou","MADYNES Research Team - LORIA/INRIA, France; MADYNES Research Team - LORIA/INRIA, France; MADYNES Research Team - LORIA/INRIA, France; Orange Labs, France; Orange Labs, France","2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)","26 Jan 2017","2016","","","464","467","We propose in this paper a software-defined security framework, for supporting the enforcement of security policies in distributed cloud environments. These ones require security mechanisms able to cape with their multi-tenancy and multi-cloud properties. This framework relies on the autonomic paradigm to dynamically configure and adjust these mechanisms to distributed cloud constraints, and exploit the software-defined logic to express and propagate security policies to the considered cloud resources. The proposed framework is evaluated through a set of validation scenarios corresponding to a realistic use cases including cloud resource allocation/deallocation, cloud resource state change, and dynamic access control.","2330-2186","978-1-5090-1445-3","10.1109/CloudCom.2016.0079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830720","computer security;network and service management;cloud computing;autonomic computing;policy based management","Cloud computing;Computer architecture;Protocols;Servers;Context;Security management","authorisation;cloud computing;distributed processing;resource allocation;software fault tolerance","software-defined security strategy;autonomic security enforcement;distributed cloud environments;security policies;multitenancy properties;multicloud properties;software-defined logic;cloud resource allocation;cloud resource deallocation;cloud resource state change;dynamic access control","","6","","13","IEEE","26 Jan 2017","","","IEEE","IEEE Conferences"
"An Improved Intrusion Detection System Based on Agent","B. Dong; X. -L. Liu","Computer Center, Hebei University, Baoding, China; Department of Electronic and Informational Engineering, Hebei University, Baoding, China","2007 International Conference on Machine Learning and Cybernetics","29 Oct 2007","2007","6","","3164","3167","This paper firstly analyzes the necessity of Intrusion Detection System for computer network, and then it proposes an improved intrusion detection system based on Agent by introducing the STAT (State Transition Analysis Tool). The improved system updates rules by Agents, and it perceives real-timely the state of the intruding activities and analyzes them by STAT. It is indicated from the experimental result that the improved intrusion detection system based on Agent is capable of increasing efficiently the detection rate. Finally, the present thesis analyzes the application of this system with its characters.","2160-1348","978-1-4244-0972-3","10.1109/ICMLC.2007.4370692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4370692","Agent;Intrusion detection system;State transition analysis tool;System security","Intrusion detection;Data security;Information security;Machine learning;Cybernetics;Computer networks;Information analysis;Object detection;Hospitals;Electronic mail","security of data;software agents;software tools","intrusion detection system;computer network;software agent;state transition analysis tool","","4","","8","IEEE","29 Oct 2007","","","IEEE","IEEE Conferences"
"A new Detection Approach against attack/intrusion in Measurement and Control System with Fins protocol","J. Gao; J. Li; H. Jiang; Y. Li; H. Quan","China Industrial Control Systems Cyber Emergency Response Team, Beijing, P. R. China; China Industrial Control Systems Cyber Emergency Response Team, Beijing, P. R. China; China Industrial Control Systems Cyber Emergency Response Team, Beijing, P. R. China; China Industrial Control Systems Cyber Emergency Response Team, Beijing, P. R. China; School of Atutomation, Beijing Institute of Technology, Beijing, P. R. China","2020 Chinese Automation Congress (CAC)","29 Jan 2021","2020","","","3691","3696","Measurement and control system integrating different software and hardware is used to measure parameters, monitor process and control operation, which has been widely applied in critical infrastructures and has adopted Ethernet for data exchange. The recent publications have indicated that measurement and control systems are very vulnerable when they are exposed to cyber-attacks due to various intrinsic security weakness. Fins protocol as one of the most popular protocols is built into a larger number of Ormon devices that are used in different kinds of measurement, and control systems and has been targeted as the desirable candidate for cyber-attack. However, the traditional detection method based on traffic analysis and function code compliance detection is unable to detect mode-switching attack that is consistent with the protocol syntax, and it is a very harmful network attack against industrial devices. In this paper, we analyze the defects of measurement and control system using Fins protocol, launch mode-switching attack against Ormon PLC devices and display how to defend against this attack by designing a detection rules insert into Snort. Then, this detection approach is carried out to protect the security of Ormon PLC. Finally, the experimental results show that our detection approach can distinguish and detect this malicious cyber-attack efficiently.","2688-0938","978-1-7281-7687-1","10.1109/CAC51589.2020.9327136","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9327136","detection approach;mode-switching cyber-attack;measurement and control system;Fins protocol","Protocols;Control systems;Ethernet;Switches;Security;Software;Tools","computer network security;local area networks;programmable controllers;protocols;smart power grids","popular protocols;control systems;control operation;different software;control system integrating;malicious cyber-attack;detection rules;launch mode-switching attack;fins protocol;harmful network attack;protocol syntax;function code compliance detection;traditional detection method","","2","","17","IEEE","29 Jan 2021","","","IEEE","IEEE Conferences"
