"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Journal Article","Chandra S,Khan RA","Availability State Transition Model","SIGSOFT Softw. Eng. Notes","2011","36","3","1–3","Association for Computing Machinery","New York, NY, USA","","","2011-05","","0163-5948","https://doi.org/10.1145/1968587.1968603;http://dx.doi.org/10.1145/1968587.1968603","10.1145/1968587.1968603","Several security mechanisms such as digital signature, timestamp audits and trails, encryption, throttling, filtering, protect secrets etc. are available. These security mechanisms are not completely able to stop malicious attacks. For malicious hackers and attackers it is comparatively easy to exploit security loopholes at the user's end side. Behind such type of problem the main reason is bad software design and its implementation without proper risk analysis and mitigation. So, an idea to model availability states an Availability State Transition Model (ASTM) has been proposed in this article. In ASTM methodology, only design level details is required which can be easily retrieved from the software's design.","security metric, security quantification, software security","","",""
"Conference Paper","Pasquale L,Ghezzi C,Menghi C,Tsigkanos C,Nuseibeh B","Topology Aware Adaptive Security","","2014","","","43–48","Association for Computing Machinery","New York, NY, USA","Proceedings of the 9th International Symposium on Software Engineering for Adaptive and Self-Managing Systems","Hyderabad, India","2014","9781450328647","","https://doi.org/10.1145/2593929.2593939;http://dx.doi.org/10.1145/2593929.2593939","10.1145/2593929.2593939","Adaptive security systems aim to protect valuable assets in the face of changes in their operational environment. They do so by monitoring and analysing this environment, and deploying security functions that satisfy some protection (security, privacy, or forensic) requirements. In this paper, we suggest that a key characteristic for engineering adaptive security is the topology of the operational environment, which represents a physical and/or a digital space - including its structural relationships, such as containment, proximity, and reachability. For adaptive security, topology expresses a rich representation of context that can provide a system with both structural and semantic awareness of important contextual characteristics. These include the location of assets being protected or the proximity of potentially threatening agents that might harm them. Security-related actions, such as the physical movement of an actor from a room to another in a building, may be viewed as topological changes. The detection of a possible undesired topological change (such as an actor possessing a safe’s key entering the room where the safe is located) may lead to the decision to deploy a particular security control to protect the relevant asset. This position paper advocates topology awareness for more effective engineering of adaptive security. By monitoring changes in topology at runtime one can identify new or changing threats and attacks, and deploy adequate security controls accordingly. The paper elaborates on the notion of topology and provides a vision and research agenda on its role for systematically engineering adaptive security systems.","Topology, security, adaptation, digital forensics, privacy","","","SEAMS 2014"
"Conference Paper","Rao A,Rozenblit J,Lysecky R,Sametinger J","Trustworthy Multi-Modal Framework for Life-Critical Systems Security","","2018","","","","Society for Computer Simulation International","San Diego, CA, USA","Proceedings of the Annual Simulation Symposium","Baltimore, Maryland","2018","9781510860148","","","","With the advent of network connectivity and complex software applications, life-critical systems like medical devices are subject to a plethora of security risks and vulnerabilities. Security threats and attacks exploiting these vulnerabilities have been shown to compromise patient safety by hampering essential functionality. This necessitates incorporating security from the very design of software. Isolation of software functionality into different modes and switching between them based on risk assessment, while maintaining a fail-safe mode ensuring device's essential functionality is a compelling design. Formal modeling is an essential ingredient for verification of such a design. Hence, in this paper, we formally model a trustworthy multi-modal framework for life-critical systems security and in turn safety. We formalize a multiple mode based software design approach of operation with a fail-safe mode that maintains critical functionality. We ensure trustworthyness by formalizing a composite risk model incorporated into the design for run-time risk assessment and management.","risk assessment, life-critical system security, multi-modal, formal modeling","","","ANSS '18"
"Conference Paper","Zhao G,Ben-yosef G,Qiu J,Zhao Y,Janakaraj P,Boppana S,Schnore AR","Person Re-ID Testbed with Multi-Modal Sensors","","2021","","","526–531","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th ACM Conference on Embedded Networked Sensor Systems","Coimbra, Portugal","2021","9781450390972","","https://doi.org/10.1145/3485730.3494113;http://dx.doi.org/10.1145/3485730.3494113","10.1145/3485730.3494113","Person Re-ID is a challenging problem and is gaining more attention due to demands in security, intelligent system and other applications. Most person Re-ID works are vision-based, such as image, video, or broadly speaking, face recognition-based techniques. Recently, several multi-modal person Re-ID datasets were released, including RGB+IR, RGB+text, RGB+WiFi, which shows the potential of the multi-modal sensor-based person Re-ID approach. However, there are several common issues in public datasets, such as short time duration, lack of appearance change, and limited activities, resulting in un-robust models. For example, vision-based Re-ID models are sensitive to appearance change. In this work, a person Re-ID testbed with multi-modal sensors is created, allowing the collection of sensing modalities including RGB, IR, depth, WiFi, radar, and audio. This novel dataset will cover normal daily office activities with large time span over multi-seasons. Initial analytic results are obtained for evaluating different person Re-ID models, based on small datasets collected in this testbed.","Computer Vision, Deep Learning, WiFi, Neural Network, Person Re-ID, Multi-Modal, Face Recognition","","","SenSys '21"
"Conference Paper","Pasquale L","Topology Aware Adaptive Security","","2017","","","2","IEEE Press","Buenos Aires, Argentina","Proceedings of the 4th International Workshop on Software Engineering Research and Industrial Practice","","2017","9781538627976","","https://doi.org/10.1109/SER-IP.2017..21;http://dx.doi.org/10.1109/SER-IP.2017..21","10.1109/SER-IP.2017..21","Cyber-Physical Systems can be harmed through both cyber-enabled or physically-enabled attacks, particularly ones that exploit the often ignored interplay between the cyber and physical spaces characterizing a system operating environment. Awareness of the topology of the operating environment of systems as well as its dynamics can support adaptive security more effectively.In this talk I propose the use of Bigraphical Reactive Systems to represent the topology of cyber and physical spaces. I describe how to use this representation to reason about the consequences of the evolution of topological configurations on the satisfaction of security requirements. I also illustrate a planning technique to identify an adaptation strategy to be used at runtime, to circumvent, prevent, or mitigate security requirements violations previously identified. Finally I will describe how this approach has been integrated into an existing commercial access control software.","","","","SER&IP '17"
"Conference Paper","Evesti A,Abie H,Savola R","Security Measuring for Self-Adaptive Security","","2014","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2014 European Conference on Software Architecture Workshops","Vienna, Austria","2014","9781450327787","","https://doi.org/10.1145/2642803.2642808;http://dx.doi.org/10.1145/2642803.2642808","10.1145/2642803.2642808","Self-adaptive security is needed due to vast amount of changes in an execution environment and threat landscape, which all cannot be anticipated at software design-time. Self-adaptive security requires means for monitoring a security level and decision making capability to improve the current security level. In this paper, we describe how security metrics are able to support self-adaptive security. The paper analyses benefits and challenges of security measuring from the self-adaptive security perspective. Thus, five benefits and three challenges of security metrics in self-adaptive security are described. Furthermore, the paper derives requirements that measuring causes for self-adaptive security. Based on the derived requirements, extension components for the MAPE (Monitor, Analyse, Plan and Execute) reference model are proposed.","architecture, decision-making, security metric, Self-adaptive","","","ECSAW '14"
"Conference Paper","Berhanu Y,Abie H,Hamdi M","A Testbed for Adaptive Security for IoT in EHealth","","2013","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the International Workshop on Adaptive Security","Zurich, Switzerland","2013","9781450325431","","https://doi.org/10.1145/2523501.2523506;http://dx.doi.org/10.1145/2523501.2523506","10.1145/2523501.2523506","Wireless Body Area Sensor Networks (WBASNs) are networks of low-power sensing objects that collect and send vital signs of a patient using low-rate communication media. They have been originally created to improve the efficiency of e-health applications and they constitute now an important part of the Internet of Things (IoT) by bringing humans into the IoTs. The ASSET (Adaptive Security for Smart Internet of Things in eHealth) project [1] develops risk-based adaptive security methods and mechanisms for IoT in eHealth. The project requires a real-life testbed to evaluate accurately the adaptive security solutions in realistic simulation and use case scenarios. This paper describes the setup of a testbed for adaptive security for the IoT using current commercial off-the-shelf products and open source software. The particular features of the proposed testbed with regard to those published in the literature are underlined. The paper also discusses the validation of the setup through the study of the impact of antenna orientation on energy consumption. To this purpose, an estimation strategy of the energy consumption using the Holt-Winters prediction method has been developed. This will particularly be useful when studying the feasibility of the adaptive lightweight security solutions that will be part of the ASSET project.","testbed, adaptive security, IoT, wireless body area sensor networks, eHealth","","","ASPI '13"
"Conference Paper","Sartoli S,Namin AS","Reasoning Based on Imperfect Context Data in Adaptive Security","","2015","","","835–836","IEEE Press","Florence, Italy","Proceedings of the 37th International Conference on Software Engineering - Volume 2","","2015","","","","","Enabling software systems to adjust their protection in continuously changing environments with imperfect context information is a grand challenging problem. The issue of uncertain reasoning based on imperfect information has been overlooked in traditional logic programming with classical negation when applied to dynamic systems. This paper sketches a non-monotonic approach based on Answer Set Programming to reason with imperfect context data in adaptive security where there is little or no knowledge about certainty of the actions and events.","adaptive security, imperfect data, non-monotonic logic","","","ICSE '15"
"Journal Article","Rauf I,Petre M,Tun T,Lopez T,Lunn P,Van Der Linden D,Towse J,Sharp H,Levine M,Rashid A,Nuseibeh B","The Case for Adaptive Security Interventions","ACM Trans. Softw. Eng. Methodol.","2021","31","1","","Association for Computing Machinery","New York, NY, USA","","","2021-09","","1049-331X","https://doi.org/10.1145/3471930;http://dx.doi.org/10.1145/3471930","10.1145/3471930","Despite the availability of various methods and tools to facilitate secure coding, developers continue to write code that contains common vulnerabilities. It is important to understand why technological advances do not sufficiently facilitate developers in writing secure code. To widen our understanding of developers' behaviour, we considered the complexity of the security decision space of developers using theory from cognitive and social psychology. Our interdisciplinary study reported in this article (1) draws on the psychology literature to provide conceptual underpinnings for three categories of impediments to achieving security goals, (2) reports on an in-depth meta-analysis of existing software security literature that identified a catalogue of factors that influence developers' security decisions, and (3) characterises the landscape of existing security interventions that are available to the developer during coding and identifies gaps. Collectively, these show that different forms of impediments to achieving security goals arise from different contributing factors. Interventions will be more effective where they reflect psychological factors more sensitively and marry technical sophistication, psychological frameworks, and usability. Our analysis suggests “adaptive security interventions” as a solution that responds to the changing security needs of individual developers and a present a proof-of-concept tool to substantiate our suggestion.","Security decisions, security interventions, social psychology, adaptive software engineering, developers, security goals, cognitive psychology","","",""
"Conference Paper","Tun TT,Yang M,Bandara AK,Yu Y,Nhlabatsi A,Khan N,Khan KM,Nuseibeh B","Requirements and Specifications for Adaptive Security: Concepts and Analysis","","2018","","","161–171","Association for Computing Machinery","New York, NY, USA","Proceedings of the 13th International Conference on Software Engineering for Adaptive and Self-Managing Systems","Gothenburg, Sweden","2018","9781450357159","","https://doi.org/10.1145/3194133.3194155;http://dx.doi.org/10.1145/3194133.3194155","10.1145/3194133.3194155","In an adaptive security-critical system, security mechanisms change according to the type of threat posed by the environment. Specifying the behavior of these systems is difficult because conditions of the environment are difficult to describe until the system has been deployed and used for a length of time. This paper defines the problem of adaptation in security-critical systems, and outlines the RELAIS approach for expressing requirements and specifying the behavior in a way that helps identify the need for adaptation, and the appropriate adaptation behavior at runtime. The paper introduces the notion of adaptation via input approximation and proposes statistical machine learning techniques for realizing it. The approach is illustrated with a running example and is applied to a realistic security example from a cloud-based file-sharing application. Bayesian classification and logistic regression methods are used to implement adaptive specifications and these methods offer different levels of adaptive security and usability in the file-sharing application.","security requirements, self-adaptation","","","SEAMS '18"
