"",id,title,authors,doi,link,pub_year,type,abstract,source,pub_title
0,0,An integrated state transition-Boolean logic model for security analysis in cloud computing,A. Zimba; C. Hongsong; W. Zhaoshun,10.1109/CCI.2016.7778962,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778962,2016.0,IEEE Conferences,The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own chal...,IEEE Xplore,2016 First IEEE International Conference on Computer Communication and the Internet (ICCCI)
1,1,Wind power multi-scenario state transition based unit commitment and reserve optimization,M. Xiang; M. Zhou; Z. Zhang; Y. Liu,10.1049/cp.2012.1808,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6493127,2012.0,IET Conferences,"As wind power penetrations are increasing in the power systems, more innovative and sophisticated approaches to system operation will need to be adopted due to the intermittency and unpredictabili...",IEEE Xplore,International Conference on Sustainable Power Generation and Supply (SUPERGEN 2012)
2,2,A Software Watermarking Algorithm Based on Stack-State Transition Graph,X. Jinchao; Z. Guosun,10.1109/NSS.2010.51,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5636081,2010.0,IEEE Conferences,"In the Internet age, Software security and piracy becomes a more and more important issue. In order to prevent software from piracy and unauthorized modification, various techniques have been deve...",IEEE Xplore,2010 Fourth International Conference on Network and System Security
3,3,A network security situation perception model based on immune state transition,Liu Nian; Y. Liu,10.1049/cp.2012.0940,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6492547,2012.0,IET Conferences,This paper proposes a new Model of Network Security Situation Perception based on artificial immunity which can realize immune state transition. This model is used to solve the self and non-self d...,IEEE Xplore,International Conference on Automatic Control and Artificial Intelligence (ACAI 2012)
4,4,An Improved State Transition-Based Security Policy Conflict Detection Algorithm,D. Xiangdong; C. Xingyuan; W. Yongliang; W. Yigong; L. Jiang,10.1109/ICCIS.2010.154,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5709075,2010.0,IEEE Conferences,"Security policy is the core to ensure the system operating safely, security policy conflict will cause the system to suffer a security threaten, which even make system crash, therefore security po...",IEEE Xplore,2010 International Conference on Computational and Information Sciences
5,5,An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC,J. Gao; Y. Li; Y. Li; T. Gong; F. Xu; Q. Zhao; H. Jiang; J. Jia,10.1109/ICSP54964.2022.9778843,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843,2022.0,IEEE Conferences,"Industrial control system (ICS) integrating different software and hardware is not only to collect, obtain and calculate data information, but also to control the machine or production process so ...",IEEE Xplore,2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP)
6,6,Performance Analysis of Multilingual Encryption for Enhancing Data Security using Cellular Automata based State Transition Mapping: A Linear Approach,A. Banerjee; A. Kundu,10.1109/ICCE50343.2020.9290694,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9290694,2020.0,IEEE Conferences,"Authors propose cellular automata (CA) based multilingual encryption algorithm to maintain network based and standalone data security using minimum time. Multilingual data, collected from differen...",IEEE Xplore,2020 IEEE 1st International Conference for Convergence in Engineering (ICCE)
7,7,A new filter collaborative state transition algorithm for two-objective dynamic reactive power optimization,H. Zhang; C. Wang; W. Fan,10.26599/TST.2018.9010068,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8526504,2019.0,TUP Journals,"Dynamic Reactive Power Optimization (DRPO) is a large-scale, multi-period, and strongly coupled nonlinear mixed-integer programming problem that is difficult to solve directly. First, to handle di...",IEEE Xplore,Tsinghua Science and Technology
8,8,State transition analysis: a rule-based intrusion detection approach,K. Ilgun; R. A. Kemmerer; P. A. Porras,10.1109/32.372146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372146,1995.0,IEEE Journals,"The paper presents a new approach to representing and detecting computer penetrations in real time. The approach, called state transition analysis, models penetrations as a series of state changes...",IEEE Xplore,IEEE Transactions on Software Engineering
9,9,Safe and automated state transfer for secure and reliable live update,C. Giuffrida; A. S. Tanenbaum,10.1109/HotSWUp.2012.6226610,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226610,2012.0,IEEE Conferences,"Traditional live update systems offer little or no automated support for state transfer between two different program versions with changes in the program state. In this paper, we report our effor...",IEEE Xplore,2012 4th International Workshop on Hot Topics in Software Upgrades (HotSWUp)
10,10,A process state-transition analysis and its application to intrusion detection,N. Nuansri; S. Singh; T. S. Dillon,10.1109/CSAC.1999.816050,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816050,1999.0,IEEE Conferences,"This paper describes a new technique for detecting security breaches in a computer system. For each Unix process, the user credentials, which are user identifiers, determine the process privilege,...",IEEE Xplore,Proceedings 15th Annual Computer Security Applications Conference (ACSAC'99)
11,11,Optimal Jamming Strategy Against Two-State Switched System,Y. Zhu; H. Zhang; H. Li; J. Zhang; D. Zhang,10.1109/LCOMM.2022.3142080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9676585,2022.0,IEEE Journals,"In this letter, we investigate the security issue of a discrete linear time-varying system following a fixed switching rule. We first give a sufficient condition for the stability of this two-stat...",IEEE Xplore,IEEE Communications Letters
12,12,Practical limitations of sliding-mode switching attacks on smart grid systems,A. K. Farraj; E. M. Hammad; D. Kundur; K. L. Butler-Purry,10.1109/PESGM.2014.6939856,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6939856,2014.0,IEEE Conferences,"Switching attacks in smart grid systems have gained some recent attention by the research community. Based on understanding the structure of the physical system and accessing the system variables,...",IEEE Xplore,2014 IEEE PES General Meeting | Conference & Exposition
13,13,Event Driven State Transition Schedulers for SDN-IoT architecture based on 6LoWSD protocol and its energy evaluation on the QPN model,W. Khongbuh; G. Saha,10.1109/I3CS58314.2023.10127553,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10127553,2023.0,IEEE Conferences,The practical Internet of Things at the current stage still persists in handling an energy minimized network. For a proper network communication an energy consumption of 80% is indulged only on th...,IEEE Xplore,2023 4th International Conference on Computing and Communication Systems (I3CS)
14,14,Time-Triggered Architecture (TTA) in Industry Hard R-T Embedded Control Software Design,W. Bin; Z. Yunsheng; X. Xin; W. Shuai,10.1109/CHICC.2006.4347271,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4347271,2007.0,IEEE Conferences,Conventional event-triggered architecture (ETA) can not meet the industry hard R-T control requirements in security field. This paper studies a hard R-T control embedded control software design mo...,IEEE Xplore,2007 Chinese Control Conference
15,15,A new Detection Approach against attack/intrusion in Measurement and Control System with Fins protocol,J. Gao; J. Li; H. Jiang; Y. Li; H. Quan,10.1109/CAC51589.2020.9327136,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9327136,2020.0,IEEE Conferences,"Measurement and control system integrating different software and hardware is used to measure parameters, monitor process and control operation, which has been widely applied in critical infrastru...",IEEE Xplore,2020 Chinese Automation Congress (CAC)
16,16,An Improved Intrusion Detection System Based on Agent,B. Dong; X. -L. Liu,10.1109/ICMLC.2007.4370692,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4370692,2007.0,IEEE Conferences,"This paper firstly analyzes the necessity of Intrusion Detection System for computer network, and then it proposes an improved intrusion detection system based on Agent by introducing the STAT (St...",IEEE Xplore,2007 International Conference on Machine Learning and Cybernetics
17,17,Semantic Intrusion Detection System using pattern matching and state transition analysis,K. S. Ganesh; M. R. Sekar; V. Vaidehi,10.1109/ICRTIT.2011.5972244,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5972244,2011.0,IEEE Conferences,"Emerging technologies have metamorphosed the nature of surveillance and monitoring application, but the sensory data collected using various gadgets still remain changeable and poorly synchronized...",IEEE Xplore,2011 International Conference on Recent Trends in Information Technology (ICRTIT)
18,18,Reserve Allocation of Integrated Electrical and Natural Gas System Considering Accurate Modelling for CCGTs’ Mode Transition Trajectories,C. Wang; Z. Bie; C. Yan; C. Wang; G. Li,10.1109/APAP47170.2019.9224664,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9224664,2019.0,IEEE Conferences,"With higher penetration of renewable energy sources (RES), more combined-cycle gas turbines (CCGTs) will be deployed. These flexible gas-fired generators can provide efficient system reserve to de...",IEEE Xplore,2019 IEEE 8th International Conference on Advanced Power System Automation and Protection (APAP)
19,19,Application of Solid State Transfer Switch in emergency power supply vehicles,Y. Qian; Y. Zhang; M. Chen; J. Sun; C. Du; Y. Wang,10.1109/CICED.2014.6991730,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6991730,2014.0,IEEE Conferences,"In order to ensure high-reliability and high-security of the power supply for major politic, economic and culture activities, emergency power supply vehicle is often used to provide backup by powe...",IEEE Xplore,2014 China International Conference on Electricity Distribution (CICED)
20,20,A Novel Intrusion Detection Algorithm for Industrial Control Systems Based on CNN and Process State Transition,J. Liu; L. Yin; Y. Hu; S. Lv; L. Sun,10.1109/PCCC.2018.8710993,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8710993,2018.0,IEEE Conferences,"As closed Industrial Control Systems (ICS) gradually evolve toward networking, ICS data and operational processes can be easily tampered with by attackers, causing industrial control equipment to ...",IEEE Xplore,2018 IEEE 37th International Performance Computing and Communications Conference (IPCCC)
21,21,Low power pattern matching scheme through FSM state transition for next generation NIDS system,S. Nagaraju; P. S. Reddy,10.1109/ICECCT.2017.8117928,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8117928,2017.0,IEEE Conferences,The coordinated matching process is a most challenging task in a present NIDS system over the increase in malicious attacks. Many digital systems have been invented to accommodate increased networ...,IEEE Xplore,"2017 Second International Conference on Electrical, Computer and Communication Technologies (ICECCT)"
22,22,Mode security: an infrastructure for covert channel suppression,R. Browne,10.1109/RISP.1994.296593,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296593,1994.0,IEEE Conferences,The paper discusses a theory of covert channels called mode security. The general idea is to organize the state transitions of a multilevel state machine into distinct sets called modes. Roughly s...,IEEE Xplore,Proceedings of 1994 IEEE Computer Society Symposium on Research in Security and Privacy
23,23,A Network Access Control Architecture Using State-Transfer-Based Dynamic Policy,C. Zang; Z. Huang; G. Chen; J. Dong,10.1109/CSCWD.2006.253234,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019270,2006.0,IEEE Conferences,The access control architecture using state-transfer-based dynamic policy is proposed to make access control more flexible and dynamic. This architecture can dynamically change the policy accordin...,IEEE Xplore,2006 10th International Conference on Computer Supported Cooperative Work in Design
24,24,Analysis of a Virtualization-based Recovery Approach for Intrusion Tolerance Systems,J. Huang; Q. Ai,10.1109/CSA.2013.17,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6835543,2013.0,IEEE Conferences,"Recovery is a promising approach for building intrusion tolerant systems that remove or minimize the effects of malicious attacks. In this paper, a Virtualization-based Recovery approach for Intru...",IEEE Xplore,2013 International Conference on Computer Sciences and Applications
25,25,Privacy-mode switching: Toward flexible privacy protection for RFID tags in Internet of Things,Y. Li; T. Nakasone; K. Ohta; K. Sakiyama,10.1109/CCNC.2014.6940531,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6940531,2014.0,IEEE Conferences,The privacy problem becomes the biggest obstacle when applying the RFID technology to personal customers usage in Internet of Things. Privacy protection is in the cost of computational overhead an...,IEEE Xplore,2014 IEEE 11th Consumer Communications and Networking Conference (CCNC)
26,26,A Software-Defined Security Strategy for Supporting Autonomic Security Enforcement in Distributed Cloud,M. Compastié; R. Badonnel; O. Festor; R. He; M. Kassi-Lahlou,10.1109/CloudCom.2016.0079,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830720,2016.0,IEEE Conferences,"We propose in this paper a software-defined security framework, for supporting the enforcement of security policies in distributed cloud environments. These ones require security mechanisms able t...",IEEE Xplore,2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)
27,27,Penetration state transition analysis: A rule-based intrusion detection approach,P. A. Porras; R. A. Kemmerer,10.1109/CSAC.1992.228217,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=228217,1992.0,IEEE Conferences,A new approach to representing computer penetrations is introduced called penetration state transition analysis. This approach models penetrations as a series of state transitions described in ter...,IEEE Xplore,[1992] Proceedings Eighth Annual Computer Security Application Conference
28,28,Buterin's Scalability Trilemma viewed through a State-change-based Classification for Common Consensus Algorithms,A. Altarawneh; T. Herschberg; S. Medury; F. Kandah; A. Skjellum,10.1109/CCWC47524.2020.9031204,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9031204,2020.0,IEEE Conferences,"Consensus algorithms in distributed systems have attracted much attention in recent studies. However, there is a need for a classification that leads to better understanding and helps direct the d...",IEEE Xplore,2020 10th Annual Computing and Communication Workshop and Conference (CCWC)
29,29,Extended Algebraic State-Transition Diagrams,L. Nganyewou Tidjon; M. Frappier; M. Leuschel; A. Mammar,10.1109/ICECCS2018.2018.00023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595068,2018.0,IEEE Conferences,"Algebraic State-Transition Diagrams (ASTDs) are extensions of common automata and statecharts that can be combined with process algebra operators like sequence, choice, guard and quantified synchr...",IEEE Xplore,2018 23rd International Conference on Engineering of Complex Computer Systems (ICECCS)
