id;Relevant?;title
18;Y;Semantic Intrusion Detection System using pattern matching and state transition analysis
107;Y;A network state based intrusion detection model
125;Y;Policy Monitoring and a Finite State Automata Model
231;Y;A Self-Adaptive Bell–LaPadula Model Based on Model Training With Historical Access Logs
269;n;Continuous Authentication of Embedded Software
285;n;A Memory-Efficient Bit-Split Parallel String Matching Using Pattern Dividing for Intrusion Detection Systems
337;Y;Implementing trustworthy services using replicated state machines
444;n;CoToRu: Automatic Generation of Network Intrusion Detection Rules from Code
462;Y;A Secure and Reliable Platform Configuration Change Reporting Mechanism for Trusted Computing Enhanced Secure Channels
485;Y;Designing a Security Platform for Collaborating Autonomous Systems - An Experience Report
532;n;User interface for network operations in energy control centers
578;Y;Energy-aware adaptive security management for wireless sensor networks
619;n;A Framework for Design, Verification, and Management of SoC Access Control Systems
639;Y;Adaptive security provision for increased energy efficiency in Wireless Sensor Networks
795;Y;Integrating Multi-Modal Circuit Features within an Efficient Encryption System
831;Y;Analysis and Research on Security Protection and Control of Intelligent Substation Based on Visualization Technology
862;Y;Secured remote configuration approach for industrial cyber-physical systems
906;n;Hybrid Optimization Enabled Robust CNN-LSTM Technique for Network Intrusion Detection
940;Y;On the Performance and Scalability of Simulators for Improving Security and Safety of Smart Cities
1074;n;WRDI: A Multimodal Dataset of mmWave Radar Data and Image
1098;n;Biometric for home environment challenges, modalities and applications
1145;n;Radial Voltage Stability
1246;n;A Cross-Layer Green Information-Centric Networking Design Toward the Energy Internet
1258;n;UBSegNet: Unified Biometric Region of Interest Segmentation Network
1274;n;Tracklet and Signature Representation for Multi-Shot Person Re-Identification
1275;n;Computer assisted spine surgery: A first step toward clinical, application in orthopaedics
1317;n;AnyCall: Fast and Flexible System-Call Aggregation
1366;n;Theorem-Based, Data-Driven, Cyber Event Detection
1369;Y;Towards Automated Network Mitigation Analysis
1376;n;Time Pattern Analysis of Malware by Circular Statistics
1472;Y;Effective Multitask Deep Learning for IoT Malware Detection and Identification Using Behavioral Traffic Analysis
1478;Y;Two-stage self-adaption security and low-carbon dispatch strategy of energy storage systems in distribution networks with high proportion of photovoltaics
1570;n;Multimodal Data Augmentation for Visual-Infrared Person ReID with Corrupted Data
1572;Y;A Hybrid Dynamic Risk Analysis Methodology for Cyber-Physical Systems
1631;Y;Multi-modal biometric fusion based continuous user authentication for E-proctoring using hybrid LCNN-Salp swarm optimization
1639;Y;Adaptive IDS for Cooperative Intelligent Transportation Systems Using Deep Belief Networks
1652;n;User Identity Linkage via Co-Attentive Neural Network From Heterogeneous Mobility Data
1673;n;GAN based Visible to Thermal Image Translation
1740;n;Management of information processes under a radiation emergency
