id;Relevant?;title
46;n;Frequency Response Capabilities of Utility-scale Battery Energy Storage Systems, with Application to the August 2018 Separation Event in Australia
76;n;Generalized n+2 state system Markov model for station-oriented reliability evaluation
142;y;Hybrid Hierarchical Network Intrusion Detection
143;y;A State-Adaptive Access Control Model for Web-Based IDRS System
151;n;Power grids reliability appraisal with intrusion tolerant capability in SCADA systems
216;y;Distributed Secure Control Against Denial-of-Service Attacks in Cyber-Physical Systems Based on K-Connected Communication Topology
344;y;Remote Attestation with Domain-Based Integrity Model and Policy Analysis
436;n;Transparent 3rd-Party Authentication With Application Mobility for 5G Mobile Edge Computing
458;n;Automatic Current Transformer Verification Technology for High-Speed Railway Power Based on Edge-Cloud Collaborative Computing
501;n;Framework for Identification of Power System Operating Security Regions
606;n;Conceptual framework for composite power system health analysis
635;y;FBASHI: Fuzzy and Blockchain-Based Adaptive Security for Healthcare IoTs
720;y;Runtime Security Adaptation Using Adaptive SSL
729;y;Forming the multi-modal situation context in ambient intelligence systems on the basis of self-organizing cognitive architectures
752;y;Adaptive Protective Relay Settings – A Vision to the Future
764;n;Optimal Energy Reserve Scheduling in Integrated Electricity and Gas Systems Considering Reliability Requirements
776;n;A Study of Biometric Identification and Verification System
790;n;Wearable haptic-based multi-modal teleoperation of field mobile manipulator for explosive ordnance disposal
816;y;Reliability Modeling and Assessment of Cyber Space in Cyber-Physical Power Systems
1010;y;Meta-control for Adaptive Cybersecurity in FUZZBUSTER
1017;y;Integrating changes to a hierarchical policy model
1025;y;Fusion of Multi-Modal Credentials for Authentication in Digital Identity Management Systems
1086;y;A Conception of Prospects for Application of Edge Computing Technology in Equipment Support
1129;y;A Novel Paradigm: Cloud-Fog Integrated IoT Approach
1182;y;Sentinel: A Multi-institution Enterprise Scale Platform for Data-driven Cybersecurity Research
1249;n;Tracking multiple three-dimensional motions by using modified condensation algorithm and multiple images
1283;y;Fault Detection of LLE Compound Statistic Based on Weighted K-nearest Neighbor Selection
1286;y;Development Process and Hot Spot Analysis of Object Detection Based on Mapping Knowledge Domains
1338;y;Improving Virtualization in the Presence of Software Managed Translation Lookaside Buffers
1348;y;Prediction of the Domain Name System (DNS) Quality Attributes
1395;n;A Bottom-Up Approach to Teaching Server-Side Web Development Skills (Abstract Only)
1461;y;Adaptive Security and Cyber Assurance for Risk-Based Decision Making
1489;y;Autoencoder-Based Collaborative Attention GAN for Multi-Modal Image Synthesis
1491;y;Deep multimodal representation learning for generalizable person re-identification
1510;y;State Identification of Power System Based on Visual Geometric Group Network
1545;n;Evaluation and Adjustment Based on Broad Learning System for Small Signal Stability Analysis of Power System Integrated with Wind Farms
1674;y;Observer-Based Adaptive Security Control for Network Control Systems Under TDS Actuator Attacks
1701;n;CONDITIONAL RGB-T FUSION FOR EFFECTIVE CROWD COUNTING
1712;y;State Estimation of Intelligent Distribution Network Based on Data Fusion
1756;n;The Application of Beidou and Ultra-Broadband Positioning Technology in the Power Security Protection System
1773;n;Template security scheme for multimodal biometrics using data fusion technique
1839;y;Enabling self-adaptability of small scale and large scale security systems using dynamic partial reconfiguration
1862;y;Continuous auditing and threat detection in multi-cloud infrastructure
1952;y;Multi-source Anomaly Detection in Distributed IT Systems
1954;n;Detecting Portable Executable Malware by Binary Code Using an Artificial Evolutionary Fuzzy LSTM Immune System
1990;n;Multimodal self-assessed personality prediction in the wild
2047;n;An Adaptive Security Data Collection and Composition Recognition method for security measurement over LTE/LTE-A networks
2071;y;Security-reliability tradeoff for multi-terminal multi-mode coexisting systems in the presence of multiple eavesdroppers
2183;n;A robust single-sensor face and iris biometric identification system based on multimodal feature extraction network
2187;n;Multi-modal multi-layer fusion network with average binary center loss for face anti-spoofing
2227;y;Adaptively secure anonymous identity-based broadcast encryption for data access control in cloud storage service
2263;y;Understanding the Evolution of Ransomware: Paradigm Shifts in Attack Structures
2321;n;Multimodal biometrics system using feature-level fusion of iris and fingerprint
2335;n;A Progressive Vehicle Search System for Video Surveillance Networks
2386;n;Multimodal Biometric Authentication Algorithm Using Iris, Palm Print, Face and Signature with Encoded DWT
2389;y;Cryptographic key generation from multimodal template using fuzzy extractor
2414;n;Virtual teach pendant interface for android cellphones (VTPAC)
2473;n;Person tracking association using multi-modal systems
2486;n;Voltage Security Assessment by Using PFDT and CBR Methods in Emerging Power System
2629;n;Managing intellectual property in a music fruition environment
2642;n;Multimodal biometrics for improvised security
2709;n;The first large area, high X-ray energy phase contrast prototype for enhanced detection of threat object in baggage screening
2738;n;Multimodal Fingerprint Spoof Detection Using White Light
2815;n;Hand based multibiometric authentication using local feature extraction
2903;n;Novel mixture model-based approaches for person verification using multimodal biometrics
2941;y;The integration of diversely redundant designs, dynamic system models, and state estimation technology to the cyber security of physical systems
2975;y;Approach to security attack pattern networks on the basis of bayesian networks
2991;n;Multi-view multi-modal gait based human identity recognition from surveillance videos
