id,relevant,title,abstract
10,y,A Network Access Control Architecture Using State-Transfer-Based Dynamic Policy,"The access control architecture using state-transfer-based dynamic policy is proposed to make access control more flexible and dynamic. This architecture can dynamically change the policy according to a state-transfer composed of a previous state and a current state. It can indicate the tendency of the system by using both previous and current information in order to decide a more appropriate policy to the current system and future condition. And there are two steps in this dynamic policy method, one is deciding a partial-state and the other one is deciding a state, two dynamic policy decision layers are included into this architecture in order to manage these two steps."
18,n,Algorithmic Analysis of the System Based on the Functioning Table and Information Security,"Systems are ideally and rapidly evolving with the development of the Internet and modern web technologies. Example, Ecological monitoring information system has become very important in determining its superiority as a system, so it should be tested. This article describes how to benchmark a system by creating a state change graph to simulate different intuitions on the part of each subsystem, and then comparing the graph to Petri net modeling based on Functioning table (PNMFT). Test cases can be prepared based on the accessibility of trees based on comparable PNMFTs. The existing fact-testing strategy for comprehensive testing of the system will be further generalized to improve the consistent quality of the remaining tests. After that, talk about algorithmic analysis of the system is an important for information security issue. The initial stage of ongoing research to improve the reliability of algorithmic analysis of algorithmic formalization of web systems is described. It may also be advisable to include a set of dynamic coverage criteria for web systems defined for the statistical testing approach used through algorithmic analysis to improve testing quality and algorithmic formalization of the web system through algorithmic analysis."
24,n,Software defined network: Future of networking,"The digital world we live in has been lead by the evolution of Internet, which has created revolution. Today almost everything is connected and accessible from anywhere, everywhere. Unfortunately, the traditional IP network system is still complex, not easily manageable and difficult to reconfigure in case of any change or fault. Software Defined Networking (SDN) is an emerging paradigm separates the network's control logic from the underlying routers and switches, promoting logical centralization of network control and introducing the ability to program the network. It has become the focus in the current information and communication technology area because of its flexibility and programmability. SDN abstracts low-level network functionalities to simplify network management. The OpenFlow protocol implements the SDN concept by abstracting network elements. It offers flexible and scalable functionality for network by decoupling the network control from forwarding devices. SDN uses a REST API (Representational State Transfer) for communication between controller and another application."
67,n,Towards Further Formal Foundation of Web Security: Expression of Temporal Logic in Alloy and Its Application to a Security Model With Cache,"Security analysis of a web system is complicated, and thus analysis using formal methods to describe system specification mathematically has attracted attention. Some previous studies have adopted formal methods, but their models cannot express parallel communication completely. This limitation gives rise to problems where web functions, such as a cache that stores contents, cannot be defined and attacks that forge contents cannot be analyzed. These problems are present in the Alloy-based implementations of current models that do not have the ability to express temporal logic. Therefore, we design implementation and evaluation of temporal logic in Alloy to express time series and parallel computation for web security analysis. In doing so, state transitions in the web can be expressed by fitting them in our proposed syntax. As concrete applications, we describe a web security model that includes caches and show that our proposed syntax can analyze state-of-the-art attacks, such as unauthorized access to users' account pages via caches. The source code of our proposed model in Alloy is publicly available."
85,y,The STAT tool suite,"Describes a suite of intrusion detection tools developed by the Reliable Software Group at the University of California at Santa Barbara (UCSB). The tool suite is based on the state transition analysis technique (STAT), in which computer penetrations are specified as sequences of actions that cause transitions in the security state of a system. This general approach has been extended and tailored to perform intrusion detection in different domains and environments. The most recent STAT-based intrusion detection systems were developed following a framework-based approach, and the resulting design uses a ""core"" module that embodies the domain-independent characteristics of the STAT approach. This generic core is extended in a well-defined way to implement intrusion detection systems for different domains and environments. The approach supports software reuse, portability and extendibility, and it allows for the optimization of critical functionalities."
96,y,Privacy-Preserving Medical Treatment System Through Nondeterministic Finite Automata,"In this article, we propose a privacy-preserving medical treatment system using nondeterministic finite automata (NFA), hereafter referred to as P-Med, designed for remote medical environment. P-Med makes use of the nondeterministic transition characteristic of NFA to flexibly represent medical model, which includes illness states, treatment methods and state transitions caused by exerting different treatment methods. A medical model is encrypted and outsourced to cloud to deliver telemedicine service. Using P-Med, patient-centric diagnosis and treatment can be made on-the-fly while protecting the confidentiality of patient’s illness states and treatment recommendation results. Moreover, a new privacy-preserving NFA evaluation method is given in P-Med to get a confidential match result for the evaluation of an encrypted NFA and an encrypted data set, which avoids the cumbersome inner state transition determination. We demonstrate that P-Med realizes treatment procedure recommendation without privacy leakage to unauthorized parties. We conduct extensive experiments and analysis to evaluate the efficiency."
140,n,A Blockchain-Based Authentication and Security Mechanism for IoT,"The existing identity authentication of IoT devices mostly depends on an intermediary institution, i.e., a CA server, which suffers from the single-point-failure attack. Even worse, the critical data of authenticated devices can be tampered by inner attacks without being identified. To address these issues, we utilize blockchain technology, which serves as a secure tamper-proof distributed ledger to IoT devices. In the proposed method, we assign a unique ID for each individual device and record them into the blockchain, so that they can authenticate each other without a central authority. We also design a data protection mechanism by hashing significant data (i.e. firmware) into the blockchain where any state changes of the data can be detected immediately. Finally, we implement a prototype based on an open source blockchain platform Hyperledger Fabric to verify the proposed system."
144,n,"Effects of layer thickness for GSAW, PSAW and HVPSAW devices","Considerable efforts in recent SAW device design and development have aimed at low loss, high performance and high frequency operation. A large number of applications relate to cellular and mobile telephony, pagers, local area networks, cordless phones, global positioning systems, and security systems. Pseudo-SAW (PSAW) and more recently the High Velocity Pseudo-SAW (HVPSAW) have received a great deal of attention due to their high phase velocities, and therefore the high frequencies of operation these modes may provide. In addition to high phase velocities, the pseudo-modes must also present low propagation losses and considerably high electromechanical coupling coefficients to be considered for practical devices. This paper verifies that the metallic layer thickness is a relevant SAW device parameter in order to achieve lower losses, for high frequency, high electromechanical coupling, low loss SAW devices. Popular PSAW and HVPSAW material orientations such as 64/spl deg/ YX LiNbO/sub 3/(0/spl deg/ 26/spl deg/ 0/spl deg/), 36/spl deg/ YX LiTaO/sub 3/ (0/spl deg/-54/spl deg/ 0/spl deg/), LiNbO/sub 3/ (90/spl deg/ 90/spl deg/ 36/spl deg/), LiTaO/sub 3/ (90/spl deg/ 90/spl deg/ 31/spl deg/), quartz ST-X (0/spl deg/ 132.75/spl deg/ 0/spl deg/), Li/sub 2/B/sub 4/O/sub 7/ (0/spl deg/ 45/spl deg/ 90/spl deg/), among others, are considered. In addition to the lower losses and the dispersion analysis for the pseudo modes, the present work discusses the transitions with layer thickness from HVPSAWs to higher order PSAWs modes, and the transitions from PSAWs to the generalized SAWs (GSAWs) modes. Besides contributing to the knowledge of the pseudo-modes behavior with layer thickness, this mode transition analysis enlightens the situation where the losses in the pseudo modes go to zero, due to the merging of the pseudo modes into the GSAWs. The fact that as a function of thickness the GSAWs are a natural continuation for the pseudo modes may be conveniently used in the fabrication of low loss devices. For completeness the effects of heavy layer metals, such as gold, in reducing the layer thickness where the pseudo modes merge to the GSAWs are discussed. Numerical results are compared to some experimental data available in the literature, and the present analysis elucidates experimentally observed higher order pseudo modes, and values of layer thickness where lower losses are achieved."
150,n,Defining the possible variants of a sectioned network by using a modified Newton-Raphson algorithm,"Congestions and undesirable power flows are an increasingly common occurrence in transmission networks. One possible measure to eliminate the congestion in network would be changing the network's topology since the stated changes the impedance of the network, which results in a change of power flow. Since the change in network topology has various implications, it can also be used as a powerful tool in optimization techniques resulting in reduction of power system losses, as well as in the already mentioned congestion management. This study deals with a new approach to the problem of changes in network topology based on application of a three-dimensional matrix of admittance, and with automating the process of power flow calculations for all possible variants of the network."
159,n,Using cloud SaaS to ensure interoperability and standardization in heterogeneous Cloud based environment,"During the last years, because of the evolution of Cloud applications and the attractive advantages given to consumers, many companies outsource their data and Information Technology (IT) system to the Cloud based technology. With the growth in the number of Cloud Service Providers, many enterprises and organizations can use and associate services from multiple providers. There may be many Internet protocols for service access standards that are used to ensure interoperability between users browser and Web server, such as Representational State Transfer (REST) and Simple Object Access Protocol (SOAP). Each service has its specific characteristics such as authentication and security requirements. Hence, Cloud providers attempt to lock customers into proprietary interfaces so consumers can find themselves at not expects inevitable vendor lock-in. Therefore, the focus of our paper is to propose a solution to this problem by using Cloud intermediate between Cloud providers and consumer in heterogeneous Cloud environments interfaces. This is to achieve benefits such as standardization and interoperability, minimizing lock-in of Cloud providers. To reach such benefits, we propose a Cloud SaaS based on two interfaces and an internet component. These interfaces are used in Cloud Consumer and Provider sides and therefore guarantee communication between Cloud Consumer and Provider using different Internet protocols for Web service access such as REST and SOAP. Our approach guarantees interoperability and standardization in heterogeneous Cloud based environments because in this case Cloud Consumer and Provider using REST interface can communicate easily with Cloud Provider and Consumer using SOAP interface."
