,id,title,authors,doi,link,pub_year,type,abstract,source,pub_title
17,18,Semantic Intrusion Detection System using pattern matching and state transition analysis,K. S. Ganesh; M. R. Sekar; V. Vaidehi,10.1109/ICRTIT.2011.5972244,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5972244,2011.0,IEEE Conferences,"Emerging technologies have metamorphosed the nature of surveillance and monitoring application, but the sensory data collected using various gadgets still remain changeable and poorly synchronized. Recently data mining and state transition analysis are becoming important components in identifying intrusions. This paper proposes a semantic based intrusion detection scheme where state transition analysis, pattern matching and data mining techniques are integrated to maximize the detection accuracy. Patterns and rules are formulated based on the events detected by WSN. The sink receives information about the several events happening in the coverage area and correlates the streaming data (events) in spatial domain (several sensors) and time domain. The semantic rules are developed using ANTLR tool. The proposed scheme has been validated using a surveillance system for detecting an intruder. Implementations prove that the proposed hybrid intrusion detection scheme can accurately detect an intruder with the help of a wired network and an appropriate database.",IEEE Xplore,2011 International Conference on Recent Trends in Information Technology (ICRTIT)
106,107,A network state based intrusion detection model,Shan Zheng; Chen Peng; Xu Ying; Xu Ke,10.1109/ICCNMC.2001.962636,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=962636,2001.0,IEEE Conferences,"This paper presents a new approach, called the network state based model, to describe intrusions and attacks. In the model which uses FA theory and can detect unknown attacks, the attacks and intrusions are described by the states and state transitions of network protocols and operating systems. First, the paper shows that the model is feasible for intrusion detection, and then describes the intrusion detection system using this model by common intrusion detection framework. Finally, the network state based model is compared with some other models.",IEEE Xplore,Proceedings 2001 International Conference on Computer Networks and Mobile Computing
124,125,Policy Monitoring and a Finite State Automata Model,P. Jun; C. Xingyuan; W. Bei; D. Xiangdong; W. Yongliang,10.1109/CSSE.2008.1254,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4722134,2008.0,IEEE Conferences,"Policy monitoring is one of the most indispensable parts in the security policy management, which can improve the reliability of the system and offer the references to the other audit after some security incidentspsila occurrences. In this paper, the policy states are divided into several types. Also the policy states transition model based on the Mealy automata is promoted, which provides the objects and method for the policy monitoring. Finally, the programs implementation of the automata and the test results demonstrate the timely response as soon as events happen.",IEEE Xplore,2008 International Conference on Computer Science and Software Engineering
230,231,A Self-Adaptive Bell–LaPadula Model Based on Model Training With Historical Access Logs,Z. Tang; X. Ding; Y. Zhong; L. Yang; K. Li,10.1109/TIFS.2018.2807793,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8295130,2018.0,IEEE Journals,"In currently popular access control models, the security policies and regulations never change in the running system process once they are identified, which makes it possible for attackers to find the vulnerabilities in a system, resulting in the lack of ability to perceive the system security status and risks in a dynamic manner and exposing the system to such risks. By introducing the maximum entropy (MaxENT) models into the rule optimization for the Bell-LaPadula (BLP) model, this paper proposes an improved BLP model with the self-learning function: MaxENT-BLP. This model first formalizes the security properties, system states, transformational rules, and a constraint model based on the states transition of the MaxENT. After handling the historical system access logs as the original data sets, this model extracts the user requests, current states, and decisions to act as the feature vectors. Second, we use k -fold cross validation to divide all vectors into a training set and a testing set. In this paper, the model training process is based on the Broyden-Fletcher-Goldfarb-Shanno algorithm. And this model contains a strategy update algorithm to adjust the access control rules dynamically according to the access and decision records in a system. Third, we prove that MaxENT-BLP is secure through theoretical analysis. By estimating the precision, recall, and F1-score, the experiments show the availability and accuracy of this model. Finally, this paper provides the process of model training based on deep learning and discussions regarding adversarial samples from the malware classifiers. We demonstrate that MaxENT-BLP is an appropriate choice and has the ability to help running information systems to avoid more risks and losses.",IEEE Xplore,IEEE Transactions on Information Forensics and Security
268,269,Continuous Authentication of Embedded Software,K. Ott; R. Mahapatra,10.1109/TrustCom/BigDataSE.2019.00026,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8887364,2019.0,IEEE Conferences,This paper explores the use of frequency information of hardware performance counter data to enable continuous authentication (CA) in embedded software. Current approaches for CA are not targeted for use with embedded software. In order to be more suitable for embedded scenarios the proposed method uses short time Fourier transforms on streams of hardware performance counters. The frequency information is used to build an encoding to a state transition. These transitions are used to build a corresponding state machine which recognizes and authenticates the protected program continuously at run time. The method achieves an average successful authentication true positive rate of 97% with a 1.5% false positive rate.,IEEE Xplore,"2019 18th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/13th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)"
284,285,A Memory-Efficient Bit-Split Parallel String Matching Using Pattern Dividing for Intrusion Detection Systems,H. Kim; H. -S. Kim; S. Kang,10.1109/TPDS.2011.85,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5733341,2011.0,IEEE Journals,"For the low-cost hardware-based intrusion detection systems, this paper proposes a memory-efficient parallel string matching scheme. In order to reduce the number of state transitions, the finite state machine tiles in a string matcher adopt bit-level input symbols. Long target patterns are divided into subpatterns with a fixed length; deterministic finite automata are built with the subpatterns. Using the pattern dividing, the variety of target pattern lengths can be mitigated, so that memory usage in homogeneous string matchers can be efficient. In order to identify each original long pattern being divided, a two-stage sequential matching scheme is proposed for the successive matches with subpatterns. Experimental results show that total memory requirements decrease on average by 47.8 percent and 62.8 percent for Snort and ClamAV rule sets, in comparison with several existing bit-split string matching methods.",IEEE Xplore,IEEE Transactions on Parallel and Distributed Systems
336,337,Implementing trustworthy services using replicated state machines,F. B. Schneider; Lidong Zhou,10.1109/MSP.2005.125,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1514398,2005.0,IEEE Magazines,"A thread of research has emerged to investigate the interactions of replication with threshold cryptography for use in environments that satisfy weak assumptions. The result is a new paradigm known as distributed trust; this article attempts to survey that landscape. ""Divide and conquer"" can be a powerful tool for disentangling complexity when designing a computing system. However, some aspects of system design are inseparable. Treating these as though they were independent leads to one interfering with the other, and ""divide and be conquered"" perhaps better characterizes the consequences. For some years, we have been investigating how to construct systems that continue functioning despite component failures and attacks. A question we have pondered is to what extent does divide and conquer apply? Somewhat less than you might hope is, unfortunately, the answer. One could argue that attacks can be seen as just another cause for component failure. The Byzantine fault model asserts that a faulty component can exhibit arbitrarily malicious (so-called ""Byzantine"") behavior; a system that tolerates Byzantine faults should then be able to handle anything. Moreover, because any component can be viewed abstractly in terms of its state and a set of possible next-state transitions - in short, a state machine - fault-tolerant services can be built by assembling enough state-machine copies so that outputs from the ones exhibiting Byzantine behavior are outvoted by the correctly functioning ones. The fault-tolerance of the ensemble thus exceeds the fault-tolerance of any individual state machine, and a distributed fault-tolerance is the result. A closer look at such replicated state machines, however, reveals problems ""when attacks are possible. Specific difficulties with the approach and how we can overcome these are described later in this article, but the overall vision remains compelling: place more trust in an ensemble than in any of its individual components. In analogy with distributed fault-tolerance, then, we are seeking ways to implement distributed trust.",IEEE Xplore,IEEE Security & Privacy
443,444,CoToRu: Automatic Generation of Network Intrusion Detection Rules from Code,H. C. Tan; C. Cheh; B. Chen,10.1109/INFOCOM48880.2022.9796697,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796697,2022.0,IEEE Conferences,"Programmable Logic Controllers (PLCs) are the brains of Industrial Control Systems (ICSes), and thus, are often targeted by attackers. While many intrusion detection systems (IDSes) have been adapted to monitor ICS, they cannot detect malicious network packets from a compromised PLC that con-form to the network protocol. A domain expert needs to manually construct IDS rules to model a PLC’s behavior. That approach is time-consuming and error-prone. Alternatively, machine learning can infer a PLC’s behavior model from network traces, but that model may be inaccurate due to a lack of high-quality training data. This paper presents CoToRu - a toolchain that takes in the PLC’s code to automatically generate a comprehensive set of IDS rules. CoToRu comprises (1) an analyzer that parses PLC code to build a state transition table for modeling the PLC’s behavior, and (2) a generator that instantiates IDS rules for detecting deviations in PLC behavior. The generated rules can be imported into Zeek IDS to detect various attacks. We apply CoToRu to a power grid testbed and show that our generated rules provide superior performance compared to existing IDSes, including those based on statistical analysis, invariant-checking, and machine learning. Our prototype with CoToRu’s generated rules provide sub-millisecond detection latency, even for complex PLC logic.",IEEE Xplore,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications
461,462,A Secure and Reliable Platform Configuration Change Reporting Mechanism for Trusted Computing Enhanced Secure Channels,K. Dietrich,10.1109/ICYCS.2008.530,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4709304,2008.0,IEEE Conferences,"The security of well established secure channel technologies like transport layer security (TLS) or IP security (IPSec) can be significantly improved by emerging concepts like trusted computing. The use of trusted platform modules (TPMs) offers new methods for improving the security of these well established technologies. How secure channel technologies can be adapted to use trusted computing concepts is subject to current research. A major part of this research addresses the integration of the TCG's specified remote attestation. Remote attestation enables a platform to provide a trustworthy proof of its current configuration (i.e. software that has been loaded on the platform). Hence, based on this proof, a remote platform can decide whether to open a channel to another platform or not. In current approaches, the proof of the platform configuration is processed before a secure channel is established, which is not opened if the reported configuration is not accepted by the hosts. However, one important problem has not been solved yet. Currently, no satisfying solution how the change of a platform's configuration can be securely and reliably reported to the remote platform whilst a channel is open, exists. A reliable method to provide a proof for a configuration change can be implemented with only minor modifications of the TPM specification and the TLS protocol. Experimental results show that it is possible to implement this proof mechanism with only a few additional TPM commands.",IEEE Xplore,2008 The 9th International Conference for Young Computer Scientists
484,485,Designing a Security Platform for Collaborating Autonomous Systems - An Experience Report,M. A. Chauhan; M. A. Babar; S. Grainger,10.1109/ICSA-C52384.2021.00018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425816,2021.0,IEEE Conferences,"Collaborative autonomous systems operating at edges, e.g., TurtleBots, need adaptive security mechanisms (i.e., Confidentiality, Integrity, Availability) that meet the changing mission requirements and the available processing capacities. We have designed and implemented a security platform that supports secure communication among autonomous systems of robots (e.g., TurtleBots), security of Robot Operating System (ROS) communication network, the integrity of the information exchanged among the robots and secured availability of the data and access to services. For designing the security platform, we have used architecture and design patterns along with the respective security protocols. Our solution provides seamless security incorporation in heterogeneous collaborative autonomous entities. We have leveraged architectural strategies to incorporate publickey encryption, maintain global order of events and incorporate fault tolerance. We assert that the presented security platform can facilitate easy adoption of secure control, communication and information gathering in collaborative autonomous systems with resource constraint edge nodes.",IEEE Xplore,2021 IEEE 18th International Conference on Software Architecture Companion (ICSA-C)
