,id,title,authors,doi,link,pub_year,type,abstract,source,pub_title
45,46,"Frequency Response Capabilities of Utility-scale Battery Energy Storage Systems, with Application to the August 2018 Separation Event in Australia",M. G. Dozein; P. Mancarella,10.1109/ICPES47639.2019.9105646,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9105646,2019.0,IEEE Conferences,This paper is aimed to investigate the capabilities of utility-scale energy storage system (BESS) in provision of both contingency and regulation frequency control ancillary services (FCAS). In pa...,IEEE Xplore,2019 9th International Conference on Power and Energy Systems (ICPES)
75,76,Generalized n+2 state system Markov model for station-oriented reliability evaluation,R. Billinton; H. Chen; Jiaqi Zhou,10.1109/59.627850,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=627850,1997.0,IEEE Journals,"Practical restorative actions and existing dependencies in stations cannot be completely represented using a conventional three state model. In order to overcome these weaknesses, system state tra...",IEEE Xplore,IEEE Transactions on Power Systems
141,142,Hybrid Hierarchical Network Intrusion Detection,H. -y. Yang; L. -x. Xie,10.1109/ICMLC.2006.258929,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4028520,2006.0,IEEE Conferences,"A prototype of three-layer network intrusion detection system (NIDS) was designed to improve the veracity and efficiency of intrusion detection. The NIDS deals with the network layer raw data, the...",IEEE Xplore,2006 International Conference on Machine Learning and Cybernetics
142,143,A State-Adaptive Access Control Model for Web-Based IDRS System,X. Wu; Y. He; Z. Zhou,10.1109/NSWCTC.2009.32,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4908433,2009.0,IEEE Conferences,"Role based access control reduces the cost of security administration of large-scale systems. However, it mainly abstracts a user from the function aspect, which is not enough for some complex lar...",IEEE Xplore,"2009 International Conference on Networks Security, Wireless Communications and Trusted Computing"
150,151,Power grids reliability appraisal with intrusion tolerant capability in SCADA systems,Y. Zhang; L. Wang; Y. Xiang,10.1109/POWERCON.2014.6993998,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6993998,2014.0,IEEE Conferences,"By intruding into the substations and control center of the supervisory control and data acquisition (SCADA) system, trip commands can be sent to intelligent electronic devices (IEDs) which contro...",IEEE Xplore,2014 International Conference on Power System Technology
215,216,Distributed Secure Control Against Denial-of-Service Attacks in Cyber-Physical Systems Based on K-Connected Communication Topology,T. -Y. Zhang; D. Ye,10.1109/TCYB.2020.2973303,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9016368,2020.0,IEEE Journals,"In this article, the security problem in cyber-physical systems (CPSs) against denial-of-service (DoS) attacks is studied from the perspectives of the designs of communication topology and distrib...",IEEE Xplore,IEEE Transactions on Cybernetics
343,344,Remote Attestation with Domain-Based Integrity Model and Policy Analysis,W. Xu; X. Zhang; H. Hu; G. -J. Ahn; J. -P. Seifert,10.1109/TDSC.2011.61,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6104065,2012.0,IEEE Journals,"We propose and implement an innovative remote attestation framework called DR@FT for efficiently measuring a target system based on an information flow-based integrity model. With this model, the ...",IEEE Xplore,IEEE Transactions on Dependable and Secure Computing
435,436,Transparent 3rd-Party Authentication With Application Mobility for 5G Mobile Edge Computing,A. Ali; Y. -D. Lin; C. -Y. Li; Y. -C. Lai,10.1109/TNSM.2023.3296085,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185455,2023.0,IEEE Early Access Articles,Mobile Edge Computing (MEC) is a key technology for supporting low latency applications close to the end user. Users can access application servers in MEC instead of routing to the internet by pas...,IEEE Xplore,IEEE Transactions on Network and Service Management
457,458,Automatic Current Transformer Verification Technology for High-Speed Railway Power Based on Edge-Cloud Collaborative Computing,L. Yang; Z. -L. Zhang; S. -K. Wang; W. -T. Zhang; R. Dai; Y. -B. Liu,10.1109/CCET55412.2022.9906363,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9906363,2022.0,IEEE Conferences,"Current transformer is a key power equipment for high-speed railway power, with high risk for the operator. Based on the architecture of edge-cloud collaborative computing, an automatic high volta...",IEEE Xplore,2022 IEEE 5th International Conference on Computer and Communication Engineering Technology (CCET)
500,501,Framework for Identification of Power System Operating Security Regions,M. A. El-Kady; E. A. Al-Ammar,10.1109/NSS.2009.16,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5319315,2009.0,IEEE Conferences,"Power system operation aims, in principle, at maintaining reliable and secure supply of electricity while minimizing the total cost of operation. In theory, there are two main objectives that coul...",IEEE Xplore,2009 Third International Conference on Network and System Security
