id_title,relevant?,title,Clickable Link,authors,doi,link,pub_year,type,abstract,source,pub_title,id
1,y,An integrated state transition-Boolean logic model for security analysis in cloud computing,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778962,A. Zimba; C. Hongsong; W. Zhaoshun,10.1109/CCI.2016.7778962,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778962,20160.0,IEEE Conferences,"The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own challenges the most echoed being security. Security concerns herein, birthed by the exposure of the cloud to different threats, continue to cast doubts on potential users and it's only befitting that such concerns are addressed. Users who entrust their data to the cloud want their data to be secured in the strongest terms possible. Once data leaves the user, the onus is on the cloud provider to provide the required security since data now lies within their perimeter of jurisdiction. But security requirements do change with time and this therefore calls for a continuous process of evaluating the security status of the cloud system. This paper proposes a model of analyzing the security status of the cloud system with regards confidentiality, integrity and availability. We employ state transitions of a conceptual finite state machine, Boolean algebra and logic to evaluate the various states of the system when a specified breach occurs. The scope of this paper is limited to user data on the cloud and not as it traverses the network between the user and the provider.",IEEE Xplore,2016 First IEEE International Conference on Computer Communication and the Internet (ICCCI),1
4,y,A network security situation perception model based on immune state transition,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6492547,Liu Nian; Y. Liu,10.1049/cp.2012.0940,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6492547,20120.0,IET Conferences,"This paper proposes a new Model of Network Security Situation Perception based on artificial immunity which can realize immune state transition. This model is used to solve the self and non-self dynamic describing problem in computer immune system. It can realize the detection to known and unknown network intrusion. It has some characteristics like distributed behavior, self-learning, robustness etc; it also presented memory Immunological detection trees based on the antibody concentration. It adjusts each node's order dynamically. Each time while testing, detector is extracted from high to low according to the antibody concentration to matching antigen. When antibody concentration is changed with the network attack, adjust the tree node sequence timely, make high concentrations detector match antigen prior to the low concentration detector for reducing invalid matching times and improving detection efficiency.",IEEE Xplore,International Conference on Automatic Control and Artificial Intelligence (ACAI 2012),2
6,y,An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843,J. Gao; Y. Li; Y. Li; T. Gong; F. Xu; Q. Zhao; H. Jiang; J. Jia,10.1109/ICSP54964.2022.9778843,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843,20220.0,IEEE Conferences,"Industrial control system (ICS) integrating different software and hardware is not only to collect, obtain and calculate data information, but also to control the machine or production process so that it can run automatically. Ormon PLCs are widely used in critical manufactures and have adopted factory interface network service (Fins) protocol to exchange message. The recent articles indicate that Ormon PLCs used Fins Ethernet protocol were exposed to mode-switching malicious network attack. However, the traditional detection methods based on function codes and Snort detection rules could not get an ideal result. In this paper, we propose a method that can overcome these problems in dealing with mode-switching attack by an external hash authentication device embedding asymmetric encryption. This security device built into a hash authentication mechanism, which is responsible for identifying and distinguishing the interaction information message between the upper computer and PLC interaction information. In order to validate our method, some experiments have been done to show that defend method can disrupt successfully the communication link between the attacking computer and PLC device to defend this malicious cyber attacks efficiently.",IEEE Xplore,2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP),3
9,y,State transition analysis: a rule-based intrusion detection approach,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372146,K. Ilgun; R. A. Kemmerer; P. A. Porras,10.1109/32.372146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372146,19950.0,IEEE Journals,"The paper presents a new approach to representing and detecting computer penetrations in real time. The approach, called state transition analysis, models penetrations as a series of state changes that lead from an initial secure state to a target compromised state. State transition diagrams, the graphical representation of penetrations, identify precisely the requirements for and the compromise of a penetration and present only the critical events that must occur for the successful completion of the penetration. State transition diagrams are written to correspond to the states of an actual computer system, and these diagrams form the basis of a rule based expert system for detecting penetrations, called the state transition analysis tool (STAT). The design and implementation of a Unix specific prototype of this expert system, called USTAT, is also presented. This prototype provides a further illustration of the overall design and functionality of this intrusion detection approach. Lastly, STAT is compared to the functionality of comparable intrusion detection tools.<>",IEEE Xplore,IEEE Transactions on Software Engineering,4
10,y,Safe and automated state transfer for secure and reliable live update,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226610,C. Giuffrida; A. S. Tanenbaum,10.1109/HotSWUp.2012.6226610,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226610,20120.0,IEEE Conferences,"Traditional live update systems offer little or no automated support for state transfer between two different program versions with changes in the program state. In this paper, we report our efforts to build a safe and automated state transfer framework for C programs that requires a minimal number of program state annotations and handles common structural state changes with no programmer assistance. To handle more complex state transformations, the framework includes a number of extension mechanisms designed to minimize the overall programming effort. Our experience with real-world programs suggests that our framework can handle all the standard C idioms and support safe and automated state transfer for complex state changes. We believe our approach is effective in several update scenarios and significantly raises the bar on the security and reliability of live update.",IEEE Xplore,2012 4th International Workshop on Hot Topics in Software Upgrades (HotSWUp),5
11,y,A process state-transition analysis and its application to intrusion detection,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816050,N. Nuansri; S. Singh; T. S. Dillon,10.1109/CSAC.1999.816050,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816050,19990.0,IEEE Conferences,"This paper describes a new technique for detecting security breaches in a computer system. For each Unix process, the user credentials, which are user identifiers, determine the process privilege, including whether a process has gained a high privilege, such as that of the superuser. The state transition technique is applied to a suitably defined process state, identified by certain classes of user credential values. A transition takes place when these values change from one class to another. These states are clearly defined, and prohibited state transitions as well as some supporting rules are identified. When many break-ins succeed, either the rules are violated or these prohibited transitions occur, and this implies a violation of system security policy. A specially modified system call, ktrace0, is used by the superuser to monitor the process-state and state transition analysis is applied to the traced information, by the Intrusion Detection System. Tests show that most known security violations belonging to the targeted classes (such as buffer overflow exploits) can be detected (and possibly pre-empted) while the constituent activities are still being processed in the kernel.",IEEE Xplore,Proceedings 15th Annual Computer Security Applications Conference (ACSAC'99),6
12,y,Optimal Jamming Strategy Against Two-State Switched System,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9676585,Y. Zhu; H. Zhang; H. Li; J. Zhang; D. Zhang,10.1109/LCOMM.2022.3142080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9676585,20220.0,IEEE Journals,"In this letter, we investigate the security issue of a discrete linear time-varying system following a fixed switching rule. We first give a sufficient condition for the stability of this two-state switched system. In our scenario, the communication channel between the sensor and the remote estimator is interfered by a jammer with limited energy. Then we prove that the continuous jamming strategy is optimal compared with other strategies, which maximizes the estimation error in the viewpoint of the attacker. Finally, numerical examples are presented to certificate the effectiveness of the proposed optimal jamming strategy.",IEEE Xplore,IEEE Communications Letters,7
15,y,Time-Triggered Architecture (TTA) in Industry Hard R-T Embedded Control Software Design,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4347271,W. Bin; Z. Yunsheng; X. Xin; W. Shuai,10.1109/CHICC.2006.4347271,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4347271,20070.0,IEEE Conferences,Conventional event-triggered architecture (ETA) can not meet the industry hard R-T control requirements in security field. This paper studies a hard R-T control embedded control software design mode based on TTA; discusses the task scheduling principle and mode switching method which are based on TTA; and give a series of concrete formalized description and the sequence chart of execution.,IEEE Xplore,2007 Chinese Control Conference,8
23,y,Mode security: an infrastructure for covert channel suppression,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296593,R. Browne,10.1109/RISP.1994.296593,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296593,19940.0,IEEE Conferences,"The paper discusses a theory of covert channels called mode security. The general idea is to organize the state transitions of a multilevel state machine into distinct sets called modes. Roughly speaking, each machine mode is totally secure when considered in isolation of all other modes. Covert channels can therefore only occur when the machine executes a mode change decision; thus the name, mode security. The claim that all covert channels in a mode secure system are connected with mode change decisions can be satisfied by a generalization of the Turing test model of non-information flow.<>",IEEE Xplore,Proceedings of 1994 IEEE Computer Society Symposium on Research in Security and Privacy,9
24,y,A Network Access Control Architecture Using State-Transfer-Based Dynamic Policy,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019270,C. Zang; Z. Huang; G. Chen; J. Dong,10.1109/CSCWD.2006.253234,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4019270,20060.0,IEEE Conferences,"The access control architecture using state-transfer-based dynamic policy is proposed to make access control more flexible and dynamic. This architecture can dynamically change the policy according to a state-transfer composed of a previous state and a current state. It can indicate the tendency of the system by using both previous and current information in order to decide a more appropriate policy to the current system and future condition. And there are two steps in this dynamic policy method, one is deciding a partial-state and the other one is deciding a state, two dynamic policy decision layers are included into this architecture in order to manage these two steps.",IEEE Xplore,2006 10th International Conference on Computer Supported Cooperative Work in Design,10
