id,title,abstract
23,A cloud-assisted malware detection and suppression framework for wireless multimedia system in IoT based on dynamic differential game,"As a novel dynamic network service infrastructure, Internet of Things (IoT) has gained remarkable popularity with obvious superiorities in the interoperability and real-time communication. Despite of the convenience in collecting information to provide the decision basis for the users, the vulnerability of embedded sensor nodes in multimedia devices makes the malware propagation a growing serious problem, which would harm the security of devices and their users financially and physically in wireless multimedia system (WMS). Therefore, many researches related to the malware propagation and suppression have been proposed to protect the topology and system security of wireless multimedia network. In these studies, the epidemic model is of great significance to the analysis of malware propagation. Considering the cloud and state transition of sensor nodes, a cloud-assisted model for malware detection and the dynamic differential game against malware propagation are proposed in this paper. Firstly, a SVM based malware detection model is constructed with the data sharing at the security platform in the cloud. Then the number of malware-infected nodes with physical infectivity to susceptible nodes is calculated precisely based on the attributes of WMS transmission. Then the state transition among WMS devices is defined by the modified epidemic model. Furthermore, a dynamic differential game and target cost function are successively derived for the Nash equilibrium between malware and WMS system. On this basis, a saddle-point malware detection and suppression algorithm is presented depending on the modified epidemic model and the computation of optimal strategies. Numerical results and comparisons show that the proposed algorithm can increase the utility of WMS efficiently and effectively."
76,Modeling of Intrusion and Defense for Assessment of Cyber Security at Power Substations,"Cyber intrusions to substations are critical issues to a power grid, which must be defended and mitigated. Essentially, to better understand a cyber intrusion, reconnaissance activities should be modeled. Then, strategies of cyber attacker and defender can be studied, which help to identify substations vulnerable to cyber-attacks. In this paper, a successful intrusion is regarded as a probabilistic event related to reconnaissance activities. Its probability can be approximated by the Poisson distribution of the number of vulnerabilities discovered by the attacker. Furthermore, models of intrusion and defense in competition for control of the substations are proposed using Markov decision process (MDP). Key characteristics of target substation, attacker and defender are considered for determining probabilistic state transitions related to intrusion and defense actions. Thus, by solving the MDP models, the optimal strategies (action policies) of both the attacker and defender can be obtained. With these optimal strategies, the cyber security status of a substation can be evaluated within varied time frames. The case study validates the proposed models and method, including time-based strategies of the attacker and defender."
115,Evaluating wireless network vulnerabilities and attack paths in smart grid comprehensive analysis and implementation,"Quantifying vulnerability and security levels for smart grid diversified link of networks have been a challenging task for a long period of time. Security experts and network administrators used to act based on their proficiencies and practices to mitigate network attacks rather than objective metrics and models. This paper uses the Markov Chain Model [1] to evaluate quantitatively the vulnerabilities associated to the 802.11 Wi-Fi network in a smart grid. Administrator can now assess the level of severity of potential attacks based on determining the probability density of the successive states and thus, providing the corresponding security measures. This model is based on the observed vulnerabilities provided by the Common Vulnerabilities and Exposures (CVE) database explored by MITRE [2] to calculate the Markov processes (states) transitions probabilities and thus, deducing the vulnerability level of the entire attack paths in an attack graph. Cumulative probabilities referring to high vulnerability level in a specific attack path will lead the system administrator to apply appropriate security measures a priori to potential attacks occurrence."
140,A Blockchain-Based Authentication and Security Mechanism for IoT,"The existing identity authentication of IoT devices mostly depends on an intermediary institution, i.e., a CA server, which suffers from the single-point-failure attack. Even worse, the critical data of authenticated devices can be tampered by inner attacks without being identified. To address these issues, we utilize blockchain technology, which serves as a secure tamper-proof distributed ledger to IoT devices. In the proposed method, we assign a unique ID for each individual device and record them into the blockchain, so that they can authenticate each other without a central authority. We also design a data protection mechanism by hashing significant data (i.e. firmware) into the blockchain where any state changes of the data can be detected immediately. Finally, we implement a prototype based on an open source blockchain platform Hyperledger Fabric to verify the proposed system."
171,Contingency re-definition and its application to power system security analysis,"This paper presents the contingency re-definition and its application to power system security analysis. Contingency Analysis (CA) has been an important tool in power system planning and security analysis for many years. Based on real-time network connectivity, the re-definition function takes into account the actual response of protection subsystem on the power system equipment. It identifies the breakers required for isolating the contingency equipment. This provides additional accuracy of post contingency results and provides important data to ensure the remedial action schemes are emulated correctly. Each contingency is simulated in contingency analysis by opening these breakers to evaluate their impact to the system. The ability to recognize and respect the status of manually operated switches is important to ensure the simulation mimics protection schemes. Any non-contingency equipment forced out as a result of these breaker openings, also called sympathetic outages, will be added to the contingency equipment list. All outage equipment and breakers will be listed on the contingency definition display for each contingency case. This function has been integrated in the real-time CA, off-line CA, and into dispatcher training simulator."
183,A Novel Economical Embedded Multi-mode Intelligent Control System for Powered Wheelchair,"In order to assist different kinds of disabled persons and senior citizens, to lower the cost and improve the effectiveness and convenience of human-machine interaction, a novel economical embedded multi-mode intelligent control system for powered wheelchair is developed. The system is based on a high-performance 16-bit compact single chip system. It has “Manual”, “Speech”, “Vision”, and “Autonomous” four modes that are fulfilled by four modules. The mode and the corresponding module can be customized according to the needs of different users and situations and that makes a further lower cost. In addition, fusion of multi-mode and other security measures are discussed. The hardware, software, control mechanism, and some experimental results are elaborated in the paper."
190,System-Aware Cyber Security,"In this paper we outline the need for a new systems engineering architecturally focused approach for addressing the growing threats of debilitating cyber attacks: System-Aware Security. This novel security architecture resides at the application layer and is based on smart reusable system security services. We layout an initial vision for this architectural formulation and show how it can potentially enhance the security of systems by complementing the traditional perimeter security model. In addition, we outline an ongoing research activity involving the development of an initial application for a specific System-Aware Security architecture embedded in a command and control system. The architecture includes three interactive situational adapting smart reusable security services: data continuity checking, configuration hopping, and honeypots. Finally, we describe how these services could be converted into reusable design patterns to stimulate reuse in additional systems."
196,Adaptive security-aware scheduling using multi-agent system,"Internet protocol security (IPsec) provides real-time IP packets with confidentiality security service, making them robust against snooping security threats. Conventionally, the security level provided by such protocol cannot be modified according to the status of the network. In this paper, we propose a security-aware scheduling algorithm for a heterogeneous packet switched network. It provides real-time packet flows with guaranteed quality of service (QoS) while adaptively controls the packet's confidentiality security service level. The proposed scheme is modeled using the object-oriented multi-agent methodology. By applying a buffer estimation technique at the network's end nodes, the algorithm provides a real-time network congestion control hence satisfying the network performance metrics. In order to minimize the overhead of network association performed by the IPsec, the algorithm overloads the priority code point fields of the IEEE 802.1Q tagged frame format. This approach helps meet both QoS and security requirements for real-time data flows."
199,Keynote: Topology Aware Adaptive Security,"Summary form only given. Cyber-Physical Systems can be harmed through both cyber-enabled or physically-enabled attacks, particularly ones that exploit the often ignored interplay between the cyber and physical spaces characterizing a system operating environment. Awareness of the topology of the operating environment of systems as well as its dynamics can support adaptive security more effectively. In this talk I propose the use of Bigraphical Reactive Systems to represent the topology of cyber and physical spaces. I describe how to use this representation to reason about the consequences of the evolution of topological configurations on the satisfaction of security requirements. I also illustrate a planning technique to identify an adaptation strategy to be used at runtime, to circumvent, prevent, or mitigate security requirements violations previously identified. Finally I will describe how this approach has been integrated into an existing commercial access control software."
202,On the role of primary and secondary assets in adaptive security: An application in smart grids,"Adaptive security aims to protect valuable assets managed by a system, by applying a varying set of security controls. Engineering adaptive security is not an easy task. A set of effective security countermeasures should be identified. These countermeasures should not only be applied to (primary) assets that customers desire to protect, but also to other (secondary) assets that can be exploited by attackers to harm the primary assets. Another challenge arises when assets vary dynamically at runtime. To accommodate these variabilities, it is necessary to monitor changes in assets, and apply the most appropriate countermeasures at runtime. The paper provides three main contributions for engineering adaptive security. First, it proposes a modeling notation to represent primary and secondary assets, along with their variability. Second, it describes how to use the extended models in engineering security requirements and designing required monitoring functions. Third, the paper illustrates our approach through a set of adaptive security scenarios in the customer domain of a smart grid. We suggest that modeling secondary assets aids the deployment of countermeasures, and, in combination with a representation of assets variability, facilitates the design of monitoring functions."
