contentType,identifier,language,url/0/format,url/0/platform,url/0/value,url/1/format,url/1/platform,url/1/value,url/2/format,url/2/platform,url/2/value,title,creators/0/creator,creators/1/creator,creators/2/creator,creators/3/creator,creators/4/creator,publicationName,openaccess,doi,publisher,publisherName,publicationDate,publicationType,issn,eIssn,volume,number,issueType,topicalCollection,genre/0,startingPage,endingPage,journalId,onlineDate,copyright,abstract,keyword/0,keyword/1,keyword/2,subjects/0,subjects/1,subjects/2,subjects/3,printDate,coverDate,keyword/3,keyword/4,subjects/4,creators/1/ORCID,genre/1,bookEditors/0/bookEditor,bookEditors/1/bookEditor,bookEditors/2/bookEditor,printIsbn,electronicIsbn,isbn,seriesId,keyword/5,keyword/6,keyword/7,keyword/8,keyword/9,keyword/10,keyword/11,keyword/12,keyword/13,keyword/14,keyword/15,keyword/16,keyword/17,creators/0/ORCID,bookEditors/3/bookEditor,bookEditors/4/bookEditor,bookEditors/5/bookEditor,bookEditors/6/bookEditor,conferenceInfo/0/confSeriesName,conferenceInfo/0/confSeriesID/0/type,conferenceInfo/0/confSeriesID/0/value,conferenceInfo/0/confEventID/0/type,conferenceInfo/0/confEventID/0/value,conferenceInfo/0/confEventAbbreviation,conferenceInfo/0/confNumber,conferenceInfo/0/confEventLocation/0/locationType,conferenceInfo/0/confEventLocation/0/city,conferenceInfo/0/confEventLocation/0/country/0/code,conferenceInfo/0/confEventLocation/0/country/0/value,conferenceInfo/0/confEventDateStart/0/year,conferenceInfo/0/confEventDateStart/0/month,conferenceInfo/0/confEventDateStart/0/day,conferenceInfo/0/confEventDateEnd/0/year,conferenceInfo/0/confEventDateEnd/0/month,conferenceInfo/0/confEventDateEnd/0/day,conferenceInfo/0/confEventURL,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfPapersPerReviewer,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfReviewsPerPaper,conferenceInfo/0/confEventPeerReviewInformation/externalReviewersInvolved,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAcceptanceRate,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/managementSystem,conferenceInfo/0/confEventPeerReviewInformation/shortPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/submissionsSentForReview,conferenceInfo/0/confEventPeerReviewInformation/type,subjects/5,subjects/6,conferenceInfo/0/confSeriesID/1/type,conferenceInfo/0/confSeriesID/1/value,bookEditors/7/bookEditor,bookEditors/8/bookEditor,conferenceInfo/0/confEventPeerReviewInformation/value,creators/5/creator
Article,doi:10.1007/s11277-023-10570-6,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11277-023-10570-6,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11277-023-10570-6,,,http://dx.doi.org/10.1007/s11277-023-10570-6,Development of a Security Education Model System for Cloud Computing and Data Security and Privacy Protection,"Jia, Rui","Ni, Xiaoli","Shao, Xiaoyi","Zhang, Ting","Qi, Qunkun",Wireless Personal Communications,false,10.1007/s11277-023-10570-6,Springer,Springer US,2023-07-03,Journal,0929-6212,1572-834X,,,,,OriginalPaper,1,17,11277,2023-07-03,"©2023 The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature","The great efficiency and dependability of cloud computing enhance the efficiency of mining and analyzing large data in education. Big data in education have been more prevalent in the cloud environment, and the efficiency of data processing has been greatly enhanced, elevating the significance of big data in education and teaching practice. However, the promotion of education big data in the cloud environment has revealed an increasing number of issues. People pay increasing attention to the security of big data in education, i.e., whether big data in education can be safely maintained, retrieved, and utilized in the cloud environment. It focuses on the relationships between education big data producers, users, and cloud service providers. The primary topics of this article are, therefore, how to govern the connections between the three parties, the adoption of stringent technical means, and the establishment of data use guidelines and a regulatory structure. Consequently, this paper investigated the multimodal information fusion technology and the data security model of education in colleges and universities, as well as constructing a cognitive psychological model for education in colleges and universities based on multimodal information fusion and conducting experimental research on it. The research showed that under the cognitive psychology mode of education in colleges and universities based on multi-modal information fusion, the cognitive efficiency of education of students has increased.",Data security,Multi-modal information fusion,Psychological model,Engineering,"Communications Engineering, Networks","Signal,Image and Speech Processing",Computer Communication Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s11042-022-11993-2,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11042-022-11993-2,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11042-022-11993-2,,,http://dx.doi.org/10.1007/s11042-022-11993-2,Cryptography and Tay-Grey wolf optimization based multimodal biometrics for effective security,"Arora, Ankit","Miri, Rohit",,,,Multimedia Tools and Applications,false,10.1007/s11042-022-11993-2,Springer,Springer US,2022-12-01,Journal,1380-7501,1573-7721,81,30,Regular,,OriginalPaper,44021,44043,11042,2022-05-31,"©2022 The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature","Biometric recognition is very important for automatically recognizing individuals based on feature vectors from behavioral or physiological characteristics. The biometric recognition systems provide suitable personal recognition approaches for determining individuals. Biometrics are broadly employed in several commercial as well as official identification systems for automatic access control. This paper introduces the model for multi-modal biometric recognition based on the feature level fusion method. The overall procedure of the proposed method involves four steps: pre-processing, feature extraction, recognition feature-level fusion, and Bio-metric recognition. The first step is to input the images into pre-processing steps. Thus, pre-processing three traits, like face, finger knuckle, and the hand vein, is done. Then, the feature extraction is done for each modality to extract the features. After that, the feature level fusion is carried out using Elliptic-curve cryptography (ECC) and the proposed Taylor-Grey Wolf optimization (Tay-GWO). After feature fusion, the Bio-metric recognition is done based on Deep Convolutional Neural Network (DCNN), which Tay-GWO trains. The proposed Tay-GWO is designed by integrating the Taylor series and Grey Wolf Optimization (GWO). The analysis shows that the developed model achieves the maximal accuracy of 94.86%, maximal sensitivity of 96.80%, and specificity of 93.74%, respectively.",Multi-modal bio-metric system,Taylor series,Grey wolf optimization,Computer Science,Multimedia Information Systems,Computer Communication Networks,Data Structures and Information Theory,2022-11-28,2022-12,Deep convolutional neural network,Cryptography,Special Purpose and Application-Based Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s42835-022-01084-5,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42835-022-01084-5,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s42835-022-01084-5,,,http://dx.doi.org/10.1007/s42835-022-01084-5,Detection and Localization of Coordinated State-and-Topology False Data Injection Attack by Multi-modal Learning,"Qin, Zhijun","Lai, Yu",,,,Journal of Electrical Engineering & Technology,false,10.1007/s42835-022-01084-5,Springer,Springer Nature Singapore,2022-09-01,Journal,1975-0102,2093-7423,17,5,Regular,,OriginalPaper,2649,2662,42835,2022-04-11,©2022 The Author(s) under exclusive licence to The Korean Institute of Electrical Engineers,"False data injection attack (FDIA) is a typical cyber-attack targeting on power system state estimation. By inserting bias into the power system meter measurements, FDIA can cause errors in state estimation and consequently mislead power system operation. Recently, the coordinated state-and-topology FDIA was developed to falsify both the meter measurements and the topology information to conceal a cyber or physical attack. Conventional machine-learning-based detection methods against FDIA depend on the complete observability of power system topology, therefore cannot detect the coordinated state-and-topology FDIA. To address this challenge, we propose a multi-modal learning model based on Graph Auto-Encoder (GAE) and Residual Neural Networks (ResNet) to detect this type of FDIA. First, GAE is used to learn the compact representation of power system topologies. Then, the obtained topological representation is fused with the measurement to obtain the multi-modal features. Third, ResNet is trained as a multi-label classifier to accept the fused features and generate an array, which can detect attack scenarios and identify the falsified measurements/topologies by coordinated attacks. Comprehensive case studies using IEEE 9-bus, IEEE 57-bus, and IEEE 118-bus systems are presented. The simulation results show that, as compared to single feature methods, the proposed method is more effective in detecting coordinated state-and-topology attacks, and more robust in case of FDIA under unseen topological changes in power system operation.",Power system cyber security,False data injection attack,Topology attack,Engineering,Electrical Engineering,"Electronics and Microelectronics, Instrumentation","Power Electronics, Electrical Machines and Networks",2022-09-09,2022-09,Multi-modal learning,Data-driven methods,,0000-0003-2069-0793,Original Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter,doi:10.1007/978-3-030-79766-9_1,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-79766-9_1,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-79766-9_1,,,http://dx.doi.org/10.1007/978-3-030-79766-9_1,Security Challenges in 5G and IoT Networks: A Review,"Kumar, G. Edwin Prem","Lydia, M.","Levron, Yoash",,,Secure Communication for 5G and IoT Networks,false,10.1007/978-3-030-79766-9_1,Springer,Springer International Publishing,2022-01-01,Book,,,,,,,OriginalPaper Contributed volume,,,,2021-10-29,©2022 Springer Nature Switzerland AG,"5G networks are poised to satisfy the anticipated growth in Internet of Technology (IoT) devices and their related systems. The invasion of 5G networks brings along with it an accelerated need for security and privacy. The need for tailor-made security solutions has become the need of the hour to ensure data integrity, confidentiality, and authentication in 5G-based IoT networks. Since IoT initiates sensors and actuators in a totally smart environment, IoT security will involve protecting the total deployment architecture of IoT from internal and external attacks. Integration of cryptographical algorithms and quantum cryptography has been used effectively to secure data in 5G networks. Privacy and identity management has been a mandatory requirement in networks carrying delicate data involved in retail shops, traffic services, and health monitoring systems. Securing data in 5G and IoT networks and detection of trustworthy and rogue nodes, proper monitoring, logging, and broadcasting are the vital necessities of any security system. The exhaustive survey on the security issues in the 5G-IoT scenario, highlights the application of the latest technologies, incorporation of hybrid methodologies in securing them, and also emphasizes on the open issues yet to be addressed and research challenges that are to be explored.",5G networks,Blockchain,Deep learning,Engineering,"Cyber-physical systems, IoT","Communications Engineering, Networks",Computer Applications,,,Internet of Things,Monitoring,"Energy Policy, Economics and Management",,,"Velliangiri, S","Gunasekaran, M","Karthikeyan, P",978-3-030-79765-2,978-3-030-79766-9,978-3-030-79765-2,15427,Security,Authentication,Access control,Machine learning,Bigdata,Software defined network,Virtualization,Unmanned aerial vehicles,Vehicular ad-hoc networks,Adaptive security,Artificial intelligences,Cryptographic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-981-16-5857-0_82,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-5857-0_82,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-16-5857-0_82,,,http://dx.doi.org/10.1007/978-981-16-5857-0_82,Power Grid Adaptive Security Defense System Based on Artificial Intelligence,"Yan, Lijing","Gao, Feng","Song, Yifan","Liang, Huichao",,International Conference on Cognitive based Information Processing and Applications (CIPA 2021),false,10.1007/978-981-16-5857-0_82,Springer,Springer Singapore,2022-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2021-09-27,"©2022 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","With the increasing production safety requirements of national grid companies, grid enterprises should break away from the traditional safety management model and form a more accurate grid adaptation safety management system. The goal of security defense is the safety accident prevention and prediction power grid enterprises, and implementation measures are put forward and eliminate the potential risk of physical, environmental and safety equipment. Security defense plays a key role in predetermining and controlling risks. This paper mainly studies and analyzes the adaptive security defense system of power grid based on the background of artificial intelligence. Firstly, the significance of power grid adaptive security defense system and the influence of artificial intelligence on power grid adaptive security defense system are expounded. Then it will discuss the method of adaptive security defense system for power grid under the background of artificial intelligence. Finally, the application status of the adaptive security defense system for power grid based on artificial intelligence is investigated, questionnaires are issued, and data are collected and processed. The survey results show that the probability of lightning and typhoon to the artificial intelligence defense system causing equipment failure accounts for 37% respectively, which will enable the power grid adaptive security defense system to operate risk prevention in real time. The influence of network information on the adaptive security defense system of power grid based on artificial intelligence will reach the peak with the perfection of information data and defense system, and then decline.",Artificial intelligence,Security defense,Defense system,Engineering,Computational Intelligence,Pattern Recognition,Mathematical Models of Cognitive Processes and Neural Networks,,,,,,,,"J. Jansen, Bernard","Liang, Haibo","Ye, Jun",978-981-16-5856-3,978-981-16-5857-0,978-981-16-5856-3,15362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter,doi:10.1007/978-3-030-88559-5_3,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-88559-5_3,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-88559-5_3,,,http://dx.doi.org/10.1007/978-3-030-88559-5_3,Taxonomy of Cyber Threats,"Couretas, Jerry M.",,,,,An Introduction to Cyber Analysis and Targeting,false,10.1007/978-3-030-88559-5_3,Springer,Springer International Publishing,2022-01-01,Book,,,,,,,OriginalPaper Professional book,,,,2022-01-19,©2022 Springer Nature Switzerland AG,"Cyber threats span the attack cycle, and include both offensive and defensive elements. Several conceptual models help with describing the attack process and associated entities, in developing a taxonomy of cyber threats. For Example, the US National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) helps to describe a system to manage cyber security risk. In addition, the Structured Threat Information Expression (STIX) and the Trusted Automated eXchange of Indicator Information (TAXII) are used to standardize indicator information into a form that will make the data sharable. This helps to structure the cyber threat intelligence (CTI) information in order to use it in defensive approaches (e.g., DREAD: damage/reproducibility/exploitability/affected users/discoverability; STRIDE: spoofing/tampering/repudiation/information disclosure/denial of service/elevation of privilege; CVSS: Common Vulnerability Scoring System) along with more advanced approaches that emulate offensive steps. Sharing cyber data is performed by government agencies (e.g., US Department of Homeland Security) along with information analysis centers (e.g., Multi-State Information Sharing and Analysis Center [MS-ISAC]). In addition to managing known threat data across an attack process, threat evaluation is performed via methodological evaluation of system-level vulnerabilities using model/architecture descriptions (e.g., system modeling language [SysML]) and rolling up developing threat descriptions through techniques like the US Department of Defense (DoD) Cyber Analytics Repository (DoDCAR).",Risk bow-tie,Confidentiality,integrity,Engineering,"Cyber-physical systems, IoT","Signal, Image and Speech Processing","Communications Engineering, Networks",,,availability (CIA),NIST Cybersecurity Framework (CSF),,,,,,,978-3-030-88558-8,978-3-030-88559-5,978-3-030-88558-8,,Computer security control (CSC),DoD Cyber Analytics Repository (DoDCAR),Trusted Automated eXchange of Indicator Information (TAXII),Common Vulnerability Scoring System (CVSS),Australian Signal Directorate Essential 8,Cyber Threat Framework (CTF),Damage/reproducibility/exploitability/affected users/discoverability (DREAD),Spoofing/tampering/repudiation/information disclosure/denial of service/elevation of privilege (STRIDE),Security Incident and Event Management (SIEM),Automated Computer Network Defense (Canada DRDC) (ARMOUR),Process for Attack Simulation and Threat Analysis (PASTA),Multi-State Information Sharing and Analysis Center (MS-ISAC),Cyber threat intelligence (CTI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-981-19-6142-7_38,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-19-6142-7_38,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-19-6142-7_38,,,http://dx.doi.org/10.1007/978-981-19-6142-7_38,Observer-Based Adaptive Security Control for Network Control Systems Under TDS Actuator Attacks,"Wang, Liang","Zhao, Ping",,,,Neural Computing for Advanced Applications,false,10.1007/978-981-19-6142-7_38,Springer,Springer Nature Singapore,2022-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2022-10-21,"©2022 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Networked control systems (NCS) have been used widely in many practical fields. The communication connection in NCS allows agents to communicate with each other quickly, which can quickly respond to abrupt changes in the system. NCS depend on computers and multi-purpose networks for operation, rendering them vulnerable to attacks, especially cyber attacks. This paper focuses on time delay switch (TDS) attacks. A method based on Lyapunov theory is proposed to detect and estimate TDS attack in real time, so as to detect the unstable impact of TDS attack and recover from it. Simulation results illustrate the effectiveness of the proposed TDS attack estimator and security control strategy.",Networked control systems,Adaptive control design,Time-delay switch attack,Computer Science,Artificial Intelligence,Numeric Computing,"Computer Imaging, Vision, Pattern Recognition and Graphics",,,Luenberger observer,,Information Systems and Communication Service,0000-0002-3114-4598,,"Zhang, Haijun","Chen, Yuehui","Chu, Xianghua",978-981-19-6141-0,978-981-19-6142-7,978-981-19-6141-0,7899,,,,,,,,,,,,,,0000-0003-0703-2577,"Zhang, Zhao","Hao, Tianyong","Wu, Zhou","Yang, Yimin",International Conference on Neural Computing for Advanced Applications,Springer,ncaa,Springer,ncaa2022,NCAA,3,InPerson,Jinan,CN,China,2022,07,08,2022,07,10,http://dl2link.com/ncaa2022/,3.68,3.09,No,38,77,easychair,0,205,Double-blind,Computer Communication Networks,Computer Appl. in Social and Behavioral Sciences,,,,,,
Chapter ConferencePaper,doi:10.1007/978-981-15-8752-8_61,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-15-8752-8_61,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-15-8752-8_61,,,http://dx.doi.org/10.1007/978-981-15-8752-8_61,Classification and Mapping of Adaptive Security for Mobile Computing,"Refonaa, J.","Jany Shabu, S. L.","Dhamodaran, S.","Mythili, Battula","Vineetha, Bikki","Advances in Electronics, Communication and Computing",false,10.1007/978-981-15-8752-8_61,Springer,Springer Nature Singapore,2021-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2021-01-29,©2021 Springer Nature Singapore Pte Ltd.,"Within the paper, we examine how to place mobile phones on behalf of permitting correspondences in a fiasco reconvert via connecting the holes amid different types of isolated system. We include structured as well as actualized android applications. In this application, we use this to convey to other colleagues simple to approach to impart utilizing distributed storage; in this module, client transfer the catastrophe area and other client will see the calamity area and get the specific area in map. It sees and gives cell phones the capacities of interchanges in misfortune recuperation such a assembling of mobile phones. This will be able to cooperatively stir up and about in addition to express disaster communication during a energy industrious method through their locale in addition to location information during sort in the direction of assist salvage activities. This application will likewise give the close by clinics and fire station and police headquarters. We group telephone numbers as a replica function so that it can take over the advanced android cells. Exploratory outcomes exhibit that group telephone can suitably assure association necessity besides extraordinarily support salvage activities during misfortune healing.",Autonomous computing,Security,Software engineering proof,Engineering,"Electronics and Microelectronics, Instrumentation","Communications Engineering, Networks",Computational Intelligence,,,Mapping research,Mobile computing,Artificial Intelligence,,,"Mallick, Pradeep Kumar","Bhoi, Akash Kumar","Chae, Gyoo-Soo",978-981-15-8751-1,978-981-15-8752-8,978-981-15-8751-1,7818,,,,,,,,,,,,,,,"Kalita, Kanak",,,,International Conference on Emerging Trends and Advances in Electrical Engineering and Renewable Energy,Springer,etaeere,Springer,etaeere2020a,ETAEERE,,Virtual,,,,2020,03,05,2020,03,06,https://kiit.ac.in/event/international-conference-on-emerging-trends-and-advances-in-electrical-engineering-and-renewable-energy-etaeere-2020/,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-030-74811-1_128,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-74811-1_128,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-74811-1_128,,,http://dx.doi.org/10.1007/978-3-030-74811-1_128,Virtual Simulation and Multi-modal Informatics for Public Security Education,"He, Yang",,,,,Application of Intelligent Systems in Multi-modal Information Analytics,false,10.1007/978-3-030-74811-1_128,Springer,Springer International Publishing,2021-01-01,Book,,,,,,,OriginalPaper Proceedings,,,,2021-04-21,"©2021 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG","To analyze and study It is not only used in engineering field, but also widely used in non engineering field. In public security education I training, such as shooting training, driving training, scene investigation and other teaching, the application of simulation technology can not only improve the training efficiency, reduce the training time, is not restricted by the environment and climate, but also has outstanding effect on ensuring safety, saving expenses and improving quality.",Simulation technology,Scientific system,Police training,Engineering,Computational Intelligence,Artificial Intelligence,,,,,,,,,"Sugumaran, Vijayan","Xu, Zheng","Zhou, Huiyu",978-3-030-74810-4,978-3-030-74811-1,978-3-030-74810-4,11156,,,,,,,,,,,,,,,,,,,International Conference on Application of Intelligent Systems in Multi-modal Information Analytics ,Springer,mmia,Springer,mmia2021,MMIA,,InPerson,Huhehaote,CN,China,2021,04,23,2021,04,24,http://mmia2021.com.cn/,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s41870-020-00501-0,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s41870-020-00501-0,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s41870-020-00501-0,,,http://dx.doi.org/10.1007/s41870-020-00501-0,Multi-modal biometric system using finger knuckle image and retina image with template security using PolyU and DRIVE database,"Patil, Pratap","Jagtap, Sudhir",,,,International Journal of Information Technology,false,10.1007/s41870-020-00501-0,Springer,Springer Singapore,2020-12-01,Journal,2511-2104,2511-2112,12,4,Regular,,OriginalPaper,1043,1050,41870,2020-07-21,©2020 Bharati Vidyapeeth's Institute of Computer Applications and Management,"A wide variety of security applications like computers, laptops, mobile phones, ATM machines, physical access control to property etc. are using biometrics based system for human identification. Today’s Biometrics authentication system can provide highest level of security to the user of the service and the service providers. Today’s uni-modal biometric systems has become mature system and being used for low level to medium level security applications. But, for extremely higher level of security requirements like military base, nuclear plants, research laboratories etc., Finger knuckle image and Retina image based combination can be used, as this combinations provides the highest level of accuracy, low error rates, universality etc. Also the security of Multi-modal biometric templates is very importance as biometric template store vital information of the user. In this research work, Multi-modal Biometric system for higher level security using Finger Knuckle image and Retina image with templates security is developed, experiments are carried out and results are calculated using PolyU database for Finger Knuckle image and DRIVE for Retina images. A Finger Knuckle Image processing starts with Median Filtering, CLAHE method and Canny edge detection. The features extraction is carried using SURF feature method. Once the finger knuckle image template is generated, it is encrypted using RSA algorithm and stored in database. The Retina Image Processing is carried out by applying Green channel followed by Gaussian filtering, CLAHE method is applied on outcome of Gaussian filtering. SURF features set is extracted from retina ROI. Retina image template is generated which is later encrypted using RSA algorithm. The final experiment shows that genuine acceptance rate = 100% is achieved for threshold value 0.35 and False Acceptance Rate is only 1%. The scientific contribution of proposed research work is a multi-biometric system with higher accuracy (GAR is 100%), low error rate (FAR is 1%), better template protection by RSA encryption and efficient hybrid model using finger knuckle image and retina image.",Multi-modal biometric,Biometric template security,Finger knuckle image,Computer Science,"Computer Science, general",Artificial Intelligence,Machine Learning,2020-10-23,2020-12,Retina image,PolyU database,Image Processing and Computer Vision,,Original Research,,,,,,,,DRIVE database,,,,,,,,,,,,,0000-0002-0281-9752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Software Engineering,"Computer Imaging, Vision, Pattern Recognition and Graphics",,,,,,
