"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms","Article Citation Count","Patent Citation Count","Reference Count","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier"
"An integrated state transition-Boolean logic model for security analysis in cloud computing","A. Zimba; C. Hongsong; W. Zhaoshun","Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China; Department of Computer Science and Technology, University of Science and Technology Beijing, Beijing, China","2016 First IEEE International Conference on Computer Communication and the Internet (ICCCI)","12 Dec 2016","2016","","","449","453","The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own challenges the most echoed being security. Security concerns herein, birthed by the exposure of the cloud to different threats, continue to cast doubts on potential users and it's only befitting that such concerns are addressed. Users who entrust their data to the cloud want their data to be secured in the strongest terms possible. Once data leaves the user, the onus is on the cloud provider to provide the required security since data now lies within their perimeter of jurisdiction. But security requirements do change with time and this therefore calls for a continuous process of evaluating the security status of the cloud system. This paper proposes a model of analyzing the security status of the cloud system with regards confidentiality, integrity and availability. We employ state transitions of a conceptual finite state machine, Boolean algebra and logic to evaluate the various states of the system when a specified breach occurs. The scope of this paper is limited to user data on the cloud and not as it traverses the network between the user and the provider.","","978-1-4673-8515-2","10.1109/CCI.2016.7778962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7778962","cloud computing;threats;state transitions;Boolean logic","Cloud computing;Security;Computational modeling;Analytical models;NIST;Software as a service","Boolean algebra;cloud computing;finite state machines;security of data","integrated state transition-Boolean logic model;security analysis;cloud computing;security requirements;security status evaluation;cloud system;confidentiality;integrity;availability;conceptual finite state machine;Boolean algebra","","","","20","IEEE","12 Dec 2016","","","IEEE","IEEE Conferences"
"Wind power multi-scenario state transition based unit commitment and reserve optimization","M. Xiang; M. Zhou; Z. Zhang; Y. Liu","School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China","International Conference on Sustainable Power Generation and Supply (SUPERGEN 2012)","4 Apr 2013","2012","","","1","7","As wind power penetrations are increasing in the power systems, more innovative and sophisticated approaches to system operation will need to be adopted due to the intermittency and unpredictability of wind power generation. This paper proposed a multi-scenario unit commitment model based on state transition technique by probabilistic expression of wind power forecast error and discretization of wind power error scenes, considering the states transfer matrix specially. Making the scheduling decisions according to the scenario probability, correction reserve is set to the adjustment limit of units between the normal and error scenarios. Through the coordination of security and economic, reserve requirements according to wind power fluctuation is automatically optimized. Tests using an illustrative small system are presented, showing the usefulness and efficiency of the integrated generation scheduling, guiding significance for the scheduling and planning of thermal-wind power system.","","978-1-84919-673-4","10.1049/cp.2012.1808","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6493127","wind power;correction reserve;unit commitment;state transition","","matrix algebra;power generation economics;power generation scheduling;power system security;probability;thermal power stations;wind power;wind power plants","wind power multiscenario state transition;reserve optimization;wind power penetration;power system security;wind power generation;multiscenario unit commitment model;wind power forecast error;wind power error scene;state transfer matrix;probability;power generation economic;wind power fluctuation;integrated generation scheduling;power generation planning;thermal-wind power system;wind power integration","","2","","","","4 Apr 2013","","","IET","IET Conferences"
"A Software Watermarking Algorithm Based on Stack-State Transition Graph","X. Jinchao; Z. Guosun","Department of Computer Science and Technology, University of Tongji, Shanghai, China; Department of Computer Science and Technology, University of Tongji, Shanghai, China","2010 Fourth International Conference on Network and System Security","15 Nov 2010","2010","","","83","88","In the Internet age, Software security and piracy becomes a more and more important issue. In order to prevent software from piracy and unauthorized modification, various techniques have been developed. Among them is software watermarking which protects software through embedding some secret information into software as an identifier of the ownership of copyright for this software. This paper gives an new algorithm based on stack-state transition graph, watermarks is embed by adding additional code in the executable file, and extracted by recognizing the relationship of stack-state which processed in runtime. Analysis proves that our algorithm is more reliable.","","978-1-4244-8484-3","10.1109/NSS.2010.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5636081","Digital Copyright;Dynamic Software Watermarking;Stack-state transition graph;Watermarking Algorithm","Watermarking;Software;Software algorithms;Heuristic algorithms;Algorithm design and analysis;Runtime","copyright;watermarking","software watermarking algorithm;stack-state transition graph;Internet age;software security;software piracy;copyright","","","","19","IEEE","15 Nov 2010","","","IEEE","IEEE Conferences"
"A network security situation perception model based on immune state transition","Liu Nian; Y. Liu","School of Electrical Engineering and Information, Sichuan University, Chengdu, Sichuan, China; China Aerodynamics Research & Development Center, Mianyang, Sichuan, China, 621000","International Conference on Automatic Control and Artificial Intelligence (ACAI 2012)","4 Apr 2013","2012","","","142","145","This paper proposes a new Model of Network Security Situation Perception based on artificial immunity which can realize immune state transition. This model is used to solve the self and non-self dynamic describing problem in computer immune system. It can realize the detection to known and unknown network intrusion. It has some characteristics like distributed behavior, self-learning, robustness etc; it also presented memory Immunological detection trees based on the antibody concentration. It adjusts each node's order dynamically. Each time while testing, detector is extracted from high to low according to the antibody concentration to matching antigen. When antibody concentration is changed with the network attack, adjust the tree node sequence timely, make high concentrations detector match antigen prior to the low concentration detector for reducing invalid matching times and improving detection efficiency.","","978-1-84919-537-9","10.1049/cp.2012.0940","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6492547","Network Security;Artificial Immune;Situation Perception;State Transition","","","","","1","","","","4 Apr 2013","","","IET","IET Conferences"
"An Improved State Transition-Based Security Policy Conflict Detection Algorithm","D. Xiangdong; C. Xingyuan; W. Yongliang; W. Yigong; L. Jiang","Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China; Zhengzhou Information Science and Technology Institute, Zhengzhou, China","2010 International Conference on Computational and Information Sciences","4 Feb 2011","2010","","","609","612","Security policy is the core to ensure the system operating safely, security policy conflict will cause the system to suffer a security threaten, which even make system crash, therefore security policy conflict detection is particularly important. This paper researches the type of intra-node security policy conflict detection, analyses the complexity of algorithm of security policy conflict detection, improves the algorithm of security policy conflict detection which based on state transition, proves that the algorithm improved efficiency of security policy conflict detection. Finally, we compare the performance of conflict detection algorithms between the previous and the improved one's, verify that the algorithm is correct, efficient, and has practical value.","","978-1-4244-8814-8","10.1109/ICCIS.2010.154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5709075","state transition;conflict detection;algorithm complexity","Security;Algorithm design and analysis;Detection algorithms;Complexity theory;Fires;Information science;Redundancy","security of data","security policy conflict detection algorithm;intra-node security policy;state transition","","","","15","IEEE","4 Feb 2011","","","IEEE","IEEE Conferences"
"An Effective Defense Method based on Hash Authentication against Mode-switching Attack of Ormon PLC","J. Gao; Y. Li; Y. Li; T. Gong; F. Xu; Q. Zhao; H. Jiang; J. Jia","Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China; Institute of Baozhang, China Industrial Control Systems Cyber Emergency Response Team, Beijing, China","2022 7th International Conference on Intelligent Computing and Signal Processing (ICSP)","24 May 2022","2022","","","976","979","Industrial control system (ICS) integrating different software and hardware is not only to collect, obtain and calculate data information, but also to control the machine or production process so that it can run automatically. Ormon PLCs are widely used in critical manufactures and have adopted factory interface network service (Fins) protocol to exchange message. The recent articles indicate that Ormon PLCs used Fins Ethernet protocol were exposed to mode-switching malicious network attack. However, the traditional detection methods based on function codes and Snort detection rules could not get an ideal result. In this paper, we propose a method that can overcome these problems in dealing with mode-switching attack by an external hash authentication device embedding asymmetric encryption. This security device built into a hash authentication mechanism, which is responsible for identifying and distinguishing the interaction information message between the upper computer and PLC interaction information. In order to validate our method, some experiments have been done to show that defend method can disrupt successfully the communication link between the attacking computer and PLC device to defend this malicious cyber attacks efficiently.","","978-1-6654-7857-1","10.1109/ICSP54964.2022.9778843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9778843","Industry control system (ICS);Ormon PLC;Mode-switching Attack;Hash Authentication","Integrated circuits;Protocols;Authentication;Process control;Ethernet;Switches;Signal processing","computer network security;control engineering computing;cryptography;industrial control;local area networks;machinery production industries;production engineering computing;programmable controllers","Ormon PLC;industrial control system;different software;data information;factory interface network service protocol;Fins Ethernet protocol;Snort detection rules;external hash authentication device;hash authentication mechanism;interaction information message;PLC interaction information;attacking computer;malicious cyber attacks;mode switching malicious network attack;mode switching attack","","","","14","IEEE","24 May 2022","","","IEEE","IEEE Conferences"
"Performance Analysis of Multilingual Encryption for Enhancing Data Security using Cellular Automata based State Transition Mapping: A Linear Approach","A. Banerjee; A. Kundu","Computer Innovative Research Society, West Bengal, India; Netaji Subhash Engineering College, Kolkata, India","2020 IEEE 1st International Conference for Convergence in Engineering (ICCE)","21 Dec 2020","2020","","","458","463","Authors propose cellular automata (CA) based multilingual encryption algorithm to maintain network based and standalone data security using minimum time. Multilingual data, collected from different geographical locations is required to measure the performance of proposed algorithm. Superiority and linearity of CA based proposed multilingual encryption algorithm should be measured using different experiments. Different components are required in proposed algorithm to prepare an authenticated multilingual dataset for encryption. Comparative analysis between existing Advanced Encryption System (AES) and proposed CA based encryption scheme is established based on several experimental results.","","978-1-7281-7340-5","10.1109/ICCE50343.2020.9290694","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9290694","Cryptography;Multilingual Encryption;Cellular Automata;Single Attractor Cellular Automata (SACA);CA based Encryption;Advanced Encryption System (AES);State Transition Mapping;Encryption Performance Analysis","Encryption;Indexes;Convergence;Conferences;Automata;Complexity theory;Performance analysis","cellular automata;cryptography","CA based encryption scheme;advanced encryption system;authenticated multilingual dataset;different geographical locations;multilingual data;standalone data security;multilingual encryption algorithm;linear approach;state transition mapping;cellular automata;data security enhancement;performance analysis","","2","","8","IEEE","21 Dec 2020","","","IEEE","IEEE Conferences"
"A new filter collaborative state transition algorithm for two-objective dynamic reactive power optimization","H. Zhang; C. Wang; W. Fan","Xinjiang University, Wulumuqi, Xinjiang, CN; Xinjiang University, Wulumuqi, Xinjiang, CN; Tsinghua University, Beijing, Beijing, CN","Tsinghua Science and Technology","8 Nov 2018","2019","24","1","30","43","Dynamic Reactive Power Optimization (DRPO) is a large-scale, multi-period, and strongly coupled nonlinear mixed-integer programming problem that is difficult to solve directly. First, to handle discrete variables and switching operation constraints, DRPO is formulated as a nonlinear constrained two-objective optimization problem in this paper. The first objective is to minimize the real power loss and the Total Voltage Deviations (TVDs), and the second objective is to minimize incremental system loss. Then a Filter Collaborative State Transition Algorithm (FCSTA) is presented for solving DRPO problems. Two populations corresponding to two different objectives are employed. Moreover, the filter technique is utilized to deal with constraints. Finally, the effectiveness of the proposed method is demonstrated through the results obtained for a 24-hour test on Ward & Hale 6 bus, IEEE 14 bus, and IEEE 30 bus test power systems. To substantiate the effectiveness of the proposed algorithms, the obtained results are compared with different approaches in the literature.","1007-0214","","10.26599/TST.2018.9010068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8526504","dynamic reactive power optimization;filter collaborative state transition algorithm;Ward & Hale 6 bus;IEEE 14 bus;IEEE 30 bus","Reactive power;Optimization;Linear programming;Capacitors;Switches;Collaboration;Heuristic algorithms","integer programming;nonlinear programming;power system security;reactive power control","total voltage deviation;IEEE 14 bus test power systems;FCSTA;nonlinear mixed-integer programming problem;two-objective dynamic reactive power optimization;IEEE 30 bus test power systems;filter technique;DRPO problems;filter collaborative state transition algorithm;incremental system loss;two-objective optimization problem;switching operation constraints","","6","","","","8 Nov 2018","","","TUP","TUP Journals"
"State transition analysis: a rule-based intrusion detection approach","K. Ilgun; R. A. Kemmerer; P. A. Porras","Advanced Computer Communications, Santa Barbara, CA, USA; Reliable Software Group-Department of Computer Science, University of California, Santa Barbara, CA, USA; Aerospace Corporation, Los Angeles, CA, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1995","21","3","181","199","The paper presents a new approach to representing and detecting computer penetrations in real time. The approach, called state transition analysis, models penetrations as a series of state changes that lead from an initial secure state to a target compromised state. State transition diagrams, the graphical representation of penetrations, identify precisely the requirements for and the compromise of a penetration and present only the critical events that must occur for the successful completion of the penetration. State transition diagrams are written to correspond to the states of an actual computer system, and these diagrams form the basis of a rule based expert system for detecting penetrations, called the state transition analysis tool (STAT). The design and implementation of a Unix specific prototype of this expert system, called USTAT, is also presented. This prototype provides a further illustration of the overall design and functionality of this intrusion detection approach. Lastly, STAT is compared to the functionality of comparable intrusion detection tools.<>","1939-3520","","10.1109/32.372146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372146","","Intrusion detection;Expert systems;Data analysis;Prototypes;Data security;Computer security;Software;Computer science;Information analysis;Research and development","safety systems;security of data;authorisation;access control;expert systems;real-time systems","state transition analysis;rule-based intrusion detection approach;computer penetrations;state changes;state transition diagrams;graphical representation;critical events;rule based expert system;STAT;Unix specific prototype;USTAT;intrusion detection tools","","385","76","34","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Safe and automated state transfer for secure and reliable live update","C. Giuffrida; A. S. Tanenbaum","Department of Computer Science, Vrije Universiteit, Amsterdam, Netherlands; Department of Computer Science, Vrije Universiteit, Amsterdam, Netherlands","2012 4th International Workshop on Hot Topics in Software Upgrades (HotSWUp)","28 Jun 2012","2012","","","16","20","Traditional live update systems offer little or no automated support for state transfer between two different program versions with changes in the program state. In this paper, we report our efforts to build a safe and automated state transfer framework for C programs that requires a minimal number of program state annotations and handles common structural state changes with no programmer assistance. To handle more complex state transformations, the framework includes a number of extension mechanisms designed to minimize the overall programming effort. Our experience with real-world programs suggests that our framework can handle all the standard C idioms and support safe and automated state transfer for complex state changes. We believe our approach is effective in several update scenarios and significantly raises the bar on the security and reliability of live update.","","978-1-4673-1764-1","10.1109/HotSWUp.2012.6226610","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6226610","","Security;Libraries;Instruments;Runtime;Resource management;Reliability;Software","C language;configuration management;security of data;software reliability","safe state transfer;automated state transfer;live update system;program version;C program;program state annotation;structural state change;complex state transformation;programming effort;standard C idiom;complex state change;live update security;live update reliability","","6","","11","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
