"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Address","Proceedings title","Date published","ISBN","ISBN (alt.)","ISSN","URLs","DOI","Abstract","Keywords","Notes","Affiliation","Language","Series"
"Conference Paper","Seo SC,You JH,Kim YD,Choi JY,Lee SJ,Kim BK","Hao Y,Liu J,Wang Y,Cheung YM,Yin H,Jiao L,Ma J,Jiao YC","Building security requirements using state transition diagram at security threat location","","2005","3802","","451-456","IEEE Computat Intelligence, Hong Kong Chapter; Xidian Univ; Hong Kong Baptist Univ; Natl Nat Sci Fdn China; Guangdong Univ Technol","SPRINGER-VERLAG BERLIN","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY","COMPUTATIONAL INTELLIGENCE AND SECURITY, PT 2, PROCEEDINGS","2005","9783540308195","","0302-9743","","","The security requirements in the software life cycle has received some attention recently. However, it is not yet clear how to build security requirements. This paper describes and illustrates a process to build application specific security requirements from state transition diagrams at the security threat location. Using security failure data, we identify security threat locations which attackers could use to exploit software vulnerabilities. A state transition diagram is constructed to be used to protect, mitigate, and remove vulnerabilities relative to security threat locations. In the software development process, security requirements are obtained from state transition diagrams relative to the security threat location.","","International Conference on Computational Intelligence and Security, Xian, PEOPLES R CHINA, DEC 15-19, 2005","Seo, SC (Corresponding Author), Chonnam Natl Univ, Dept Comp Sci, 300 Yongbong Dong, Kwangju 500757, South Korea. Chonnam Natl Univ, Dept Comp Sci, Kwangju 500757, South Korea. Kyungpook Natl Univ, Sch Elect Engn & Comp Sci, Taegu 702701, South Korea. Shingyeong Univ, Dept Internet Informat Commun, Hwaseong 445852, Gyeonggi, South Korea.","English","Lecture Notes in Artificial Intelligence"
"Conference Paper","Jin H,Xu R,Xu W,Cui P,Zhu S","Nardell C,Xue S,Yang H","Enriching Mission Planning Approach with State Transition Graph Heuristics for Deep Space Exploration","","2017","10463","","","SPIE; Chinese Soc Opt Engn; Chinese Soc Astronaut, Photoelectron Technol Comm; CHIA, Acad & Res, Dept Cooperat & Coordinat Ind; Sci & Technol Low Light Level Night Vis Lab; Sci & Technol Electro Opt Informat Secur Control Lab; Opt Soc Korea; Opt & Photon Soc Singapore; European Opt Soc; Opt Soc Japan","SPIE-INT SOC OPTICAL ENGINEERING","1000 20TH ST, PO BOX 10, BELLINGHAM, WA 98227-0010 USA","AOPC 2017: SPACE OPTICS AND EARTH IMAGING AND SPACE NAVIGATION","2017","9781510614086","9781510614079","0277-786X","http://dx.doi.org/10.1117/12.2282947","10.1117/12.2282947","As to support the mission of Mars exploration in China, automated mission planning is required to enhance security and robustness of deep space probe. Deep space mission planning requires modeling of complex operations constraints and focus on the temporal state transitions of involved subsystems. Also, state transitions are ubiquitous in physical systems, but have been elusive for knowledge description. We introduce a modeling approach to cope with these difficulties that takes state transitions into consideration. The key technique we build on is the notion of extended states and state transition graphs. Furthermore, a heuristics that based on state transition graphs is proposed to avoid redundant work. Finally, we run comprehensive experiments on selected domains and our techniques present an excellent performance.","Deep space probe; mission planning; state transition graph; heuristic planning","Annual Conference of the Chinese-Society-for-Optical-Engineering (CSOE) on Applied Optics and Photonics China (AOPC) - Space Optics and Earth Imaging and Space Navigation, Beijing, PEOPLES R CHINA, JUN 04-06, 2017","Xu, WM (Corresponding Author), Beijing Inst Technol, Inst Deep Space Explorat Technol, Beijing 100081, Peoples R China. Xu, WM (Corresponding Author), Minist Ind & Informat Technol, Key Lab Autonomous Nav & Control Deep Space Explo, Beijing 100081, Peoples R China. Xu, WM (Corresponding Author), Beijing Inst Technol, Sch Aerosp Engn, 5 South Zhongguancun St, Beijing 100081, Peoples R China. Jin, Hao; Xu, Rui; Xu, Wenming; Cui, Pingyuan; Zhu, Shengying, Beijing Inst Technol, Inst Deep Space Explorat Technol, Beijing 100081, Peoples R China. Jin, Hao; Xu, Rui; Xu, Wenming; Cui, Pingyuan; Zhu, Shengying, Minist Ind & Informat Technol, Key Lab Autonomous Nav & Control Deep Space Explo, Beijing 100081, Peoples R China. Jin, Hao; Xu, Rui; Xu, Wenming; Cui, Pingyuan; Zhu, Shengying, Beijing Inst Technol, Sch Aerosp Engn, 5 South Zhongguancun St, Beijing 100081, Peoples R China.","English","Proceedings of SPIE"
"Journal Article","Xu R,Jin H,Xu W,Cui P,Han X","","Effective search strategy via internal state transition graphs on onboard planning for deep space probes","ACTA ASTRONAUTICA","2018","148","","235-245","","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","","2018-07","","","0094-5765","http://dx.doi.org/10.1016/j.actaastro.2018.04.056","10.1016/j.actaastro.2018.04.056","As to support the mission of Mars exploration in China, automated onboard planning is required to enhance the security and robustness of deep space probes. Onboard planning here is a term that defines a complex set of activities or states aiming at deciding the daily tasks on a probe and at figuring out if mission goals are met. Deep space onboard planning requires modeling of complex operation constraints and focusing on intricate state transitions of involved subsystems. Also, devices of various operation modes and multiple functionalities, which are ubiquitous in physical systems, are intractable in onboard planning and have not been effectively handled. To cope with these difficulties, we introduce an approach of knowledge representation that explicitly establishes the mentioned features. The key techniques we build on are the notion of timeline-based planning tasks and heuristic estimate method designed on internal state transition graphs. Furthermore, state transitions have provided crucial information for search guidance, and a search algorithm joint with internal state transition graph heuristic method is proposed to avoid redundant work. Finally, we run comprehensive experiments on selected domains, and our techniques present an excellent performance compared to the algorithm in Europa2.","Deep space probes; Timeline-based planning tasks; Internal state transition graphs; Heuristic planning approach","","Xu, WM (Corresponding Author), Beijing Inst Technol, Inst Deep Space Explorat Technol, Beijing 100081, Peoples R China. Xu, Rui; Jin, Hao; Xu, Wenming; Cui, Pingyuan, Beijing Inst Technol, Inst Deep Space Explorat Technol, Beijing 100081, Peoples R China. Xu, Rui; Jin, Hao; Xu, Wenming; Cui, Pingyuan, Minist Ind & Informat Technol, Key Lab Autonomous Nav & Control Deep Space Explo, Beijing 100081, Peoples R China. Han, Xiaodong, CAST, Inst Telecommun Satellite, Beijing 100094, Peoples R China.","English",""
"Conference Paper","Su KL,Zhao CX,Lv GF,Lin H,Chen QL","Deng X,Ye Y","Formal analysis and improvement of the state transition model for intrusion tolerant system","","2005","3828","","391-404","KC Wong Educ Fdn; Hong Kong Pei Hua Educ Fdn Ltd; City Univ Hong Kong, Dept Comp Sci","SPRINGER-VERLAG BERLIN","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY","INTERNET AND NETWORK ECONOMICS, PROCEEDINGS","2005","9783540309000","","0302-9743","","","Intrusion tolerance is an emerging network security technique, which enables the victim server systems to continue offering services (or degraded services) after being attacked. A state transition model has been presented to describe the dynamic behaviors of intrusion tolerant systems. In this paper, we build an attack finite state system based on the recent network attacks, and use SMV, a model checking tool, to analyze the intrusion tolerant systems by the interaction of the system model and the attack model. The analysis results demonstrate that not all types of attacks can be mapped to the system model. We improve this state transition model, whose correctness is proved by SMV. In addition, we give two attack instances mapped to our improved model.","","1st International Workshop on Internet and Network Economics, Hong Kong, PEOPLES R CHINA, DEC 15-17, 2005","Su, KL (Corresponding Author), Sun Yat Sen Univ, Dept Comp Sci, Guangzhou 510275, Peoples R China. Sun Yat Sen Univ, Dept Comp Sci, Guangzhou 510275, Peoples R China. Griffith Univ, Inst Integrated & Intelligent Syst, Brisbane, Qld 4111, Australia. Beijing Univ Technol, Coll Comp Sci, Beijing 100022, Peoples R China.","English","Lecture Notes in Computer Science"
"Journal Article","Zhu Y,Zhang H,Li H,Zhang J,Zhang D","","Optimal Jamming Strategy Against Two-State Switched System","IEEE COMMUNICATIONS LETTERS","2022","26","3","706-710","","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA","","2022-03","","","1089-7798","http://dx.doi.org/10.1109/LCOMM.2022.3142080","10.1109/LCOMM.2022.3142080","In this letter, we investigate the security issue of a discrete linear time-varying system following a fixed switching rule. We first give a sufficient condition for the stability of this two-state switched system. In our scenario, the communication channel between the sensor and the remote estimator is interfered by a jammer with limited energy. Then we prove that the continuous jamming strategy is optimal compared with other strategies, which maximizes the estimation error in the viewpoint of the attacker. Finally, numerical examples are presented to certificate the effectiveness of the proposed optimal jamming strategy.","Linear time-varying; switched system; optimal jamming strategy","","Zhang, H (Corresponding Author), Jiangsu Ocean Univ, Sch Comp Engn, Lianyungang 222000, Peoples R China. Zhu, Yu; Zhang, Heng; Li, Hongran; Zhang, Jian, Jiangsu Ocean Univ, Sch Comp Engn, Lianyungang 222000, Peoples R China. Zhang, Dandan, Jiangsu Ocean Univ, Sch Sci, Lianyungang 222000, Peoples R China.","English",""
"Conference Paper","Goseva-Popstojanova K,Wang FY,Wang R,Gong FM,Vaidyanathan K,Trivedi K,Muthusamy B","","Characterizing intrusion tolerant systems using a state transition model","","2001","","","211-221","Def Adv Res Project Agcy; IEEE Comp Soc, Tech Comm Secur & Privacy","IEEE COMPUTER SOC","10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA","DISCEX'01: DARPA INFORMATION SURVIVABILITY CONFERENCE & EXPOSITION II, VOL II, PROCEEDINGS","2001","9780769512129","","","","","Intrusion detection and response research has so far mostly concentrated on known and well-defined attacks. We believe that this narrow focus of attacks accounts for both the successes and limitation of commercial intrusion detection systems (IDS). Intrusion tolerance, on the other hand, is inherently tied to functions and services that require protection. This paper presents a state transition model to describe the dynamic behavior of intrusion tolerant systems. This model provides a framework from which we can define the vulnerability, and the threat set to be addressed. We also show how this model helps us to describe both known and unknown security exploits by focusing on impacts rather than specific attack procedures. By going through the exercise of mapping known vulnerabilities to this transition model, we identify, a reasonably complete fault space that should be considered in a general intrusion tolerant system.","","2nd DARPA Information Survivability Conference and Exposition (DISCEX II), ANAHEIM, CA, JUN 12-14, 2001","Goseva-Popstojanova, K (Corresponding Author), Duke Univ, Dept ECE, Box 90294, Durham, NC 27708 USA. Duke Univ, Dept ECE, Durham, NC 27708 USA.","English",""
"Conference Paper","Zimba A,Hongsong C,Zhaoshun W","","An Integrated State Transition-Boolean Logic Model for Security Analysis in Cloud Computing","","2016","","","449-453","IEEE","IEEE","345 E 47TH ST, NEW YORK, NY 10017 USA","2016 FIRST IEEE INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATION AND THE INTERNET (ICCCI 2016)","2016","9781467385152","","","","","The hype over cloud computing cannot go unnoticed even as providers and users alike testify of the evident benefits. It also goes without saying that this approach to computing shares its own challenges the most echoed being security. Security concerns herein, birthed by the exposure of the cloud to different threats, continue to cast doubts on potential users and it's only befitting that such concerns are addressed. Users who entrust their data to the cloud want their data to be secured in the strongest terms possible. Once data leaves the user, the onus is on the cloud provider to provide the required security since data now lies within their perimeter of jurisdiction. But security requirements do change with time and this therefore calls for a continuous process of evaluating the security status of the cloud system. This paper proposes a model of analyzing the security status of the cloud system with regards confidentiality, integrity and availability. We employ state transitions of a conceptual finite state machine, Boolean algebra and logic to evaluate the various states of the system when a specified breach occurs. The scope of this paper is limited to user data on the cloud and not as it traverses the network between the user and the provider.","cloud computing; threats; state transitions; Boolean logic","1st IEEE International Conference on Computer Communication and the Internet (ICCCI), Wuhan, PEOPLES R CHINA, OCT 13-15, 2016","Zimba, A (Corresponding Author), Univ Sci & Technol Beijing, Dept Comp Sci & Technol, Beijing, Peoples R China. Zimba, Aaron; Chen Hongsong; Wang Zhaoshun, Univ Sci & Technol Beijing, Dept Comp Sci & Technol, Beijing, Peoples R China.","English",""
"Journal Article","Yuan Y,Zhang Y,Wang J,Liu Z,Chen Z","","Enhancement in reliability-constrained unit commitment considering state-transition-process and uncertain resources","IET GENERATION TRANSMISSION & DISTRIBUTION","2021","15","24, SI","3488-3501","","INST ENGINEERING TECHNOLOGY-IET","MICHAEL FARADAY HOUSE SIX HILLS WAY STEVENAGE, HERTFORD SG1 2AY, ENGLAND","","2021-12","","","1751-8687","http://dx.doi.org/10.1049/gtd2.12272","10.1049/gtd2.12272","The high penetration of uncertain resources challenges the security of power system operation. By taking the impact of rescheduling under contingencies into consideration, reliability-constrained unit commitment (RCUC) is developed to address this challenge. Although several efforts have been made in modelling reliability constraints, the existing methods can only manage oversimplified low-order temporal-independent contingencies without considering wide-range contingencies or their state-transition-process issue. To quantify the impact of rescheduling on the normal-state scheduling process denoted by UC problem, this paper builds up a Bayesian inference method for encoding reliability constraints in wide-range temporal-dependent contingencies. Three predictors, for example, expected-generator-rescheduling-power, expected-energy-not-serviced and lost-of-load-probability, are selected to describe the possible corrective behaviours in rescheduling process and quantified by using Bayesian inference method. Then, these predictors are reformatted as a set of linearized constraints to be incorporated into UC. The proposed RCUC comprehensively considers the effect of rescheduling in wide-range temporal-dependent contingencies. Therefore, it can reveal the influence of generator rescheduling in wide-range contingencies and keep better reliability performance than those methods reported in previous RCUC studies. The modified IEEE 30-bus test system and IEEE 118-bus test system are used to show the proposed model's effectiveness.","","","Zhang, Y (Corresponding Author), Xi An Jiao Tong Univ, Sch Elect Engn, Xian 710049, Peoples R China. Yuan, Yiping; Zhang, Yao; Wang, Jianxue, Xi An Jiao Tong Univ, Sch Elect Engn, Xian 710049, Peoples R China. Liu, Zhou; Chen, Zhe, Aalborg Univ, Dept Energy Technol, Aalborg, Denmark.","English",""
"Journal Article","Wang J,Wu X,Hou G,Li P,Gao A,Chen Z,Gao H","","Modeling and reliability verification of industrial control network protocol based on time state transition matrix","INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS","2022","35","9","","","WILEY","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","","2022-06","","","1074-5351","http://dx.doi.org/10.1002/dac.5140","10.1002/dac.5140","With the improvement of industrial informatization, various industrial control system network protocols have also been widely used. The reliability of these protocols will directly affect the safety of industrial control systems. As an effective method that can automatically analyze system reliability, model checking has been widely used in the verification of various safety-critical systems. In this paper, we propose a modeling design method for industrial control network protocol based on time semantic reconstruction of time state transition matrix (TSTM). In addition, we provide a TSTM model checking method based on linear temporal logic (LTL). In order to effectively alleviate the state space explosion, the method adopts bounded model checking (BMC) technology. Furthermore, we implement a TSTM model verification tool called ICPV. Finally, we apply the above method to the modeling and verification of the industrial control network protocol Powerlink and through a comparison experiment with UPPAAL to illustrate the effectiveness of the method proposed in this paper.","bounded model checking; industrial control system network protocol; time state transition matrix","","Hou, G (Corresponding Author), Dalian Univ Technol, Sch Software Technol, Econ & Technol Dev Zone, 321 Tuqiang St, Dalian 116620, Peoples R China. Wang, Jie; Wu, Xintao; Hou, Gang; Li, Pengfei; Gao, Ao; Chen, Zhichao; Gao, Haoyu, Dalian Univ Technol, Sch Software Technol, Dalian, Peoples R China. Wang, Jie; Wu, Xintao; Hou, Gang; Li, Pengfei; Gao, Ao; Chen, Zhichao; Gao, Haoyu, Key Lab Ubiquitous Network & Serv Software Liaoni, Dalian, Peoples R China.","English",""
"Conference Paper","Seo D,Lee H,Nuwere E","Jajodia S,Samarati P,Cimato S","Detecting more SIP attacks on VoIP services by combining rule matching and state transition models","","2008","","","397+","IFIP TC 11","SPRINGER","233 SPRING STREET, NEW YORK, NY 10013, UNITED STATES","PROCEEDINGS OF THE IFIP TC 11/ 23RD INTERNATIONAL INFORMATION SECURITY CONFERENCE","2008","9780387096988","","","","","The Session Initiation Protocol (SIP) has been used widely for Voice over IP (VoIP) service because of its potential advantages, economical efficiency and call setup simplicity. However, SIP-based VoIP service basically has two main security issues, malformed SIP message attack and SIP flooding attack. In this paper, we propose a novel mechanism for SIP-based VoIP system utilizing rule matching algorithm and state transition models. It detects not only two main attacks, but also covers more SIP attacks. Instead of simply combining rule comparison and counting number of SIP messages, we develop secure RFC 3261 rules based on existing RFC 3261 rules, so that proposed mechanism shows 26% higher detection rate for malformed attack. Moreover, we utilize session information and define the features of each state in order to detect abnormal situations including SIP flooding. As the result, it is shown that the proposed mechanism provides not only higher accuracy, but also covering more SIP attacks including two main attacks.","","23rd International Information Security Conference held at the 20th World Computer Congress, Milan, ITALY, SEP 07-10, 2008","Seo, D (Corresponding Author), Korea Univ, Seoul 136713, South Korea. Seo, Dongwon; Lee, Heejo, Korea Univ, Seoul 136713, South Korea. Nuwere, Ejovi, Secur Lab, Seoul 136713, South Korea.","English",""
