"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Secure and Reliable Platform Configuration Change Reporting Mechanism for Trusted Computing Enhanced Secure Channels","K. Dietrich","Microcomputing Laboratory, Institute for Applied Information Processing and Communications (IAIK), Graz, Austria","2008 The 9th International Conference for Young Computer Scientists","12 Dec 2008","2008","","","2137","2142","The security of well established secure channel technologies like transport layer security (TLS) or IP security (IPSec) can be significantly improved by emerging concepts like trusted computing. The use of trusted platform modules (TPMs) offers new methods for improving the security of these well established technologies. How secure channel technologies can be adapted to use trusted computing concepts is subject to current research. A major part of this research addresses the integration of the TCG's specified remote attestation. Remote attestation enables a platform to provide a trustworthy proof of its current configuration (i.e. software that has been loaded on the platform). Hence, based on this proof, a remote platform can decide whether to open a channel to another platform or not. In current approaches, the proof of the platform configuration is processed before a secure channel is established, which is not opened if the reported configuration is not accepted by the hosts. However, one important problem has not been solved yet. Currently, no satisfying solution how the change of a platform's configuration can be securely and reliably reported to the remote platform whilst a channel is open, exists. A reliable method to provide a proof for a configuration change can be implemented with only minor modifications of the TPM specification and the TLS protocol. Experimental results show that it is possible to implement this proof mechanism with only a few additional TPM commands.","","978-0-7695-3398-8","10.1109/ICYCS.2008.530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4709304","Trusted computing;platform configuration reporting;secure channels;TLS","Information security;Computer security;Protocols;Proposals;Cryptography;Information processing;Laboratories;Information retrieval;Certification","computer network reliability;cryptographic protocols;IP networks;telecommunication channels;telecommunication security;transport protocols","reliable platform configuration change reporting mechanism;trusted computing;secure channel technology;transport layer security;IP security;trusted platform module;TLS protocol;TPM specification;cryptographic protocol","","1","1","14","IEEE","12 Dec 2008","","","IEEE","IEEE Conferences"
"Adaptive security and privacy in smart grids: A software engineering vision","M. Salehie; L. Pasquale; I. Omoronyia; B. Nuseibeh","Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Lero-The Irish Software Engineering Research Centre, University of Limerick, Ireland; Department of Computing, Open University, Milton Keynes, UK","2012 First International Workshop on Software Engineering Challenges for the Smart Grid (SE-SmartGrids)","28 Jun 2012","2012","","","46","49","Despite the benefits offered by smart grids, energy producers, distributors and consumers are increasingly concerned about possible security and privacy threats. These threats typically manifest themselves at runtime as new usage scenarios arise and vulnerabilities are discovered. Adaptive security and privacy promise to address these threats by increasing awareness and automating prevention, detection and recovery from security and privacy requirements' failures at runtime by re-configuring system controls and perhaps even changing requirements. This paper discusses the need for adaptive security and privacy in smart grids by presenting some motivating scenarios. We then outline some research issues that arise in engineering adaptive security. We particularly scrutinize published reports by NIST on smart grid security and privacy as the basis for our discussions.","","978-1-4673-1864-8","10.1109/SE4SG.2012.6225718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6225718","Smart grid;Adaptive software;Security and privacy;Security requirements","Security;Privacy;Smart grids;Monitoring;NIST;Computer architecture;Runtime","data privacy;failure analysis;power engineering computing;power system security;smart power grids;software engineering","smart grids privacy;smart grids adaptive security;software engineering vision;energy producers;privacy threats;security threats;automating prevention;privacy requirements failures;security requirements failures;reconfiguring system controls;engineering adaptive security;NIST","","10","1","16","IEEE","28 Jun 2012","","","IEEE","IEEE Conferences"
"Probabilistic impact of transmission line switching on power system operating states","P. Dehghanian; M. Kezunovic","Department of Electrical and Computer Engineering, Texas A&M University, Texas, USA; Department of Electrical and Computer Engineering, Texas A&M University, Texas, USA","2016 IEEE/PES Transmission and Distribution Conference and Exposition (T&D)","25 Jul 2016","2016","","","1","5","Power system topology control as a planned corrective action in face of contingencies and also as a measure for achieving economic gains in real time market operation has been recently studied as an enhancement in hour- and day-ahead operations. Although attractive from the reliability and economic standpoint, the attention must be paid to the impact on the power system operating states following the switching implementation to make sure the system security performance in the new migrated operating state is not jeopardized. This paper suggests a probabilistic measure to foresee the likelihood of experiencing undesirable operating state following execution of an optimal hour-ahead switching plan. The presented approach can also be helpful in selecting the most practical switching action when the optimization engine can provide multiple optimal switching scenarios. The proposed tool is tested on a modified IEEE 118-Bus Test System to demonstrate its applicability and effectiveness.","2160-8563","978-1-5090-2157-4","10.1109/TDC.2016.7519884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7519884","Economic;operating state;optimization;probabilistic;security;switching;topology control","Switches;Power transmission lines;Topology;Optimization;Probability;Economics","IEEE standards;power markets;power system control;power system economics;power system planning;power system reliability;power system security;power transmission lines","transmission line switching;power system topology control;reliability;system security;hour-ahead switching plan;IEEE 118-bus test system","","7","","33","IEEE","25 Jul 2016","","","IEEE","IEEE Conferences"
"Creation of a Fuzzy Knowledge Base for Adaptive Security Systems","P. Nesteruk; L. Nesteruk; I. Kotenko","Laboratory of Computer Security Problems, St. Petersburg Institute for Information and Automation of the Russian Academy of Sciences (SPIIRAS), Saint-Petersburg, Russia; Laboratory of Computer Security Problems, St. Petersburg Institute for Information and Automation of the Russian Academy of Sciences (SPIIRAS), Saint-Petersburg, Russia; Laboratory of Computer Security Problems, St. Petersburg Institute for Information and Automation of the Russian Academy of Sciences (SPIIRAS), Saint-Petersburg, Russia","2014 22nd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing","14 Apr 2014","2014","","","574","577","To design next generation adaptive security systems the powerful intelligent components should be developed. The paper describes the fuzzy knowledge base specifying relationships between threats and protection mechanisms by Mathworks MATLAB Fuzzy Logic Toolbox. The goal is to increase the effectiveness of the system reactions by minimization of neural network weights. We demonstrate a technique for creation of a fuzzy knowledge base to improve the system protection via rules monitoring and correction.","2377-5750","978-1-4799-2729-6","10.1109/PDP.2014.115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6787332","adaptive security system;adaptive security rules;fuzzy knowledge base;MATLAB Fuzzy Logic Toolbox","Knowledge based systems;Fuzzy logic;Security;MATLAB;Adaptive systems;Adaptation models;Biological system modeling","adaptive systems;fuzzy set theory;knowledge based systems;security of data","fuzzy knowledge;adaptive security systems;MATLAB;fuzzy logic toolbox;neural network weights;rules monitoring","","4","","15","IEEE","14 Apr 2014","","","IEEE","IEEE Conferences"
"Multi-band multi-mode SDR radar platform for traffic and security applications","Y. -K. Kwag; I. -S. Woo","School of Electronics and Information Engineering, Korea Aerospace University, Goyang-City, Korea; Radar Research Institute, Korea Aerospace University, Goyang-City, Korea","2016 URSI Asia-Pacific Radio Science Conference (URSI AP-RASC)","20 Oct 2016","2016","","","1182","1183","This paper presents the new development results of the multi-band, multi-mode software-defined radar (SDR) platform. The SDR platform consists of multi-band RF modules of S, X, K-bands, and a multi-mode digital modules with a waveform generator for CW, Pulse, FMCW, and LFM Chirp as well as reconfigurable SDR-GUI software module for user interface. This platform can be used for various applications such as traffic monitoring and surveillance, and security.","","978-1-4673-8801-6","10.1109/URSIAP-RASC.2016.7601347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7601347","Software Defined Radar (SDR);radar system design;multi-band;multi-mode radar","Meteorological radar;Radar antennas;Software;Meteorology;Radar measurements","graphical user interfaces;radar applications;software radio;telecommunication computing;telecommunication security;telecommunication traffic;waveform generators","multiband multimode SDR radar platform;traffic applications;security applications;multiband multimode software-defined radar platform;multimode digital module;waveform generator;LFM chirp;S-band;reconfigurable SDR-GUI software module;user interface;K-band;X-band;FMCW chirp;CW chirp;pulse chirp","","","","3","IEEE","20 Oct 2016","","","IEEE","IEEE Conferences"
"Classification of operating states for decision making in power systems control with feature selection based on mutual information","I. Pisica; G. Taylor","Brunel Institute of Power Systems, Brunel University, London, UK; Brunel Institute of Power Systems, Brunel University, London, UK","2012 9th International Conference on Fuzzy Systems and Knowledge Discovery","9 Jul 2012","2012","","","1589","1593","The classification of power systems operating states plays an important role in power systems control and operation. Determining the state of a power system is crucial and requirements for real-time decision making in power systems security assessment demand low dimensionality and low computational time. This paper investigates the performances of feature extraction based on mutual information in power system state classification with machine learning. The AdaBoost algorithm is used for classification based on large training databases and feature extraction is applied in order to reduce their dimensionality.","","978-1-4673-0024-7","10.1109/FSKD.2012.6234317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6234317","classification;feature extraction;power systems;mutual information","Power systems;Security;Classification algorithms;Power system control;Training;Steady-state;Mutual information","decision making;feature extraction;learning (artificial intelligence);power engineering computing;power system control;power system security","decision making;power systems control;feature selection;mutual information;power systems operating state classification;power systems security assessment;feature extraction;machine learning;AdaBoost algorithm;large training databases;dimensionality reduction","","1","","23","IEEE","9 Jul 2012","","","IEEE","IEEE Conferences"
"Research on the Diagnosis of Insulator Operating State Based on Improved Neural Networks","S. Wang; Z. Zhang; L. Xue","Hubei University of Technology, Wuhan, China; Hubei University of Technology, Wuhan, China; Shandong University of Science and Technology, Qingdao, China","2009 Fifth International Conference on Natural Computation","28 Dec 2009","2009","1","","289","293","Power transmission line insulator is an important part for power system security. Because insulator has complex operating environment and its infection factors interact on each other, the diagnosis of insulator running state is very difficult. It is needed to use some useful information to conclude insulator operating state. Here, RBF neural network is employed to identify and predict the needed time signals. In order to overcome the shortcoming of general RBF net that convergence speed is slow and plunge local extremum easily, a practical learning algorithm was proposed for adjusting the node number, centers and width of Gaussian function of hidden layer nodes effectively. Off-line training and on-line identifying were combined together to train networks and identify wire net signal. Experiment results show that the designed RBF network has strong reasoning and learning ability, which can diagnose insulator operating state unfailingly.","2157-9563","978-0-7695-3736-8","10.1109/ICNC.2009.385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364378","insulator operating state;diagnosis;RBF network;improved learning way","Insulation;Neural networks;Contamination;Leakage current;Frequency;Humidity;Pollution measurement;Power transmission lines;Signal processing;Radial basis function networks","environmental factors;Gaussian processes;insulators;power engineering computing;power system security;power transmission lines;radial basis function networks","insulator operating state diagnosis;power transmission line insulator;power system security;insulator running state;RBF neural network;learning algorithm;Gaussian function;identify wire net signal","","","","12","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
"Model-Free Adaptive Security Tracking Control for Networked Control Systems","M. -Y. Su; W. -W. Che; Z. -L. Wang","The Institute of Complexity Science, Qingdao University, Qingdao, China; The Institute of Complexity Science, Qingdao University, Qingdao, China; The Institute of Complexity Science, Qingdao University, Qingdao, China","2021 IEEE 10th Data Driven Control and Learning Systems Conference (DDCLS)","25 Jun 2021","2021","","","1475","1480","The model-free adaptive security tracking control (MFASTC) problem of nonlinear networked control systems is explored in this paper with DoS attacks and delays consideration. In order to alleviate the impact of DoS attack and RTT delays on NCSs performance, an attack compensation mechanism and a networked predictive-based delay compensation mechanism are designed, respectively. The data-based designed method need not the dynamic and structure of the system, The MFASTC algorithm is proposed to ensure the output tracking error being bounded in the mean-square sense. Finally, an example is given to illustrate the effectiveness of the new algorithm by a comparison.","2767-9861","978-1-6654-2423-3","10.1109/DDCLS52934.2021.9455667","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9455667","DoS attacks;RTT delays;nonlinear networked control systems;model-free adaptive security tracking control","Learning systems;Adaptation models;Adaptive systems;Networked control systems;Heuristic algorithms;System performance;Simulation","adaptive control;closed loop systems;compensation;control system synthesis;delays;discrete time systems;networked control systems;nonlinear control systems;time-varying systems","model-free adaptive security tracking control problem;nonlinear networked control systems;delays consideration;attack compensation mechanism;networked predictive-based delay compensation mechanism;data-based designed method;output tracking error","","","","14","IEEE","25 Jun 2021","","","IEEE","IEEE Conferences"
"Contingency re-definition and its application to power system security analysis","M. Chen","ALSTOM Grid, Redmond, WA, USA","2011 IEEE/PES Power Systems Conference and Exposition","23 May 2011","2011","","","1","4","This paper presents the contingency re-definition and its application to power system security analysis. Contingency Analysis (CA) has been an important tool in power system planning and security analysis for many years. Based on real-time network connectivity, the re-definition function takes into account the actual response of protection subsystem on the power system equipment. It identifies the breakers required for isolating the contingency equipment. This provides additional accuracy of post contingency results and provides important data to ensure the remedial action schemes are emulated correctly. Each contingency is simulated in contingency analysis by opening these breakers to evaluate their impact to the system. The ability to recognize and respect the status of manually operated switches is important to ensure the simulation mimics protection schemes. Any non-contingency equipment forced out as a result of these breaker openings, also called sympathetic outages, will be added to the contingency equipment list. All outage equipment and breakers will be listed on the contingency definition display for each contingency case. This function has been integrated in the real-time CA, off-line CA, and into dispatcher training simulator.","","978-1-61284-788-7","10.1109/PSCE.2011.5772458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5772458","Contingency analysis;contingency re-definition;forced outage;power system protection;remedial action scheme;sympathetic outage;state estimator;topology","Real time systems;Power system dynamics;Circuit faults;Circuit breakers;Power system security;Training","power system planning;power system protection;power system security","contingency redefinition;power system security analysis;power system planning;network connectivity;protection subsystem;power system equipment;remedial action schemes;manually operated switches;protection schemes;breaker openings;sympathetic outages;real-time CA;off-line CA;dispatcher training simulator","","8","","8","IEEE","23 May 2011","","","IEEE","IEEE Conferences"
"Reactive and Adaptive Security Monitoring in Cloud Computing","C. Elbaz; L. Rilling; C. Morin","Inria, CNRS, IRISA, Univ Rennes, Rennes, France; DGA, Rennes, France; Inria, CNRS, IRISA, Univ Rennes, Rennes, France","2018 IEEE 3rd International Workshops on Foundations and Applications of Self* Systems (FAS*W)","3 Jan 2019","2018","","","5","7","Cloud computing enabled service-level agreements (SLAs) to gain widespread use among information systems stakeholders. It is now normal for performance and availability of such systems to be carefully measured and evaluated. Contracts that include financial penalties in case of breach are now common. However security is lagging behind this trend; it is as important to stakeholders as performance and availability, but is generally not included in the scope of service-level agreements between stakeholders, and handled instead on a best-effort basis, without any transparency nor SLA with their clients. One reason for this is the difficulty of objectively measuring security. Indeed, the actual security level of a system is dependent on a wide range of factors, some intrinsic to the system - such as a design or implementation mistake resulting in a vulnerability - and some extrinsic to it. For instance, an external event such as the publication of a vulnerability in an open-source software dependency or a change of political context in a country can widely impact the risks faced by an information system even if no actual change were made to the system. These factors are even more numerous in multi-tenant cloud infrastructures because of the sheer number of actors involved - and their sometimes conflicting incentives - and opportunities for both attack and defense at scale. Security monitoring aims to detect and react to attacks in real time; Reactive security monitoring intends to take external events into account while doing so. Improving the accuracy of a system's overall security assessment can help transitioning security to a SLA paradigm and enable better transparency for all stakeholders.","","978-1-5386-5175-9","10.1109/FAS-W.2018.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8599521","Security;Cloud;SLA;IDS","Security;Software;Cloud computing;Information systems;Prototypes;Monitoring;Contracts","cloud computing;contracts;public domain software;security of data","multitenant cloud;external event;security assessment;transparency;adaptive security monitoring;cloud computing;service-level agreements;information systems stakeholders;financial penalties;best-effort basis;actual security level;open-source software dependency;information system;actual change;reactive security monitoring","","2","","17","IEEE","3 Jan 2019","","","IEEE","IEEE Conferences"
