contentType,identifier,language,url/0/format,url/0/platform,url/0/value,url/1/format,url/1/platform,url/1/value,url/2/format,url/2/platform,url/2/value,title,creators/0/ORCID,creators/0/creator,creators/1/ORCID,creators/1/creator,creators/2/ORCID,creators/2/creator,bookEditors/0/bookEditor,bookEditors/1/bookEditor,bookEditors/2/bookEditor,bookEditors/3/bookEditor,bookEditors/4/bookEditor,bookEditors/5/bookEditor,bookEditors/6/bookEditor,publicationName,openaccess,doi,publisher,publisherName,publicationDate,publicationType,printIsbn,electronicIsbn,isbn,genre/0,onlineDate,seriesId,copyright,abstract,conferenceInfo/0/confSeriesName,conferenceInfo/0/confSeriesID/0/type,conferenceInfo/0/confSeriesID/0/value,conferenceInfo/0/confSeriesID/1/type,conferenceInfo/0/confSeriesID/1/value,conferenceInfo/0/confEventID/0/type,conferenceInfo/0/confEventID/0/value,conferenceInfo/0/confEventAbbreviation,conferenceInfo/0/confNumber,conferenceInfo/0/confEventLocation/0/locationType,conferenceInfo/0/confEventLocation/0/city,conferenceInfo/0/confEventLocation/0/country/0/code,conferenceInfo/0/confEventLocation/0/country/0/value,conferenceInfo/0/confEventDateStart/0/year,conferenceInfo/0/confEventDateStart/0/month,conferenceInfo/0/confEventDateStart/0/day,conferenceInfo/0/confEventDateEnd/0/year,conferenceInfo/0/confEventDateEnd/0/month,conferenceInfo/0/confEventDateEnd/0/day,conferenceInfo/0/confEventURL,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfPapersPerReviewer,conferenceInfo/0/confEventPeerReviewInformation/averageNumberOfReviewsPerPaper,conferenceInfo/0/confEventPeerReviewInformation/externalReviewersInvolved,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAcceptanceRate,conferenceInfo/0/confEventPeerReviewInformation/fullPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/managementSystem,conferenceInfo/0/confEventPeerReviewInformation/shortPapersAccepted,conferenceInfo/0/confEventPeerReviewInformation/submissionsSentForReview,conferenceInfo/0/confEventPeerReviewInformation/type,conferenceInfo/0/confEventPeerReviewInformation/value,keyword/0,keyword/1,keyword/2,keyword/3,keyword/4,subjects/0,subjects/1,subjects/2,subjects/3,subjects/4,subjects/5,subjects/6,issn,eIssn,volume,number,issueType,topicalCollection,startingPage,endingPage,journalId,printDate,coverDate,keyword/5,keyword/6,bookEditors/7/bookEditor,bookEditors/8/bookEditor,creators/3/creator,genre/1,creators/4/creator,creators/5/creator,keyword/7,keyword/8,keyword/9,keyword/10,keyword/11,keyword/12,keyword/13,keyword/14,keyword/15,keyword/16,keyword/17
Chapter ConferencePaper,doi:10.1007/978-3-031-39689-2_6,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-031-39689-2_6,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-031-39689-2_6,,,http://dx.doi.org/10.1007/978-3-031-39689-2_6,Architecture for Self-protective Medical Cyber-Physical Systems,0000-0002-6937-986X,"Riegler, Michael",0000-0002-0637-6602,"Sametinger, Johannes",0000-0002-7348-4128,"Rozenblit, Jerzy W.","Kotsis, Gabriele","Tjoa, A Min","Khalil, Ismail","Moser, Bernhard","Mashkoor, Atif","Sametinger, Johannes","Khan, Maqbool",Database and Expert Systems Applications - DEXA 2023 Workshops,false,10.1007/978-3-031-39689-2_6,Springer,Springer Nature Switzerland,2023-01-01,Book,978-3-031-39688-5,978-3-031-39689-2,978-3-031-39688-5,OriginalPaper Proceedings,2023-08-21,7899,"©2023 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG","The Internet of Medical Things (IoMT) promises to improve patient care and the efficiency of Medical Cyber-Physical Systems (MCPSs). At the same time, the connectivity increases the security risk. We aim to model Self-protective MCPSs to reduce the attack surface during runtime. Even under attack, these systems require to provide clinical function for the patients. Monitoring vulnerabilities and suspicious behavior and sharing attacker information contributes to improved security and can be the foundation for automated actions for healthcare delivery organizations. Switching between context-aware security modes provides a flexible way to protect online and offline IoMT and increase patient safety. This paper presents our ongoing work to make healthcare systems more secure. We show current security and privacy challenges, discuss how self-protective systems can overcome them, and what role IoMT devices play in that context.",International Conference on Database and Expert Systems Applications,Springer,dexa,DBLP,dexa,Springer,dexa2023,DEXA,34,InPerson,Penang,MY,Malaysia,2023,08,28,2023,08,30,https://www.dexa.org/dexa2023,4,3,Yes,32,49,EquinOCS,35,155,Single-blind,For the workshops 7 full and 3 short papers have been accepted from 20 submissions,Self-Protection,Medical Cyber-Physical Systems,Internet of Medical Things,Security,Mode Switching,Computer Science,Database Management,Data Mining and Knowledge Discovery,Data Structures and Information Theory,Software Engineering/Programming and Operating Systems,Artificial Intelligence,Computer Systems Organization and Communication Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s11277-021-08243-3,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11277-021-08243-3,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11277-021-08243-3,,,http://dx.doi.org/10.1007/s11277-021-08243-3,Cellular Automata based Cryptography Model for Reliable Encryption Using State Transition in Wireless Network Optimizing Data Security,0000-0003-3529-8268,"Banerjee, Ayan",,"Kundu, Anirban",,,,,,,,,,Wireless Personal Communications,false,10.1007/s11277-021-08243-3,Springer,Springer US,2021-07-01,Journal,,,,OriginalPaper,2021-03-19,,"©2021 The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature","Authors propose a hardware based approach for reliable encryption in wireless network using Cellular Automata (CA). Distinct layers of encryption have been utilized in proposed model for enhancing data security. Transmitter and receiver modules are designed for performing state transition based encrypted activities. Transmitter module is required for capturing environmental turbulences (noise) from a specific geographical location and send encrypted signal to receiver module through wireless network. Receiver module analyses received signal after decryption for desired activities based on real time situations. Different hardware components are selected and compared based on market study targeting efficient construction of proposed modules. Time complexity and code break complexity are measured using different key lengths, keysets, and data sizes for proposed CA based encryption scheme achieving unique results in hardware based cryptography system. Encryption key length, index, and keyset are required for computing code break complexity in design model. Large data size is effectively managed to calculate protection ratio and reliability factor for realizing efficient protectiveness and accuracy. Comparative study between existing encryption technique and proposed CA based encryption technique is established based on time complexity and code break complexity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wireless communication,Encryption system,Advanced encryption system (AES),Cellular automata (CA),CA based encryption,Engineering,"Communications Engineering, Networks","Signal,Image and Speech Processing",Computer Communication Networks,,,,0929-6212,1572-834X,119,1,Regular,,877,918,11277,2021-06-16,2021-07,Cryptography,State transition,,,,,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/978-3-030-59028-4_6,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-59028-4_6,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-59028-4_6,,,http://dx.doi.org/10.1007/978-3-030-59028-4_6,Mode Switching from a Security Perspective: First Findings of a Systematic Literature Review,0000-0002-6937-986X,"Riegler, Michael",0000-0002-0637-6602,"Sametinger, Johannes",,,"Kotsis, Gabriele","Tjoa, A Min","Khalil, Ismail","Fischer, Lukas","Moser, Bernhard","Mashkoor, Atif","Sametinger, Johannes",Database and Expert Systems Applications,false,10.1007/978-3-030-59028-4_6,Springer,Springer International Publishing,2020-01-01,Book,978-3-030-59027-7,978-3-030-59028-4,978-3-030-59027-7,OriginalPaper Proceedings,2020-09-12,7899,©2020 Springer Nature Switzerland AG,"With increased interoperability of cyber-physical systems (CPSs), security becomes increasingly critical for many of these systems. We know mode switching from domains like aviation and automotive, and we imagine to use this mechanism for the development of resilient systems that continue to function correctly even if under malicious attack. If vulnerabilities are detected or even known, modes can be switched to reduce the attack surface and to minimize attackers’ range of activity. We propose to engineer CPSs with multi-modal software architectures to overcome the interval between the time when zero-day vulnerabilities become known and the time when corresponding updates become available. Thus, affected companies, operators and people will be able to protect themselves and their customers without having to wait for security updates. This paper presents first findings of a systematic literature review (SLR) on mode switching from a security perspective.",International Conference on Database and Expert Systems Applications,Springer,dexa,DBLP,dexa,Springer,dexa2020,DEXA,31,,Bratislava,SK,Slovakia,2020,09,14,2020,09,17,http://www.dexa.org/dexa2020,3-4,4-6,Yes,20,38,EasyChair,20,190,Double-blind,"Due to the COVID-19 pandemic the conference was held online. DEXA Workshops volume: submissions sent - 15, full papers accepted - 6, short papers accepted - 4, reviewers per paper 3, papers per reviewer 1-2",Mode switching,Protocols,Security,Resilience,Cyber-physical system,Computer Science,Database Management,Artificial Intelligence,Computer Communication Networks,Mathematics of Computing,Cryptology,Theory of Computation,,,,,,,,,,,,,,"Fensel, Anna","Martinez-Gil, Jorge",,,,,,,,,,,,,,,
Article,doi:10.1007/s11859-018-1312-3,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11859-018-1312-3,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11859-018-1312-3,,,http://dx.doi.org/10.1007/s11859-018-1312-3,Risk Analysis of Information System Security Based on Distance of Information-State Transition,,"Zhou, Chao",,"Pan, Ping",,"Mao, Xinyue",,,,,,,,Wuhan University Journal of Natural Sciences,false,10.1007/s11859-018-1312-3,Springer,Wuhan University,2018-06-01,Journal,,,,OriginalPaper,2018-05-17,,"©2018 Wuhan University and Springer-Verlag GmbH Germany, part of Springer Nature","The configuration of information system security policy is directly related to the information asset risk, and the configuration required by the classified security protection is able to ensure the optimal and minimum policy in the corresponding security level. Through the random survey on the information assets of multiple departments, this paper proposes the relative deviation distance of security policy configuration as risk measure parameter based on the distance of information-state transition (DIT) theory. By quantitatively analyzing the information asset weight, deviation degree and DIT, we establish the evaluation model for information system. With example analysis, the results prove that this method conducts effective risk evaluation on the information system intuitively and reliably, avoids the threat caused by subjective measurement, and shows performance benefits compared with existing solutions. It is not only theoretically but also practically feasible to realize the scientific analysis of security risk for the information system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,distance of information-state transition (DIT),deviation distance,information asset,risk analysis,TP 309,Life Sciences,"Life Sciences, general","Materials Science, general","Computer Science, general",,,,1007-1202,1993-4998,23,3,Regular,,210,218,11859,,2018-06,,,,,"Huang, Liang",Computer Science,,,,,,,,,,,,,
Chapter ConferencePaper,doi:10.1007/11596981_66,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/11596981_66,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/11596981_66,,,http://dx.doi.org/10.1007/11596981_66,Building Security Requirements Using State Transition Diagram at Security Threat Location,,"Seo, Seong Chae",,"You, Jin Ho",,"Kim, Young Dae","Hao, Yue","Liu, Jiming","Wang, Yu-Ping","Cheung, Yiu-ming","Yin, Hujun","Jiao, Licheng","Ma, Jianfeng",Computational Intelligence and Security,false,10.1007/11596981_66,Springer,Springer Berlin Heidelberg,2005-01-01,Book,978-3-540-30819-5,978-3-540-31598-8,978-3-540-30819-5,OriginalPaper Proceedings,,558,©2005 Springer-Verlag Berlin Heidelberg,"The security requirements in the software life cycle has received some attention recently. However, it is not yet clear how to build security requirements. This paper describes and illustrates a process to build application specific security requirements from state transition diagrams at the security threat location. Using security failure data, we identify security threat locations which attackers could use to exploit software vulnerabilities. A state transition diagram is constructed to be used to protect, mitigate, and remove vulnerabilities relative to security threat locations. In the software development process, security requirements are obtained from state transition diagrams relative to the security threat location.",International Conference on Computational and Information Science,Springer,cis,DBLP,cis,Springer,cis2005,CIS,,,Xi'an,CN,China,2005,12,15,2005,12,19,,,,,,,,,,,,Security Requirement,Security Threat,Software Development Process,Vulnerability Analysis,State Transition Diagram,Computer Science,Cryptology,Artificial Intelligence,Information Storage and Retrieval,Information Systems Applications (incl. Internet),Computation by Abstract Devices,Algorithm Analysis and Problem Complexity,,,,,,,,,,,,,,"Jiao, Yong-Chang",,"Choi, Jun Yong",,"Lee, Sang Jun","Kim, Byung Ki",,,,,,,,,,,
Article,doi:10.1007/s11277-023-10570-6,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11277-023-10570-6,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11277-023-10570-6,,,http://dx.doi.org/10.1007/s11277-023-10570-6,Development of a Security Education Model System for Cloud Computing and Data Security and Privacy Protection,,"Jia, Rui",,"Ni, Xiaoli",,"Shao, Xiaoyi",,,,,,,,Wireless Personal Communications,false,10.1007/s11277-023-10570-6,Springer,Springer US,2023-07-03,Journal,,,,OriginalPaper,2023-07-03,,"©2023 The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature","The great efficiency and dependability of cloud computing enhance the efficiency of mining and analyzing large data in education. Big data in education have been more prevalent in the cloud environment, and the efficiency of data processing has been greatly enhanced, elevating the significance of big data in education and teaching practice. However, the promotion of education big data in the cloud environment has revealed an increasing number of issues. People pay increasing attention to the security of big data in education, i.e., whether big data in education can be safely maintained, retrieved, and utilized in the cloud environment. It focuses on the relationships between education big data producers, users, and cloud service providers. The primary topics of this article are, therefore, how to govern the connections between the three parties, the adoption of stringent technical means, and the establishment of data use guidelines and a regulatory structure. Consequently, this paper investigated the multimodal information fusion technology and the data security model of education in colleges and universities, as well as constructing a cognitive psychological model for education in colleges and universities based on multimodal information fusion and conducting experimental research on it. The research showed that under the cognitive psychology mode of education in colleges and universities based on multi-modal information fusion, the cognitive efficiency of education of students has increased.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data security,Multi-modal information fusion,Psychological model,,,Engineering,"Communications Engineering, Networks","Signal,Image and Speech Processing",Computer Communication Networks,,,,0929-6212,1572-834X,,,,,1,17,11277,,,,,,,"Zhang, Ting",,"Qi, Qunkun",,,,,,,,,,,,
Article,doi:10.1007/s11042-022-11993-2,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11042-022-11993-2,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11042-022-11993-2,,,http://dx.doi.org/10.1007/s11042-022-11993-2,Cryptography and Tay-Grey wolf optimization based multimodal biometrics for effective security,,"Arora, Ankit",,"Miri, Rohit",,,,,,,,,,Multimedia Tools and Applications,false,10.1007/s11042-022-11993-2,Springer,Springer US,2022-12-01,Journal,,,,OriginalPaper,2022-05-31,,"©2022 The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature","Biometric recognition is very important for automatically recognizing individuals based on feature vectors from behavioral or physiological characteristics. The biometric recognition systems provide suitable personal recognition approaches for determining individuals. Biometrics are broadly employed in several commercial as well as official identification systems for automatic access control. This paper introduces the model for multi-modal biometric recognition based on the feature level fusion method. The overall procedure of the proposed method involves four steps: pre-processing, feature extraction, recognition feature-level fusion, and Bio-metric recognition. The first step is to input the images into pre-processing steps. Thus, pre-processing three traits, like face, finger knuckle, and the hand vein, is done. Then, the feature extraction is done for each modality to extract the features. After that, the feature level fusion is carried out using Elliptic-curve cryptography (ECC) and the proposed Taylor-Grey Wolf optimization (Tay-GWO). After feature fusion, the Bio-metric recognition is done based on Deep Convolutional Neural Network (DCNN), which Tay-GWO trains. The proposed Tay-GWO is designed by integrating the Taylor series and Grey Wolf Optimization (GWO). The analysis shows that the developed model achieves the maximal accuracy of 94.86%, maximal sensitivity of 96.80%, and specificity of 93.74%, respectively.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-modal bio-metric system,Taylor series,Grey wolf optimization,Deep convolutional neural network,Cryptography,Computer Science,Multimedia Information Systems,Computer Communication Networks,Data Structures and Information Theory,Special Purpose and Application-Based Systems,,,1380-7501,1573-7721,81,30,Regular,,44021,44043,11042,2022-11-28,2022-12,,,,,,,,,,,,,,,,,,,
Article,doi:10.1007/s42835-022-01084-5,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s42835-022-01084-5,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/s42835-022-01084-5,,,http://dx.doi.org/10.1007/s42835-022-01084-5,Detection and Localization of Coordinated State-and-Topology False Data Injection Attack by Multi-modal Learning,,"Qin, Zhijun",0000-0003-2069-0793,"Lai, Yu",,,,,,,,,,Journal of Electrical Engineering & Technology,false,10.1007/s42835-022-01084-5,Springer,Springer Nature Singapore,2022-09-01,Journal,,,,OriginalPaper,2022-04-11,,©2022 The Author(s) under exclusive licence to The Korean Institute of Electrical Engineers,"False data injection attack (FDIA) is a typical cyber-attack targeting on power system state estimation. By inserting bias into the power system meter measurements, FDIA can cause errors in state estimation and consequently mislead power system operation. Recently, the coordinated state-and-topology FDIA was developed to falsify both the meter measurements and the topology information to conceal a cyber or physical attack. Conventional machine-learning-based detection methods against FDIA depend on the complete observability of power system topology, therefore cannot detect the coordinated state-and-topology FDIA. To address this challenge, we propose a multi-modal learning model based on Graph Auto-Encoder (GAE) and Residual Neural Networks (ResNet) to detect this type of FDIA. First, GAE is used to learn the compact representation of power system topologies. Then, the obtained topological representation is fused with the measurement to obtain the multi-modal features. Third, ResNet is trained as a multi-label classifier to accept the fused features and generate an array, which can detect attack scenarios and identify the falsified measurements/topologies by coordinated attacks. Comprehensive case studies using IEEE 9-bus, IEEE 57-bus, and IEEE 118-bus systems are presented. The simulation results show that, as compared to single feature methods, the proposed method is more effective in detecting coordinated state-and-topology attacks, and more robust in case of FDIA under unseen topological changes in power system operation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power system cyber security,False data injection attack,Topology attack,Multi-modal learning,Data-driven methods,Engineering,Electrical Engineering,"Electronics and Microelectronics, Instrumentation","Power Electronics, Electrical Machines and Networks",,,,1975-0102,2093-7423,17,5,Regular,,2649,2662,42835,2022-09-09,2022-09,,,,,,Original Article,,,,,,,,,,,,,
Chapter,doi:10.1007/978-3-030-79766-9_1,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-3-030-79766-9_1,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-79766-9_1,,,http://dx.doi.org/10.1007/978-3-030-79766-9_1,Security Challenges in 5G and IoT Networks: A Review,,"Kumar, G. Edwin Prem",,"Lydia, M.",,"Levron, Yoash","Velliangiri, S","Gunasekaran, M","Karthikeyan, P",,,,,Secure Communication for 5G and IoT Networks,false,10.1007/978-3-030-79766-9_1,Springer,Springer International Publishing,2022-01-01,Book,978-3-030-79765-2,978-3-030-79766-9,978-3-030-79765-2,OriginalPaper Contributed volume,2021-10-29,15427,©2022 Springer Nature Switzerland AG,"5G networks are poised to satisfy the anticipated growth in Internet of Technology (IoT) devices and their related systems. The invasion of 5G networks brings along with it an accelerated need for security and privacy. The need for tailor-made security solutions has become the need of the hour to ensure data integrity, confidentiality, and authentication in 5G-based IoT networks. Since IoT initiates sensors and actuators in a totally smart environment, IoT security will involve protecting the total deployment architecture of IoT from internal and external attacks. Integration of cryptographical algorithms and quantum cryptography has been used effectively to secure data in 5G networks. Privacy and identity management has been a mandatory requirement in networks carrying delicate data involved in retail shops, traffic services, and health monitoring systems. Securing data in 5G and IoT networks and detection of trustworthy and rogue nodes, proper monitoring, logging, and broadcasting are the vital necessities of any security system. The exhaustive survey on the security issues in the 5G-IoT scenario, highlights the application of the latest technologies, incorporation of hybrid methodologies in securing them, and also emphasizes on the open issues yet to be addressed and research challenges that are to be explored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5G networks,Blockchain,Deep learning,Internet of Things,Monitoring,Engineering,"Cyber-physical systems, IoT","Communications Engineering, Networks",Computer Applications,"Energy Policy, Economics and Management",,,,,,,,,,,,,,Security,Authentication,,,,,,,Access control,Machine learning,Bigdata,Software defined network,Virtualization,Unmanned aerial vehicles,Vehicular ad-hoc networks,Adaptive security,Artificial intelligences,Cryptographic,
Chapter ConferencePaper,doi:10.1007/978-981-16-5857-0_82,en,html,web,http://link.springer.com/openurl/fulltext?id=doi:10.1007/978-981-16-5857-0_82,pdf,web,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-16-5857-0_82,,,http://dx.doi.org/10.1007/978-981-16-5857-0_82,Power Grid Adaptive Security Defense System Based on Artificial Intelligence,,"Yan, Lijing",,"Gao, Feng",,"Song, Yifan","J. Jansen, Bernard","Liang, Haibo","Ye, Jun",,,,,International Conference on Cognitive based Information Processing and Applications (CIPA 2021),false,10.1007/978-981-16-5857-0_82,Springer,Springer Singapore,2022-01-01,Book,978-981-16-5856-3,978-981-16-5857-0,978-981-16-5856-3,OriginalPaper Proceedings,2021-09-27,15362,"©2022 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","With the increasing production safety requirements of national grid companies, grid enterprises should break away from the traditional safety management model and form a more accurate grid adaptation safety management system. The goal of security defense is the safety accident prevention and prediction power grid enterprises, and implementation measures are put forward and eliminate the potential risk of physical, environmental and safety equipment. Security defense plays a key role in predetermining and controlling risks. This paper mainly studies and analyzes the adaptive security defense system of power grid based on the background of artificial intelligence. Firstly, the significance of power grid adaptive security defense system and the influence of artificial intelligence on power grid adaptive security defense system are expounded. Then it will discuss the method of adaptive security defense system for power grid under the background of artificial intelligence. Finally, the application status of the adaptive security defense system for power grid based on artificial intelligence is investigated, questionnaires are issued, and data are collected and processed. The survey results show that the probability of lightning and typhoon to the artificial intelligence defense system causing equipment failure accounts for 37% respectively, which will enable the power grid adaptive security defense system to operate risk prevention in real time. The influence of network information on the adaptive security defense system of power grid based on artificial intelligence will reach the peak with the perfection of information data and defense system, and then decline.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artificial intelligence,Security defense,Defense system,,,Engineering,Computational Intelligence,Pattern Recognition,Mathematical Models of Cognitive Processes and Neural Networks,,,,,,,,,,,,,,,,,,,"Liang, Huichao",,,,,,,,,,,,,,
